"X1";"X49948";"X4";"X3";"X6";"X10";"X12";"X7";"X8";"X2";"X5";"X11";"X1.1";"X9"
1;49948;4;3;6;10;12;7;8;2;5;11;1;9
4;3;2;10;12;7;8;6;5;11;1;9;1;36436
1;36436;4;3;2;10;12;7;8;6;5;11;1;9
4;6;2;10;12;7;8;3;5;11;1;9;1;52352
1;52352;4;6;2;10;12;7;8;3;5;11;1;9
4;6;9;10;12;7;8;3;5;11;1;2;1;53456
1;53456;4;6;9;10;12;7;8;3;5;11;1;2
4;6;3;10;12;7;8;9;5;11;1;2;1;51400
1;51400;4;6;3;10;12;7;8;9;5;11;1;2
4;6;3;10;12;9;8;7;5;11;1;2;1;44246
1;44246;4;6;3;10;12;9;8;7;5;11;1;2
4;6;3;10;12;9;1;7;5;11;8;2;1;41882
1;41882;4;6;3;10;12;9;1;7;5;11;8;2
4;6;3;10;12;9;11;7;5;1;8;2;1;29676
1;29676;4;6;3;10;12;9;11;7;5;1;8;2
4;6;3;11;12;9;10;7;5;1;8;2;1;30960
1;30960;4;6;3;11;12;9;10;7;5;1;8;2
4;6;3;10;12;9;11;7;5;1;8;2;1;29676
1;29676;4;6;3;10;12;9;11;7;5;1;8;2
4;6;3;10;12;9;11;7;5;2;8;1;1;33708
1;33708;4;6;3;10;12;9;11;7;5;2;8;1
4;11;3;10;12;9;6;7;5;2;8;1;1;46200
1;46200;4;11;3;10;12;9;6;7;5;2;8;1
4;11;3;10;12;9;6;7;5;2;1;8;1;51048
1;51048;4;11;3;10;12;9;6;7;5;2;1;8
4;11;10;3;12;9;6;7;5;2;1;8;1;46606
1;46606;4;11;10;3;12;9;6;7;5;2;1;8
4;11;10;3;12;9;6;7;1;2;5;8;1;46612
1;46612;4;11;10;3;12;9;6;7;1;2;5;8
4;11;9;3;12;10;6;7;1;2;5;8;1;51660
1;51660;4;11;9;3;12;10;6;7;1;2;5;8
4;11;9;3;12;10;6;7;2;1;5;8;1;46224
1;46224;4;11;9;3;12;10;6;7;2;1;5;8
4;11;9;3;12;10;1;7;2;6;5;8;1;66614
1;66614;4;11;9;3;12;10;1;7;2;6;5;8
4;11;10;3;12;9;1;7;2;6;5;8;1;57368
1;57368;4;11;10;3;12;9;1;7;2;6;5;8
4;11;12;3;10;9;1;7;2;6;5;8;1;59814
1;59814;4;11;12;3;10;9;1;7;2;6;5;8
4;11;6;3;10;9;1;7;2;12;5;8;1;49568
2;49568;4;11;6;3;10;9;1;7;2;12;5;8
4;11;6;3;10;12;1;7;2;9;5;8;2;42826
2;42826;4;11;6;3;10;12;1;7;2;9;5;8
2;11;6;3;10;12;1;7;4;9;5;8;2;48046
2;48046;2;11;6;3;10;12;1;7;4;9;5;8
2;11;10;3;6;12;1;7;4;9;5;8;2;43390
