"X1";"X5986421";"X1.1";"X21";"X8";"X4";"X20";"X18";"X10";"X17";"X11";"X3";"X7";"X12";"X2";"X5";"X22";"X16";"X6";"X14";"X23";"X25";"X15";"X13";"X9";"X19";"X26";"X24"
1;5986421;1;21;8;4;20;18;10;17;11;3;7;12;2;5;22;16;6;14;23;25;15;13;9;19;26;24
1;21;8;4;20;18;10;17;3;11;7;12;2;5;22;16;6;14;23;25;15;13;9;19;26;24;1;5986381
1;5986381;1;21;8;4;20;18;10;17;3;11;7;12;2;5;22;16;6;14;23;25;15;13;9;19;26;24
1;8;21;4;20;18;10;17;3;11;7;12;2;5;22;16;6;14;23;25;15;13;9;19;26;24;1;5997038
1;5997038;1;8;21;4;20;18;10;17;3;11;7;12;2;5;22;16;6;14;23;25;15;13;9;19;26;24
2;8;21;4;20;18;10;17;3;11;7;12;1;5;22;16;6;14;23;25;15;13;9;19;26;24;1;5965461
1;5965461;2;8;21;4;20;18;10;17;3;11;7;12;1;5;22;16;6;14;23;25;15;13;9;19;26;24
2;8;21;4;3;18;10;17;20;11;7;12;1;5;22;16;6;14;23;25;15;13;9;19;26;24;1;5966416
1;5966416;2;8;21;4;3;18;10;17;20;11;7;12;1;5;22;16;6;14;23;25;15;13;9;19;26;24
2;8;21;4;3;18;10;17;20;11;7;12;1;5;22;16;6;14;23;25;15;19;9;13;26;24;1;5946501
1;5946501;2;8;21;4;3;18;10;17;20;11;7;12;1;5;22;16;6;14;23;25;15;19;9;13;26;24
2;8;21;4;3;18;10;6;20;11;7;12;1;5;22;16;17;14;23;25;15;19;9;13;26;24;1;5947925
1;5947925;2;8;21;4;3;18;10;6;20;11;7;12;1;5;22;16;17;14;23;25;15;19;9;13;26;24
2;8;21;4;20;18;10;6;3;11;7;12;1;5;22;16;17;14;23;25;15;19;9;13;26;24;1;5937695
1;5937695;2;8;21;4;20;18;10;6;3;11;7;12;1;5;22;16;17;14;23;25;15;19;9;13;26;24
2;8;21;4;20;18;10;6;3;11;7;12;1;5;22;16;17;14;23;13;15;19;9;25;26;24;1;5935095
1;5935095;2;8;21;4;20;18;10;6;3;11;7;12;1;5;22;16;17;14;23;13;15;19;9;25;26;24
2;8;21;20;4;18;10;6;3;11;7;12;1;5;22;16;17;14;23;13;15;19;9;25;26;24;1;5923675
1;5923675;2;8;21;20;4;18;10;6;3;11;7;12;1;5;22;16;17;14;23;13;15;19;9;25;26;24
2;8;21;20;10;18;4;6;3;11;7;12;1;5;22;16;17;14;23;13;15;19;9;25;26;24;1;5893815
1;5893815;2;8;21;20;10;18;4;6;3;11;7;12;1;5;22;16;17;14;23;13;15;19;9;25;26;24
2;8;21;20;10;24;4;6;3;11;7;12;1;5;22;16;17;14;23;13;15;19;9;25;26;18;1;5906716
1;5906716;2;8;21;20;10;24;4;6;3;11;7;12;1;5;22;16;17;14;23;13;15;19;9;25;26;18
2;8;9;20;10;24;4;6;3;11;7;12;1;5;22;16;17;14;23;13;15;19;21;25;26;18;1;5859463
1;5859463;2;8;9;20;10;24;4;6;3;11;7;12;1;5;22;16;17;14;23;13;15;19;21;25;26;18
2;8;9;20;25;24;4;6;3;11;7;12;1;5;22;16;17;14;23;13;15;19;21;10;26;18;1;5860046
1;5860046;2;8;9;20;25;24;4;6;3;11;7;12;1;5;22;16;17;14;23;13;15;19;21;10;26;18
2;8;9;20;25;24;4;6;21;11;7;12;1;5;22;16;17;14;23;13;15;19;3;10;26;18;1;5913709
1;5913709;2;8;9;20;25;24;4;6;21;11;7;12;1;5;22;16;17;14;23;13;15;19;3;10;26;18
2;8;9;20;12;24;4;6;21;11;7;25;1;5;22;16;17;14;23;13;15;19;3;10;26;18;1;5941582
1;5941582;2;8;9;20;12;24;4;6;21;11;7;25;1;5;22;16;17;14;23;13;15;19;3;10;26;18
2;8;1;20;12;24;4;6;21;11;7;25;9;5;22;16;17;14;23;13;15;19;3;10;26;18;1;5894846
1;5894846;2;8;1;20;12;24;4;6;21;11;7;25;9;5;22;16;17;14;23;13;15;19;3;10;26;18
2;8;1;20;12;24;4;6;15;11;7;25;9;5;22;16;17;14;23;13;21;19;3;10;26;18;1;5908566
1;5908566;2;8;1;20;12;24;4;6;15;11;7;25;9;5;22;16;17;14;23;13;21;19;3;10;26;18
2;8;1;20;12;13;4;6;15;11;7;25;9;5;22;16;17;14;23;24;21;19;3;10;26;18;1;5876397
1;5876397;2;8;1;20;12;13;4;6;15;11;7;25;9;5;22;16;17;14;23;24;21;19;3;10;26;18
2;8;1;20;12;13;4;6;15;11;7;25;14;5;22;16;17;9;23;24;21;19;3;10;26;18;1;5846553
1;5846553;2;8;1;20;12;13;4;6;15;11;7;25;14;5;22;16;17;9;23;24;21;19;3;10;26;18
2;8;1;20;3;13;4;6;15;11;7;25;14;5;22;16;17;9;23;24;21;19;12;10;26;18;1;5867456
2;5867456;2;8;1;20;3;13;4;6;15;11;7;25;14;5;22;16;17;9;23;24;21;19;12;10;26;18
2;8;1;20;3;13;4;6;15;11;7;25;14;5;22;16;17;9;23;12;21;19;24;10;26;18;2;5852077
2;5852077;2;8;1;20;3;13;4;6;15;11;7;25;14;5;22;16;17;9;23;12;21;19;24;10;26;18
2;8;1;20;3;13;4;6;15;11;18;25;14;5;22;16;17;9;23;12;21;19;24;10;26;7;2;5831507
2;5831507;2;8;1;20;3;13;4;6;15;11;18;25;14;5;22;16;17;9;23;12;21;19;24;10;26;7
2;8;1;20;3;13;4;6;15;11;18;25;14;5;22;16;17;9;21;12;23;19;24;10;26;7;2;5783692
2;5783692;2;8;1;20;3;13;4;6;15;11;18;25;14;5;22;16;17;9;21;12;23;19;24;10;26;7
7;8;1;20;3;13;4;6;15;11;18;25;14;5;22;16;17;9;21;12;23;19;24;10;26;2;2;5794289
2;5794289;7;8;1;20;3;13;4;6;15;11;18;25;14;5;22;16;17;9;21;12;23;19;24;10;26;2
5;8;1;20;3;13;4;6;15;11;18;25;14;7;22;16;17;9;21;12;23;19;24;10;26;2;2;5962558
2;5962558;5;8;1;20;3;13;4;6;15;11;18;25;14;7;22;16;17;9;21;12;23;19;24;10;26;2
5;8;1;20;3;26;4;6;15;11;18;25;14;7;22;16;17;9;21;12;23;19;24;10;13;2;2;5966261
2;5966261;5;8;1;20;3;26;4;6;15;11;18;25;14;7;22;16;17;9;21;12;23;19;24;10;13;2
5;8;1;20;3;26;4;6;15;11;18;25;14;7;22;16;13;9;21;12;23;19;24;10;17;2;2;5950828
2;5950828;5;8;1;20;3;26;4;6;15;11;18;25;14;7;22;16;13;9;21;12;23;19;24;10;17;2
5;8;1;13;3;26;4;6;15;11;18;25;14;7;22;16;20;9;21;12;23;19;24;10;17;2;2;5875030
2;5875030;5;8;1;13;3;26;4;6;15;11;18;25;14;7;22;16;20;9;21;12;23;19;24;10;17;2
5;8;1;13;3;26;4;6;15;11;18;25;14;9;22;16;20;7;21;12;23;19;24;10;17;2;2;5921802
2;5921802;5;8;1;13;3;26;4;6;15;11;18;25;14;9;22;16;20;7;21;12;23;19;24;10;17;2
5;8;1;13;3;26;4;6;15;11;18;25;14;9;20;16;22;7;21;12;23;19;24;10;17;2;2;6038977
2;6038977;5;8;1;13;3;26;4;6;15;11;18;25;14;9;20;16;22;7;21;12;23;19;24;10;17;2
5;8;1;13;3;26;4;6;15;11;18;21;14;9;20;16;22;7;25;12;23;19;24;10;17;2;2;6056195
