"X1";"X47422";"X8";"X6";"X7";"X10";"X12";"X1.1";"X11";"X3";"X9";"X5";"X2";"X4"
1;47422;8;6;7;10;12;1;11;3;9;5;2;4
5;6;7;10;12;1;11;3;9;8;2;4;1;54152
1;54152;5;6;7;10;12;1;11;3;9;8;2;4
5;6;7;10;2;1;11;3;9;8;12;4;1;55240
1;55240;5;6;7;10;2;1;11;3;9;8;12;4
5;12;7;10;2;1;11;3;9;8;6;4;1;61738
1;55240;5;6;7;10;2;1;11;3;9;8;12;4
5;6;8;10;2;1;11;3;9;7;12;4;1;52752
1;52752;5;6;8;10;2;1;11;3;9;7;12;4
5;6;8;4;2;1;11;3;9;7;12;10;1;53704
1;53704;5;6;8;4;2;1;11;3;9;7;12;10
7;6;8;4;2;1;11;3;9;5;12;10;1;44376
1;44376;7;6;8;4;2;1;11;3;9;5;12;10
7;6;8;12;2;1;11;3;9;5;4;10;1;44194
1;44194;7;6;8;12;2;1;11;3;9;5;4;10
7;6;8;12;11;1;2;3;9;5;4;10;1;49706
1;49706;7;6;8;12;11;1;2;3;9;5;4;10
7;6;8;12;11;1;3;2;9;5;4;10;1;64826
1;64826;7;6;8;12;11;1;3;2;9;5;4;10
7;6;8;12;10;1;3;2;9;5;4;11;1;60142
1;60142;7;6;8;12;10;1;3;2;9;5;4;11
7;3;8;12;10;1;6;2;9;5;4;11;1;49562
1;49562;7;3;8;12;10;1;6;2;9;5;4;11
7;3;8;12;10;5;6;2;9;1;4;11;1;34478
1;34478;7;3;8;12;10;5;6;2;9;1;4;11
7;10;8;12;3;5;6;2;9;1;4;11;1;31116
1;31116;7;10;8;12;3;5;6;2;9;1;4;11
7;8;10;12;3;5;6;2;9;1;4;11;1;43784
1;31116;7;10;8;12;3;5;6;2;9;1;4;11
10;7;8;12;3;5;6;2;9;1;4;11;1;30272
1;30272;10;7;8;12;3;5;6;2;9;1;4;11
10;7;8;12;9;5;6;2;3;1;4;11;1;29470
1;29470;10;7;8;12;9;5;6;2;3;1;4;11
10;7;8;9;12;5;6;2;3;1;4;11;1;30350
1;30350;10;7;8;9;12;5;6;2;3;1;4;11
10;7;8;9;12;5;2;6;3;1;4;11;1;37722
1;37722;10;7;8;9;12;5;2;6;3;1;4;11
10;12;8;9;7;5;2;6;3;1;4;11;1;57268
1;37722;10;7;8;9;12;5;2;6;3;1;4;11
10;7;8;9;12;5;2;6;3;11;4;1;1;23898
2;23898;10;7;8;9;12;5;2;6;3;11;4;1
10;7;11;9;12;5;2;6;3;8;4;1;2;33022
2;33022;10;7;11;9;12;5;2;6;3;8;4;1
10;7;11;6;12;5;2;9;3;8;4;1;2;31698
2;31698;10;7;11;6;12;5;2;9;3;8;4;1
10;7;11;6;12;5;1;9;3;8;4;2;2;33238
2;33238;10;7;11;6;12;5;1;9;3;8;4;2
10;1;11;6;12;5;7;9;3;8;4;2;2;44342
2;44342;10;1;11;6;12;5;7;9;3;8;4;2
10;1;11;6;12;5;8;9;3;7;4;2;2;36930
2;36930;10;1;11;6;12;5;8;9;3;7;4;2
10;1;11;6;12;7;8;9;3;5;4;2;2;40538
2;40538;10;1;11;6;12;7;8;9;3;5;4;2
10;1;11;6;12;7;8;9;3;2;4;5;2;32666
2;32666;10;1;11;6;12;7;8;9;3;2;4;5
