"X1";"X5963405";"X25";"X24";"X18";"X21";"X8";"X7";"X26";"X4";"X6";"X3";"X13";"X2";"X17";"X23";"X12";"X20";"X10";"X19";"X5";"X15";"X1.1";"X22";"X11";"X16";"X14";"X9"
1;5963405;25;24;18;21;8;7;26;4;6;3;13;2;17;23;12;20;10;19;5;15;1;22;11;16;14;9
25;24;18;21;8;7;26;4;6;3;13;2;17;23;12;10;20;19;5;15;1;22;11;16;14;9;1;5934532
1;5934532;25;24;18;21;8;7;26;4;6;3;13;2;17;23;12;10;20;19;5;15;1;22;11;16;14;9
25;24;18;21;8;7;26;4;6;3;13;2;17;23;12;10;20;19;5;15;1;22;11;16;9;14;1;5934532
1;5934532;25;24;18;21;8;7;26;4;6;3;13;2;17;23;12;10;20;19;5;15;1;22;11;16;9;14
25;24;18;21;8;7;26;4;6;3;13;2;17;23;12;10;15;19;5;20;1;22;11;16;9;14;1;5935927
1;5935927;25;24;18;21;8;7;26;4;6;3;13;2;17;23;12;10;15;19;5;20;1;22;11;16;9;14
25;24;18;21;8;7;26;4;15;3;13;2;17;23;12;10;6;19;5;20;1;22;11;16;9;14;1;5934361
1;5934361;25;24;18;21;8;7;26;4;15;3;13;2;17;23;12;10;6;19;5;20;1;22;11;16;9;14
25;24;18;22;8;7;26;4;15;3;13;2;17;23;12;10;6;19;5;20;1;21;11;16;9;14;1;5956525
1;5956525;25;24;18;22;8;7;26;4;15;3;13;2;17;23;12;10;6;19;5;20;1;21;11;16;9;14
25;5;18;22;8;7;26;4;15;3;13;2;17;23;12;10;6;19;24;20;1;21;11;16;9;14;1;6020870
1;6020870;25;5;18;22;8;7;26;4;15;3;13;2;17;23;12;10;6;19;24;20;1;21;11;16;9;14
25;5;18;22;8;7;26;4;15;3;13;2;10;23;12;17;6;19;24;20;1;21;11;16;9;14;1;6025795
1;6025795;25;5;18;22;8;7;26;4;15;3;13;2;10;23;12;17;6;19;24;20;1;21;11;16;9;14
25;5;18;22;8;7;26;11;15;3;13;2;10;23;12;17;6;19;24;20;1;21;4;16;9;14;1;6031049
1;6031049;25;5;18;22;8;7;26;11;15;3;13;2;10;23;12;17;6;19;24;20;1;21;4;16;9;14
25;5;18;22;8;7;26;11;15;21;13;2;10;23;12;17;6;19;24;20;1;3;4;16;9;14;1;6018531
1;6018531;25;5;18;22;8;7;26;11;15;21;13;2;10;23;12;17;6;19;24;20;1;3;4;16;9;14
25;5;18;22;8;7;26;11;15;21;13;19;10;23;12;17;6;2;24;20;1;3;4;16;9;14;1;6078488
1;6078488;25;5;18;22;8;7;26;11;15;21;13;19;10;23;12;17;6;2;24;20;1;3;4;16;9;14
25;5;18;22;8;7;26;11;15;21;13;19;10;23;12;17;6;4;24;20;1;3;2;16;9;14;1;6077189
1;6077189;25;5;18;22;8;7;26;11;15;21;13;19;10;23;12;17;6;4;24;20;1;3;2;16;9;14
25;5;1;22;8;7;26;11;15;21;13;19;10;23;12;17;6;4;24;20;18;3;2;16;9;14;1;6178973
1;6178973;25;5;1;22;8;7;26;11;15;21;13;19;10;23;12;17;6;4;24;20;18;3;2;16;9;14
25;5;1;22;8;7;26;11;24;21;13;19;10;23;12;17;6;4;15;20;18;3;2;16;9;14;1;6167162
1;6167162;25;5;1;22;8;7;26;11;24;21;13;19;10;23;12;17;6;4;15;20;18;3;2;16;9;14
25;5;1;22;20;7;26;11;24;21;13;19;10;23;12;17;6;4;15;8;18;3;2;16;9;14;1;6169072
1;6169072;25;5;1;22;20;7;26;11;24;21;13;19;10;23;12;17;6;4;15;8;18;3;2;16;9;14
25;5;1;22;20;7;26;11;24;21;13;19;10;23;12;17;8;4;15;6;18;3;2;16;9;14;1;6071737
1;6071737;25;5;1;22;20;7;26;11;24;21;13;19;10;23;12;17;8;4;15;6;18;3;2;16;9;14
25;5;1;22;20;7;26;11;24;21;14;19;10;23;12;17;8;4;15;6;18;3;2;16;9;13;1;5983912
1;5983912;25;5;1;22;20;7;26;11;24;21;14;19;10;23;12;17;8;4;15;6;18;3;2;16;9;13
25;5;1;22;20;7;26;11;12;21;14;19;10;23;24;17;8;4;15;6;18;3;2;16;9;13;1;5970422
1;5970422;25;5;1;22;20;7;26;11;12;21;14;19;10;23;24;17;8;4;15;6;18;3;2;16;9;13
24;5;1;22;20;7;26;11;12;21;14;19;10;23;25;17;8;4;15;6;18;3;2;16;9;13;1;5970308
1;5970308;24;5;1;22;20;7;26;11;12;21;14;19;10;23;25;17;8;4;15;6;18;3;2;16;9;13
24;5;1;22;20;7;26;11;12;21;14;19;10;15;25;17;8;4;23;6;18;3;2;16;9;13;1;5990295
1;5990295;24;5;1;22;20;7;26;11;12;21;14;19;10;15;25;17;8;4;23;6;18;3;2;16;9;13
24;5;1;22;20;7;26;11;12;21;14;19;10;15;25;18;8;4;23;6;17;3;2;16;9;13;1;5781246
2;5781246;24;5;1;22;20;7;26;11;12;21;14;19;10;15;25;18;8;4;23;6;17;3;2;16;9;13
24;5;1;22;20;7;26;11;12;21;14;19;2;15;25;18;8;4;23;6;17;3;10;16;9;13;2;5769404
2;5769404;24;5;1;22;20;7;26;11;12;21;14;19;2;15;25;18;8;4;23;6;17;3;10;16;9;13
24;5;1;3;20;7;26;11;12;21;14;19;2;15;25;18;8;4;23;6;17;22;10;16;9;13;2;5744227
2;5744227;24;5;1;3;20;7;26;11;12;21;14;19;2;15;25;18;8;4;23;6;17;22;10;16;9;13
24;5;7;3;20;1;26;11;12;21;14;19;2;15;25;18;8;4;23;6;17;22;10;16;9;13;2;5819778
2;5819778;24;5;7;3;20;1;26;11;12;21;14;19;2;15;25;18;8;4;23;6;17;22;10;16;9;13
24;5;7;3;20;1;26;11;12;21;14;19;2;15;25;18;8;4;22;6;17;23;10;16;9;13;2;5813678
2;5813678;24;5;7;3;20;1;26;11;12;21;14;19;2;15;25;18;8;4;22;6;17;23;10;16;9;13
24;5;7;3;20;1;26;11;12;21;14;19;2;15;25;18;22;4;8;6;17;23;10;16;9;13;2;5805640
2;5805640;24;5;7;3;20;1;26;11;12;21;14;19;2;15;25;18;22;4;8;6;17;23;10;16;9;13
24;5;7;3;20;1;26;11;12;21;14;19;2;4;25;18;22;15;8;6;17;23;10;16;9;13;2;5818964
2;5818964;24;5;7;3;20;1;26;11;12;21;14;19;2;4;25;18;22;15;8;6;17;23;10;16;9;13
24;5;7;3;20;1;26;11;12;2;14;19;21;4;25;18;22;15;8;6;17;23;10;16;9;13;2;5797217
2;5797217;24;5;7;3;20;1;26;11;12;2;14;19;21;4;25;18;22;15;8;6;17;23;10;16;9;13
24;5;7;3;20;1;26;11;12;2;14;19;21;9;25;18;22;15;8;6;17;23;10;16;4;13;2;5787151
2;5787151;24;5;7;3;20;1;26;11;12;2;14;19;21;9;25;18;22;15;8;6;17;23;10;16;4;13
24;5;7;3;20;1;26;11;12;2;14;19;21;9;25;18;22;23;8;6;17;15;10;16;4;13;2;5785026
2;5785026;24;5;7;3;20;1;26;11;12;2;14;19;21;9;25;18;22;23;8;6;17;15;10;16;4;13
24;5;7;19;20;1;26;11;12;2;14;3;21;9;25;18;22;23;8;6;17;15;10;16;4;13;2;5796869
2;5796869;24;5;7;19;20;1;26;11;12;2;14;3;21;9;25;18;22;23;8;6;17;15;10;16;4;13
24;5;7;19;20;1;26;25;12;2;14;3;21;9;11;18;22;23;8;6;17;15;10;16;4;13;2;5810112
2;5810112;24;5;7;19;20;1;26;25;12;2;14;3;21;9;11;18;22;23;8;6;17;15;10;16;4;13
24;5;7;19;20;1;26;25;23;2;14;3;21;9;11;18;22;12;8;6;17;15;10;16;4;13;2;5796443
2;5796443;24;5;7;19;20;1;26;25;23;2;14;3;21;9;11;18;22;12;8;6;17;15;10;16;4;13
24;5;7;19;20;1;26;25;23;2;14;3;21;9;11;22;18;12;8;6;17;15;10;16;4;13;2;5786836
2;5786836;24;5;7;19;20;1;26;25;23;2;14;3;21;9;11;22;18;12;8;6;17;15;10;16;4;13
24;5;7;15;20;1;26;25;23;2;14;3;21;9;11;22;18;12;8;6;17;19;10;16;4;13;2;5795353
2;5795353;24;5;7;15;20;1;26;25;23;2;14;3;21;9;11;22;18;12;8;6;17;19;10;16;4;13
24;12;7;15;20;1;26;25;23;2;14;3;21;9;11;22;18;5;8;6;17;19;10;16;4;13;2;5670798
2;5670798;24;12;7;15;20;1;26;25;23;2;14;3;21;9;11;22;18;5;8;6;17;19;10;16;4;13
24;12;7;15;20;1;26;25;23;2;14;3;21;9;8;22;18;5;11;6;17;19;10;16;4;13;2;5709555
2;5709555;24;12;7;15;20;1;26;25;23;2;14;3;21;9;8;22;18;5;11;6;17;19;10;16;4;13
24;12;7;15;20;1;26;25;4;2;14;3;21;9;8;22;18;5;11;6;17;19;10;16;23;13;2;5700718
2;5700718;24;12;7;15;20;1;26;25;4;2;14;3;21;9;8;22;18;5;11;6;17;19;10;16;23;13
24;12;7;15;20;1;26;25;4;2;14;3;21;9;8;22;18;13;11;6;17;19;10;16;23;5;2;5883011
2;5883011;24;12;7;15;20;1;26;25;4;2;14;3;21;9;8;22;18;13;11;6;17;19;10;16;23;5
24;12;7;15;20;1;26;25;4;2;14;3;21;9;8;22;18;13;11;6;17;16;10;19;23;5;2;5922387
