"X1";"X5952485";"X20";"X11";"X18";"X22";"X13";"X25";"X24";"X2";"X14";"X26";"X12";"X17";"X19";"X3";"X5";"X4";"X23";"X9";"X7";"X6";"X8";"X15";"X10";"X21";"X1.1";"X16"
1;5952485;20;11;18;22;13;25;24;2;14;26;12;17;19;3;5;4;23;9;7;6;8;15;10;21;1;16
20;11;13;22;18;25;24;2;14;26;12;17;19;3;5;4;23;9;7;6;8;15;10;21;1;16;1;5944222
1;5944222;20;11;13;22;18;25;24;2;14;26;12;17;19;3;5;4;23;9;7;6;8;15;10;21;1;16
20;11;13;22;18;25;24;2;14;26;12;17;19;3;5;4;23;9;7;10;8;15;6;21;1;16;1;5939663
1;5939663;20;11;13;22;18;25;24;2;14;26;12;17;19;3;5;4;23;9;7;10;8;15;6;21;1;16
20;11;13;6;18;25;24;2;14;26;12;17;19;3;5;4;23;9;7;10;8;15;22;21;1;16;1;5939428
1;5939428;20;11;13;6;18;25;24;2;14;26;12;17;19;3;5;4;23;9;7;10;8;15;22;21;1;16
20;11;13;6;18;25;24;2;14;26;12;17;19;3;5;4;23;9;8;10;7;15;22;21;1;16;1;5866037
1;5866037;20;11;13;6;18;25;24;2;14;26;12;17;19;3;5;4;23;9;8;10;7;15;22;21;1;16
20;11;13;25;18;6;24;2;14;26;12;17;19;3;5;4;23;9;8;10;7;15;22;21;1;16;1;5849140
1;5849140;20;11;13;25;18;6;24;2;14;26;12;17;19;3;5;4;23;9;8;10;7;15;22;21;1;16
20;11;13;25;18;6;24;2;4;26;12;17;19;3;5;14;23;9;8;10;7;15;22;21;1;16;1;5848208
1;5848208;20;11;13;25;18;6;24;2;4;26;12;17;19;3;5;14;23;9;8;10;7;15;22;21;1;16
20;11;13;25;18;6;24;2;4;26;12;17;19;7;5;14;23;9;8;10;3;15;22;21;1;16;1;5870091
1;5870091;20;11;13;25;18;6;24;2;4;26;12;17;19;7;5;14;23;9;8;10;3;15;22;21;1;16
