"X1";"X5780825";"X1.1";"X10";"X21";"X19";"X15";"X20";"X6";"X24";"X17";"X12";"X2";"X5";"X4";"X18";"X7";"X26";"X14";"X13";"X11";"X23";"X9";"X22";"X25";"X16";"X8";"X3"
1;5780825;1;10;21;19;15;20;6;24;17;12;2;5;4;18;7;26;14;13;11;23;9;22;25;16;8;3
1;9;21;19;15;20;6;24;17;12;2;5;4;18;7;26;14;13;11;23;10;22;25;16;8;3;1;5754376
1;5754376;1;9;21;19;15;20;6;24;17;12;2;5;4;18;7;26;14;13;11;23;10;22;25;16;8;3
1;9;21;19;15;20;6;24;17;12;2;5;4;18;7;26;16;13;11;23;10;22;25;14;8;3;1;5982953
1;5982953;1;9;21;19;15;20;6;24;17;12;2;5;4;18;7;26;16;13;11;23;10;22;25;14;8;3
1;4;21;19;15;20;6;24;17;12;2;5;9;18;7;26;16;13;11;23;10;22;25;14;8;3;1;5949116
1;5949116;1;4;21;19;15;20;6;24;17;12;2;5;9;18;7;26;16;13;11;23;10;22;25;14;8;3
1;4;21;19;15;20;10;24;17;12;2;5;9;18;7;26;16;13;11;23;6;22;25;14;8;3;1;5969019
1;5969019;1;4;21;19;15;20;10;24;17;12;2;5;9;18;7;26;16;13;11;23;6;22;25;14;8;3
1;4;21;19;15;20;10;24;17;12;2;5;9;18;7;26;16;13;25;23;6;22;11;14;8;3;1;5997469
1;5997469;1;4;21;19;15;20;10;24;17;12;2;5;9;18;7;26;16;13;25;23;6;22;11;14;8;3
1;4;21;19;16;20;10;24;17;12;2;5;9;18;7;26;15;13;25;23;6;22;11;14;8;3;1;5952901
1;5952901;1;4;21;19;16;20;10;24;17;12;2;5;9;18;7;26;15;13;25;23;6;22;11;14;8;3
1;4;21;19;16;20;10;24;17;12;23;5;9;18;7;26;15;13;25;2;6;22;11;14;8;3;1;5962944
1;5962944;1;4;21;19;16;20;10;24;17;12;23;5;9;18;7;26;15;13;25;2;6;22;11;14;8;3
1;4;21;19;16;20;10;24;17;12;23;5;9;18;7;26;15;13;3;2;6;22;11;14;8;25;1;5980682
1;5980682;1;4;21;19;16;20;10;24;17;12;23;5;9;18;7;26;15;13;3;2;6;22;11;14;8;25
1;4;21;19;16;20;10;6;17;12;23;5;9;18;7;26;15;13;3;2;24;22;11;14;8;25;1;5957609
1;5957609;1;4;21;19;16;20;10;6;17;12;23;5;9;18;7;26;15;13;3;2;24;22;11;14;8;25
1;4;21;19;16;20;10;6;17;12;23;5;9;18;22;26;15;13;3;2;24;7;11;14;8;25;1;5975381
1;5975381;1;4;21;19;16;20;10;6;17;12;23;5;9;18;22;26;15;13;3;2;24;7;11;14;8;25
1;4;21;19;16;20;10;6;17;12;23;5;9;18;22;24;15;13;3;2;26;7;11;14;8;25;1;5987151
1;5987151;1;4;21;19;16;20;10;6;17;12;23;5;9;18;22;24;15;13;3;2;26;7;11;14;8;25
1;4;21;19;16;20;10;6;8;12;23;5;9;18;22;24;15;13;3;2;26;7;11;14;17;25;1;5949885
1;5949885;1;4;21;19;16;20;10;6;8;12;23;5;9;18;22;24;15;13;3;2;26;7;11;14;17;25
1;12;21;19;16;20;10;6;8;4;23;5;9;18;22;24;15;13;3;2;26;7;11;14;17;25;1;5906514
1;5906514;1;12;21;19;16;20;10;6;8;4;23;5;9;18;22;24;15;13;3;2;26;7;11;14;17;25
1;12;6;19;16;20;10;21;8;4;23;5;9;18;22;24;15;13;3;2;26;7;11;14;17;25;1;5848877
1;5848877;1;12;6;19;16;20;10;21;8;4;23;5;9;18;22;24;15;13;3;2;26;7;11;14;17;25
1;12;6;19;16;20;3;21;8;4;23;5;9;18;22;24;15;13;10;2;26;7;11;14;17;25;1;5854445
1;5854445;1;12;6;19;16;20;3;21;8;4;23;5;9;18;22;24;15;13;10;2;26;7;11;14;17;25
1;12;6;19;16;20;3;21;8;4;23;5;9;18;22;24;15;13;14;2;26;7;11;10;17;25;1;5674305
1;5674305;1;12;6;19;16;20;3;21;8;4;23;5;9;18;22;24;15;13;14;2;26;7;11;10;17;25
1;12;6;19;16;20;3;21;8;4;23;5;7;18;22;24;15;13;14;2;26;9;11;10;17;25;1;5759830
1;5759830;1;12;6;19;16;20;3;21;8;4;23;5;7;18;22;24;15;13;14;2;26;9;11;10;17;25
1;12;6;19;16;23;3;21;8;4;20;5;7;18;22;24;15;13;14;2;26;9;11;10;17;25;1;5763376
1;5763376;1;12;6;19;16;23;3;21;8;4;20;5;7;18;22;24;15;13;14;2;26;9;11;10;17;25
1;12;6;19;16;23;3;21;8;24;20;5;7;18;22;4;15;13;14;2;26;9;11;10;17;25;1;5764759
1;5764759;1;12;6;19;16;23;3;21;8;24;20;5;7;18;22;4;15;13;14;2;26;9;11;10;17;25
1;22;6;19;16;23;3;21;8;24;20;5;7;18;12;4;15;13;14;2;26;9;11;10;17;25;1;5758706
2;5758706;1;22;6;19;16;23;3;21;8;24;20;5;7;18;12;4;15;13;14;2;26;9;11;10;17;25
1;22;6;19;16;23;3;21;8;24;20;5;7;18;12;4;15;13;14;2;26;9;11;17;10;25;2;5756716
