"X1";"X28676";"X2";"X30";"X32";"X31";"X6";"X25";"X24";"X21";"X15";"X12";"X3";"X20";"X28";"X18";"X1.1";"X4";"X26";"X7";"X19";"X23";"X9";"X29";"X14";"X5";"X11";"X16";"X13";"X22";"X10";"X17";"X8";"X27"
1;28676;2;30;32;31;6;25;24;21;15;12;3;20;28;18;1;4;26;7;19;23;9;29;14;5;11;16;13;22;10;17;8;27
2;30;32;8;6;25;24;21;15;12;3;20;28;18;1;4;26;7;19;23;9;29;14;5;11;16;13;22;10;17;31;27;1;28450
1;28450;2;30;32;8;6;25;24;21;15;12;3;20;28;18;1;4;26;7;19;23;9;29;14;5;11;16;13;22;10;17;31;27
2;30;32;8;6;25;24;21;15;12;3;20;4;18;1;28;26;7;19;23;9;29;14;5;11;16;13;22;10;17;31;27;1;28470
1;28470;2;30;32;8;6;25;24;21;15;12;3;20;4;18;1;28;26;7;19;23;9;29;14;5;11;16;13;22;10;17;31;27
25;30;32;8;6;2;24;21;15;12;3;20;4;18;1;28;26;7;19;23;9;29;14;5;11;16;13;22;10;17;31;27;1;28404
1;28404;25;30;32;8;6;2;24;21;15;12;3;20;4;18;1;28;26;7;19;23;9;29;14;5;11;16;13;22;10;17;31;27
25;30;32;8;6;2;24;21;17;12;3;20;4;18;1;28;26;7;19;23;9;29;14;5;11;16;13;22;10;15;31;27;1;27454
1;27454;25;30;32;8;6;2;24;21;17;12;3;20;4;18;1;28;26;7;19;23;9;29;14;5;11;16;13;22;10;15;31;27
25;30;32;8;22;2;24;21;17;12;3;20;4;18;1;28;26;7;19;23;9;29;14;5;11;16;13;6;10;15;31;27;1;26580
1;26580;25;30;32;8;22;2;24;21;17;12;3;20;4;18;1;28;26;7;19;23;9;29;14;5;11;16;13;6;10;15;31;27
25;30;32;8;22;2;1;21;17;12;3;20;4;18;24;28;26;7;19;23;9;29;14;5;11;16;13;6;10;15;31;27;1;26468
1;26468;25;30;32;8;22;2;1;21;17;12;3;20;4;18;24;28;26;7;19;23;9;29;14;5;11;16;13;6;10;15;31;27
10;30;32;8;22;2;1;21;17;12;3;20;4;18;24;28;26;7;19;23;9;29;14;5;11;16;13;6;25;15;31;27;1;26858
1;26858;10;30;32;8;22;2;1;21;17;12;3;20;4;18;24;28;26;7;19;23;9;29;14;5;11;16;13;6;25;15;31;27
