"X1";"X42756";"X2";"X4";"X1.1";"X12";"X3";"X5";"X8";"X6";"X9";"X11";"X7";"X10"
1;42756;2;4;1;12;3;5;8;6;9;11;7;10
2;4;1;12;3;6;8;5;9;11;7;10;1;28968
1;28968;2;4;1;12;3;6;8;5;9;11;7;10
2;4;12;1;3;6;8;5;9;11;7;10;1;31904
1;31904;2;4;12;1;3;6;8;5;9;11;7;10
2;4;12;3;1;6;8;5;9;11;7;10;1;30424
1;30424;2;4;12;3;1;6;8;5;9;11;7;10
2;4;12;3;8;6;1;5;9;11;7;10;1;34816
1;34816;2;4;12;3;8;6;1;5;9;11;7;10
2;7;12;3;8;6;1;5;9;11;4;10;1;48816
1;48816;2;7;12;3;8;6;1;5;9;11;4;10
2;3;12;7;8;6;1;5;9;11;4;10;1;54754
1;54754;2;3;12;7;8;6;1;5;9;11;4;10
2;3;12;7;8;6;1;9;5;11;4;10;1;63206
1;63206;2;3;12;7;8;6;1;9;5;11;4;10
2;9;12;7;8;6;1;3;5;11;4;10;1;49822
1;49822;2;9;12;7;8;6;1;3;5;11;4;10
2;9;6;7;8;12;1;3;5;11;4;10;1;49298
1;49298;2;9;6;7;8;12;1;3;5;11;4;10
2;7;6;9;8;12;1;3;5;11;4;10;1;49332
1;49332;2;7;6;9;8;12;1;3;5;11;4;10
2;7;8;9;6;12;1;3;5;11;4;10;1;45044
1;45044;2;7;8;9;6;12;1;3;5;11;4;10
2;7;8;11;6;12;1;3;5;9;4;10;1;49504
1;49504;2;7;8;11;6;12;1;3;5;9;4;10
2;7;8;6;11;12;1;3;5;9;4;10;1;50344
1;50344;2;7;8;6;11;12;1;3;5;9;4;10
2;7;8;6;11;12;1;3;5;9;10;4;1;43880
1;43880;2;7;8;6;11;12;1;3;5;9;10;4
2;7;8;6;11;3;1;12;5;9;10;4;1;40980
1;40980;2;7;8;6;11;3;1;12;5;9;10;4
2;7;8;12;11;3;1;6;5;9;10;4;1;40128
1;40128;2;7;8;12;11;3;1;6;5;9;10;4
2;7;8;9;11;3;1;6;5;12;10;4;1;42866
1;42866;2;7;8;9;11;3;1;6;5;12;10;4
7;2;8;9;11;3;1;6;5;12;10;4;1;43628
1;43628;7;2;8;9;11;3;1;6;5;12;10;4
7;2;10;9;11;3;1;6;5;12;8;4;1;42026
1;42026;7;2;10;9;11;3;1;6;5;12;8;4
7;2;10;9;8;3;1;6;5;12;11;4;1;42956
2;42956;7;2;10;9;8;3;1;6;5;12;11;4
7;2;3;9;8;10;1;6;5;12;11;4;2;42104
2;42104;7;2;3;9;8;10;1;6;5;12;11;4
7;5;3;9;8;10;1;6;2;12;11;4;2;37024
2;37024;7;5;3;9;8;10;1;6;2;12;11;4
