"X1";"X35474";"X3";"X10";"X11";"X9";"X4";"X6";"X12";"X7";"X5";"X1.1";"X8";"X2"
1;35474;3;10;11;9;4;6;12;7;5;1;8;2
3;10;11;1;4;6;12;7;5;9;8;2;1;39702
1;39702;3;10;11;1;4;6;12;7;5;9;8;2
3;10;11;1;4;6;12;8;5;9;7;2;1;38726
1;38726;3;10;11;1;4;6;12;8;5;9;7;2
3;10;11;1;4;6;12;2;5;9;7;8;1;39712
1;39712;3;10;11;1;4;6;12;2;5;9;7;8
3;10;11;1;4;8;12;2;5;9;7;6;1;31806
1;31806;3;10;11;1;4;8;12;2;5;9;7;6
3;8;11;1;4;10;12;2;5;9;7;6;1;32680
1;32680;3;8;11;1;4;10;12;2;5;9;7;6
3;8;4;1;11;10;12;2;5;9;7;6;1;36934
1;36934;3;8;4;1;11;10;12;2;5;9;7;6
9;8;4;1;11;10;12;2;5;3;7;6;1;44816
1;44816;9;8;4;1;11;10;12;2;5;3;7;6
9;8;2;1;11;10;12;4;5;3;7;6;1;32244
1;32244;9;8;2;1;11;10;12;4;5;3;7;6
9;8;2;12;11;10;1;4;5;3;7;6;1;30128
1;30128;9;8;2;12;11;10;1;4;5;3;7;6
7;8;2;12;11;10;1;4;5;3;9;6;1;42812
1;30128;9;8;2;12;11;10;1;4;5;3;7;6
9;8;2;1;11;10;12;4;5;3;7;6;1;32244
1;32244;9;8;2;1;11;10;12;4;5;3;7;6
9;8;2;1;7;10;12;4;5;3;11;6;1;31900
1;31900;9;8;2;1;7;10;12;4;5;3;11;6
9;7;2;1;8;10;12;4;5;3;11;6;1;30878
1;30878;9;7;2;1;8;10;12;4;5;3;11;6
9;7;2;1;8;4;12;10;5;3;11;6;1;45160
1;45160;9;7;2;1;8;4;12;10;5;3;11;6
9;7;2;1;10;4;12;8;5;3;11;6;1;48928
1;45160;9;7;2;1;8;4;12;10;5;3;11;6
9;4;2;1;8;7;12;10;5;3;11;6;1;45344
1;45344;9;4;2;1;8;7;12;10;5;3;11;6
9;4;2;1;8;7;12;6;5;3;11;10;1;50040
1;50040;9;4;2;1;8;7;12;6;5;3;11;10
8;4;2;1;9;7;12;6;5;3;11;10;1;49370
1;49370;8;4;2;1;9;7;12;6;5;3;11;10
8;7;2;1;9;4;12;6;5;3;11;10;1;57286
1;57286;8;7;2;1;9;4;12;6;5;3;11;10
8;1;2;7;9;4;12;6;5;3;11;10;1;47200
2;47200;8;1;2;7;9;4;12;6;5;3;11;10
8;11;2;7;9;4;12;6;5;3;1;10;2;54304
2;47200;8;1;2;7;9;4;12;6;5;3;11;10
8;1;2;7;5;4;12;6;9;3;11;10;2;47770
2;47770;8;1;2;7;5;4;12;6;9;3;11;10
8;1;5;7;2;4;12;6;9;3;11;10;2;53276
2;53276;8;1;5;7;2;4;12;6;9;3;11;10
7;1;5;8;2;4;12;6;9;3;11;10;2;44168
2;44168;7;1;5;8;2;4;12;6;9;3;11;10
7;1;5;8;2;10;12;6;9;3;11;4;2;39678
2;39678;7;1;5;8;2;10;12;6;9;3;11;4
7;8;5;1;2;10;12;6;9;3;11;4;2;48714
2;48714;7;8;5;1;2;10;12;6;9;3;11;4
7;5;8;1;2;10;12;6;9;3;11;4;2;36858
2;36858;7;5;8;1;2;10;12;6;9;3;11;4
10;5;8;1;2;7;12;6;9;3;11;4;2;36996
2;36996;10;5;8;1;2;7;12;6;9;3;11;4
2;5;8;1;10;7;12;6;9;3;11;4;2;52510
2;52510;2;5;8;1;10;7;12;6;9;3;11;4
2;5;8;1;10;11;12;6;9;3;7;4;2;52286
2;52286;2;5;8;1;10;11;12;6;9;3;7;4
2;7;8;1;10;11;12;6;9;3;5;4;2;52840
2;52840;2;7;8;1;10;11;12;6;9;3;5;4
2;7;8;1;4;11;12;6;9;3;5;10;2;55026
2;55026;2;7;8;1;4;11;12;6;9;3;5;10
2;5;8;1;4;11;12;6;9;3;7;10;2;54472
2;54472;2;5;8;1;4;11;12;6;9;3;7;10
7;5;8;1;4;11;12;6;9;3;2;10;2;38976
2;38976;7;5;8;1;4;11;12;6;9;3;2;10
7;5;8;3;4;11;12;6;9;1;2;10;2;33174
2;33174;7;5;8;3;4;11;12;6;9;1;2;10
7;5;6;3;4;11;12;8;9;1;2;10;2;23746
2;23746;7;5;6;3;4;11;12;8;9;1;2;10
7;5;6;3;1;11;12;8;9;4;2;10;2;24010
2;24010;7;5;6;3;1;11;12;8;9;4;2;10
7;9;6;3;1;11;12;8;5;4;2;10;2;38516
2;24010;7;5;6;3;1;11;12;8;9;4;2;10
7;5;6;3;1;11;9;8;12;4;2;10;2;24234
2;24234;7;5;6;3;1;11;9;8;12;4;2;10
7;5;6;3;1;9;11;8;12;4;2;10;2;34784
3;34784;7;5;6;3;1;9;11;8;12;4;2;10
7;2;6;3;1;9;11;8;12;4;5;10;3;34388
3;34388;7;2;6;3;1;9;11;8;12;4;5;10
7;2;5;3;1;9;11;8;12;4;6;10;3;29560
3;29560;7;2;5;3;1;9;11;8;12;4;6;10
7;2;5;3;12;9;11;8;1;4;6;10;3;34264
3;29560;7;2;5;3;1;9;11;8;12;4;6;10
