"X1";"X6129384";"X5";"X22";"X16";"X9";"X10";"X3";"X15";"X17";"X6";"X4";"X25";"X23";"X1.1";"X13";"X24";"X26";"X14";"X11";"X8";"X20";"X12";"X19";"X18";"X2";"X21";"X7"
1;6129384;5;22;16;9;10;3;15;17;6;4;25;23;1;13;24;26;14;11;8;20;12;19;18;2;21;7
5;11;16;9;10;3;15;17;6;4;25;23;1;13;24;26;14;22;8;20;12;19;18;2;21;7;1;6144891
1;6144891;5;11;16;9;10;3;15;17;6;4;25;23;1;13;24;26;14;22;8;20;12;19;18;2;21;7
5;11;16;9;10;3;15;17;6;4;25;23;14;13;24;26;1;22;8;20;12;19;18;2;21;7;1;6083385
1;6083385;5;11;16;9;10;3;15;17;6;4;25;23;14;13;24;26;1;22;8;20;12;19;18;2;21;7
5;11;16;9;10;25;15;17;6;4;3;23;14;13;24;26;1;22;8;20;12;19;18;2;21;7;1;6075246
1;6075246;5;11;16;9;10;25;15;17;6;4;3;23;14;13;24;26;1;22;8;20;12;19;18;2;21;7
5;11;16;9;4;25;15;17;6;10;3;23;14;13;24;26;1;22;8;20;12;19;18;2;21;7;1;6162052
1;6162052;5;11;16;9;4;25;15;17;6;10;3;23;14;13;24;26;1;22;8;20;12;19;18;2;21;7
5;11;16;9;4;25;15;17;6;10;3;23;18;13;24;26;1;22;8;20;12;19;14;2;21;7;1;6238483
1;6238483;5;11;16;9;4;25;15;17;6;10;3;23;18;13;24;26;1;22;8;20;12;19;14;2;21;7
5;11;16;9;21;25;15;17;6;10;3;23;18;13;24;26;1;22;8;20;12;19;14;2;4;7;1;6201617
1;6201617;5;11;16;9;21;25;15;17;6;10;3;23;18;13;24;26;1;22;8;20;12;19;14;2;4;7
5;11;16;9;21;25;15;17;4;10;3;23;18;13;24;26;1;22;8;20;12;19;14;2;6;7;1;6196298
1;6196298;5;11;16;9;21;25;15;17;4;10;3;23;18;13;24;26;1;22;8;20;12;19;14;2;6;7
5;11;16;9;21;25;15;17;1;10;3;23;18;13;24;26;4;22;8;20;12;19;14;2;6;7;1;6220119
1;6220119;5;11;16;9;21;25;15;17;1;10;3;23;18;13;24;26;4;22;8;20;12;19;14;2;6;7
5;11;16;26;21;25;15;17;1;10;3;23;18;13;24;9;4;22;8;20;12;19;14;2;6;7;1;6026012
1;6026012;5;11;16;26;21;25;15;17;1;10;3;23;18;13;24;9;4;22;8;20;12;19;14;2;6;7
5;11;16;26;21;25;15;17;1;10;3;23;18;13;24;9;4;12;8;20;22;19;14;2;6;7;1;5986272
1;5986272;5;11;16;26;21;25;15;17;1;10;3;23;18;13;24;9;4;12;8;20;22;19;14;2;6;7
5;11;16;26;21;25;15;9;1;10;3;23;18;13;24;17;4;12;8;20;22;19;14;2;6;7;1;5991679
1;5991679;5;11;16;26;21;25;15;9;1;10;3;23;18;13;24;17;4;12;8;20;22;19;14;2;6;7
5;11;16;26;21;12;15;9;1;10;3;23;18;13;24;17;4;25;8;20;22;19;14;2;6;7;1;6015376
1;6015376;5;11;16;26;21;12;15;9;1;10;3;23;18;13;24;17;4;25;8;20;22;19;14;2;6;7
5;11;16;26;21;12;15;9;1;10;3;23;18;13;24;17;4;22;8;20;25;19;14;2;6;7;1;6017000
1;6017000;5;11;16;26;21;12;15;9;1;10;3;23;18;13;24;17;4;22;8;20;25;19;14;2;6;7
5;11;16;18;21;12;15;9;1;10;3;23;26;13;24;17;4;22;8;20;25;19;14;2;6;7;1;6085514
1;6085514;5;11;16;18;21;12;15;9;1;10;3;23;26;13;24;17;4;22;8;20;25;19;14;2;6;7
5;11;16;18;21;12;15;9;1;4;3;23;26;13;24;17;10;22;8;20;25;19;14;2;6;7;1;6086993
1;6086993;5;11;16;18;21;12;15;9;1;4;3;23;26;13;24;17;10;22;8;20;25;19;14;2;6;7
5;11;16;18;21;12;15;9;1;4;3;23;26;13;24;17;10;22;8;6;25;19;14;2;20;7;1;6011383
1;6011383;5;11;16;18;21;12;15;9;1;4;3;23;26;13;24;17;10;22;8;6;25;19;14;2;20;7
5;11;16;18;21;12;15;9;2;4;3;23;26;13;24;17;10;22;8;6;25;19;14;1;20;7;1;6055564
1;6055564;5;11;16;18;21;12;15;9;2;4;3;23;26;13;24;17;10;22;8;6;25;19;14;1;20;7
5;11;6;18;21;12;15;9;2;4;3;23;26;13;24;17;10;22;8;16;25;19;14;1;20;7;1;6043761
1;6043761;5;11;6;18;21;12;15;9;2;4;3;23;26;13;24;17;10;22;8;16;25;19;14;1;20;7
5;11;6;18;21;12;15;9;2;4;3;23;26;24;13;17;10;22;8;16;25;19;14;1;20;7;1;6055932
1;6055932;5;11;6;18;21;12;15;9;2;4;3;23;26;24;13;17;10;22;8;16;25;19;14;1;20;7
5;11;6;18;21;12;15;9;2;4;3;23;26;24;13;8;10;22;17;16;25;19;14;1;20;7;1;6061670
2;6061670;5;11;6;18;21;12;15;9;2;4;3;23;26;24;13;8;10;22;17;16;25;19;14;1;20;7
5;11;6;18;21;26;15;9;2;4;3;23;12;24;13;8;10;22;17;16;25;19;14;1;20;7;2;6045674
2;6045674;5;11;6;18;21;26;15;9;2;4;3;23;12;24;13;8;10;22;17;16;25;19;14;1;20;7
