"X1";"X5853449";"X1.1";"X6";"X18";"X7";"X23";"X8";"X20";"X16";"X4";"X10";"X15";"X21";"X24";"X12";"X5";"X9";"X13";"X14";"X17";"X11";"X3";"X19";"X25";"X26";"X2";"X22"
1;5853449;1;6;18;7;23;8;20;16;4;10;15;21;24;12;5;9;13;14;17;11;3;19;25;26;2;22
1;6;18;7;23;8;20;15;4;10;16;21;24;12;5;9;13;14;17;11;3;19;25;26;2;22;1;5878181
1;5878181;1;6;18;7;23;8;20;15;4;10;16;21;24;12;5;9;13;14;17;11;3;19;25;26;2;22
1;6;18;7;23;8;20;15;4;10;16;17;24;12;5;9;13;14;21;11;3;19;25;26;2;22;1;5857953
1;5857953;1;6;18;7;23;8;20;15;4;10;16;17;24;12;5;9;13;14;21;11;3;19;25;26;2;22
1;6;18;7;23;3;20;15;4;10;16;17;24;12;5;9;13;14;21;11;8;19;25;26;2;22;1;5870701
1;5870701;1;6;18;7;23;3;20;15;4;10;16;17;24;12;5;9;13;14;21;11;8;19;25;26;2;22
1;6;18;22;23;3;20;15;4;10;16;17;24;12;5;9;13;14;21;11;8;19;25;26;2;7;1;5849753
1;5849753;1;6;18;22;23;3;20;15;4;10;16;17;24;12;5;9;13;14;21;11;8;19;25;26;2;7
1;6;18;22;23;3;20;15;4;11;16;17;24;12;5;9;13;14;21;10;8;19;25;26;2;7;1;5845008
1;5845008;1;6;18;22;23;3;20;15;4;11;16;17;24;12;5;9;13;14;21;10;8;19;25;26;2;7
1;18;6;22;23;3;20;15;4;11;16;17;24;12;5;9;13;14;21;10;8;19;25;26;2;7;1;5852790
1;5852790;1;18;6;22;23;3;20;15;4;11;16;17;24;12;5;9;13;14;21;10;8;19;25;26;2;7
6;18;1;22;23;3;20;15;4;11;16;17;24;12;5;9;13;14;21;10;8;19;25;26;2;7;1;5856963
1;5856963;6;18;1;22;23;3;20;15;4;11;16;17;24;12;5;9;13;14;21;10;8;19;25;26;2;7
6;23;1;22;18;3;20;15;4;11;16;17;24;12;5;9;13;14;21;10;8;19;25;26;2;7;1;5849168
1;5849168;6;23;1;22;18;3;20;15;4;11;16;17;24;12;5;9;13;14;21;10;8;19;25;26;2;7
6;23;1;22;18;3;20;15;4;11;16;10;24;12;5;9;13;14;21;17;8;19;25;26;2;7;1;5848542
1;5848542;6;23;1;22;18;3;20;15;4;11;16;10;24;12;5;9;13;14;21;17;8;19;25;26;2;7
6;26;1;22;18;3;20;15;4;11;16;10;24;12;5;9;13;14;21;17;8;19;25;23;2;7;1;5848009
1;5848009;6;26;1;22;18;3;20;15;4;11;16;10;24;12;5;9;13;14;21;17;8;19;25;23;2;7
6;26;1;22;18;3;20;15;9;11;16;10;24;12;5;4;13;14;21;17;8;19;25;23;2;7;1;5838030
1;5838030;6;26;1;22;18;3;20;15;9;11;16;10;24;12;5;4;13;14;21;17;8;19;25;23;2;7
6;26;1;22;18;3;20;15;9;11;16;12;24;10;5;4;13;14;21;17;8;19;25;23;2;7;1;5831784
1;5831784;6;26;1;22;18;3;20;15;9;11;16;12;24;10;5;4;13;14;21;17;8;19;25;23;2;7
6;26;1;22;18;10;20;15;9;11;16;12;24;3;5;4;13;14;21;17;8;19;25;23;2;7;1;5870428
1;5870428;6;26;1;22;18;10;20;15;9;11;16;12;24;3;5;4;13;14;21;17;8;19;25;23;2;7
6;26;18;22;1;10;20;15;9;11;16;12;24;3;5;4;13;14;21;17;8;19;25;23;2;7;1;5862578
1;5862578;6;26;18;22;1;10;20;15;9;11;16;12;24;3;5;4;13;14;21;17;8;19;25;23;2;7
6;26;8;22;1;10;20;15;9;11;16;12;24;3;5;4;13;14;21;17;18;19;25;23;2;7;1;5876090
1;5876090;6;26;8;22;1;10;20;15;9;11;16;12;24;3;5;4;13;14;21;17;18;19;25;23;2;7
6;26;8;22;1;10;20;15;9;11;17;12;24;3;5;4;13;14;21;16;18;19;25;23;2;7;1;5886535
1;5886535;6;26;8;22;1;10;20;15;9;11;17;12;24;3;5;4;13;14;21;16;18;19;25;23;2;7
6;24;8;22;1;10;20;15;9;11;17;12;26;3;5;4;13;14;21;16;18;19;25;23;2;7;1;5882450
1;5882450;6;24;8;22;1;10;20;15;9;11;17;12;26;3;5;4;13;14;21;16;18;19;25;23;2;7
6;24;8;22;1;10;20;15;9;11;17;12;26;3;5;19;13;14;21;16;18;4;25;23;2;7;1;5902489
1;5902489;6;24;8;22;1;10;20;15;9;11;17;12;26;3;5;19;13;14;21;16;18;4;25;23;2;7
6;24;8;18;1;10;20;15;9;11;17;12;26;3;5;19;13;14;21;16;22;4;25;23;2;7;1;5863096
1;5863096;6;24;8;18;1;10;20;15;9;11;17;12;26;3;5;19;13;14;21;16;22;4;25;23;2;7
6;24;8;12;1;10;20;15;9;11;17;18;26;3;5;19;13;14;21;16;22;4;25;23;2;7;1;5801674
2;5801674;6;24;8;12;1;10;20;15;9;11;17;18;26;3;5;19;13;14;21;16;22;4;25;23;2;7
6;24;8;12;1;17;20;15;9;11;10;18;26;3;5;19;13;14;21;16;22;4;25;23;2;7;2;5804708
2;5804708;6;24;8;12;1;17;20;15;9;11;10;18;26;3;5;19;13;14;21;16;22;4;25;23;2;7
6;24;8;12;1;17;20;15;18;11;10;9;26;3;5;19;13;14;21;16;22;4;25;23;2;7;2;5787566
2;5787566;6;24;8;12;1;17;20;15;18;11;10;9;26;3;5;19;13;14;21;16;22;4;25;23;2;7
6;24;8;12;1;17;4;15;18;11;10;9;26;3;5;19;13;14;21;16;22;20;25;23;2;7;2;5812300
2;5812300;6;24;8;12;1;17;4;15;18;11;10;9;26;3;5;19;13;14;21;16;22;20;25;23;2;7
6;24;8;12;1;17;4;15;18;11;10;9;26;3;5;19;13;14;21;16;25;20;22;23;2;7;2;5811647
2;5811647;6;24;8;12;1;17;4;15;18;11;10;9;26;3;5;19;13;14;21;16;25;20;22;23;2;7
6;24;8;12;1;13;4;15;18;11;10;9;26;3;5;19;17;14;21;16;25;20;22;23;2;7;2;5820715
2;5820715;6;24;8;12;1;13;4;15;18;11;10;9;26;3;5;19;17;14;21;16;25;20;22;23;2;7
6;24;8;12;1;13;4;15;18;11;10;9;26;3;5;17;19;14;21;16;25;20;22;23;2;7;2;5800032
2;5800032;6;24;8;12;1;13;4;15;18;11;10;9;26;3;5;17;19;14;21;16;25;20;22;23;2;7
6;24;8;12;1;13;4;15;20;11;10;9;26;3;5;17;19;14;21;16;25;18;22;23;2;7;2;5854331
2;5854331;6;24;8;12;1;13;4;15;20;11;10;9;26;3;5;17;19;14;21;16;25;18;22;23;2;7
6;18;8;12;1;13;4;15;20;11;10;9;26;3;5;17;19;14;21;16;25;24;22;23;2;7;2;5808568
2;5808568;6;18;8;12;1;13;4;15;20;11;10;9;26;3;5;17;19;14;21;16;25;24;22;23;2;7
6;18;8;12;1;13;4;19;20;11;10;9;26;3;5;17;15;14;21;16;25;24;22;23;2;7;2;5802348
2;5802348;6;18;8;12;1;13;4;19;20;11;10;9;26;3;5;17;15;14;21;16;25;24;22;23;2;7
6;18;8;12;19;13;4;1;20;11;10;9;26;3;5;17;15;14;21;16;25;24;22;23;2;7;2;5837903
2;5837903;6;18;8;12;19;13;4;1;20;11;10;9;26;3;5;17;15;14;21;16;25;24;22;23;2;7
6;18;8;7;19;13;4;1;20;11;10;9;26;3;5;17;15;14;21;16;25;24;22;23;2;12;2;5864047
2;5864047;6;18;8;7;19;13;4;1;20;11;10;9;26;3;5;17;15;14;21;16;25;24;22;23;2;12
6;18;3;7;19;13;4;1;20;11;10;9;26;8;5;17;15;14;21;16;25;24;22;23;2;12;2;5847889
2;5847889;6;18;3;7;19;13;4;1;20;11;10;9;26;8;5;17;15;14;21;16;25;24;22;23;2;12
