"X1";"X5975236";"X1.1";"X8";"X21";"X3";"X12";"X15";"X20";"X7";"X18";"X4";"X13";"X2";"X14";"X6";"X5";"X10";"X23";"X25";"X26";"X9";"X16";"X19";"X24";"X17";"X22";"X11"
1;5975236;1;8;21;3;12;15;20;7;18;4;13;2;14;6;5;10;23;25;26;9;16;19;24;17;22;11
1;8;21;3;12;15;20;7;18;4;13;2;16;6;5;10;23;25;26;9;14;19;24;17;22;11;1;6137733
1;6137733;1;8;21;3;12;15;20;7;18;4;13;2;16;6;5;10;23;25;26;9;14;19;24;17;22;11
1;8;21;3;12;15;20;7;18;4;13;2;16;14;5;10;23;25;26;9;6;19;24;17;22;11;1;6016061
1;6016061;1;8;21;3;12;15;20;7;18;4;13;2;16;14;5;10;23;25;26;9;6;19;24;17;22;11
1;8;21;9;12;15;20;7;18;4;13;2;16;14;5;10;23;25;26;3;6;19;24;17;22;11;1;6052344
1;6052344;1;8;21;9;12;15;20;7;18;4;13;2;16;14;5;10;23;25;26;3;6;19;24;17;22;11
1;8;21;9;12;22;20;7;18;4;13;2;16;14;5;10;23;25;26;3;6;19;24;17;15;11;1;6055941
1;6055941;1;8;21;9;12;22;20;7;18;4;13;2;16;14;5;10;23;25;26;3;6;19;24;17;15;11
1;8;21;9;12;22;20;7;18;15;13;2;16;14;5;10;23;25;26;3;6;19;24;17;4;11;1;6040378
1;6040378;1;8;21;9;12;22;20;7;18;15;13;2;16;14;5;10;23;25;26;3;6;19;24;17;4;11
1;8;21;9;12;22;20;7;18;15;13;2;16;14;25;10;23;5;26;3;6;19;24;17;4;11;1;5879811
1;5879811;1;8;21;9;12;22;20;7;18;15;13;2;16;14;25;10;23;5;26;3;6;19;24;17;4;11
1;8;21;9;12;22;2;7;18;15;13;20;16;14;25;10;23;5;26;3;6;19;24;17;4;11;1;5887611
1;5887611;1;8;21;9;12;22;2;7;18;15;13;20;16;14;25;10;23;5;26;3;6;19;24;17;4;11
1;8;21;9;12;22;2;7;18;15;13;20;16;14;25;10;23;6;26;3;5;19;24;17;4;11;1;6045325
1;6045325;1;8;21;9;12;22;2;7;18;15;13;20;16;14;25;10;23;6;26;3;5;19;24;17;4;11
1;8;21;9;12;22;2;7;18;15;13;20;16;14;25;10;23;6;4;3;5;19;24;17;26;11;1;6046967
1;6046967;1;8;21;9;12;22;2;7;18;15;13;20;16;14;25;10;23;6;4;3;5;19;24;17;26;11
11;8;21;9;12;22;2;7;18;15;13;20;16;14;25;10;23;6;4;3;5;19;24;17;26;1;1;6042067
1;6042067;11;8;21;9;12;22;2;7;18;15;13;20;16;14;25;10;23;6;4;3;5;19;24;17;26;1
11;14;21;9;12;22;2;7;18;15;13;20;16;8;25;10;23;6;4;3;5;19;24;17;26;1;1;6150310
1;6150310;11;14;21;9;12;22;2;7;18;15;13;20;16;8;25;10;23;6;4;3;5;19;24;17;26;1
11;14;21;9;12;22;2;7;18;15;13;20;16;8;25;10;6;23;4;3;5;19;24;17;26;1;1;6151090
1;6151090;11;14;21;9;12;22;2;7;18;15;13;20;16;8;25;10;6;23;4;3;5;19;24;17;26;1
11;14;4;9;12;22;2;7;18;15;13;20;16;8;25;10;6;23;21;3;5;19;24;17;26;1;1;6176299
1;6176299;11;14;4;9;12;22;2;7;18;15;13;20;16;8;25;10;6;23;21;3;5;19;24;17;26;1
11;14;4;9;12;22;2;7;18;15;13;20;16;8;25;10;6;17;21;3;5;19;24;23;26;1;1;6203144
1;6203144;11;14;4;9;12;22;2;7;18;15;13;20;16;8;25;10;6;17;21;3;5;19;24;23;26;1
11;14;4;15;12;22;2;7;18;9;13;20;16;8;25;10;6;17;21;3;5;19;24;23;26;1;1;6030314
1;6030314;11;14;4;15;12;22;2;7;18;9;13;20;16;8;25;10;6;17;21;3;5;19;24;23;26;1
11;14;4;15;12;22;2;7;18;9;13;20;16;8;25;10;17;6;21;3;5;19;24;23;26;1;1;6027823
1;6027823;11;14;4;15;12;22;2;7;18;9;13;20;16;8;25;10;17;6;21;3;5;19;24;23;26;1
11;14;4;15;12;22;2;7;18;9;13;20;16;5;25;10;17;6;21;3;8;19;24;23;26;1;1;5799633
1;5799633;11;14;4;15;12;22;2;7;18;9;13;20;16;5;25;10;17;6;21;3;8;19;24;23;26;1
11;14;4;15;12;22;2;7;18;9;13;20;16;5;25;23;17;6;21;3;8;19;24;10;26;1;1;5791721
1;5791721;11;14;4;15;12;22;2;7;18;9;13;20;16;5;25;23;17;6;21;3;8;19;24;10;26;1
11;14;4;16;12;22;2;7;18;9;13;20;15;5;25;23;17;6;21;3;8;19;24;10;26;1;1;5782791
1;5782791;11;14;4;16;12;22;2;7;18;9;13;20;15;5;25;23;17;6;21;3;8;19;24;10;26;1
11;14;4;16;12;22;2;7;18;9;13;20;15;5;25;23;17;6;26;3;8;19;24;10;21;1;1;5815109
2;5815109;11;14;4;16;12;22;2;7;18;9;13;20;15;5;25;23;17;6;26;3;8;19;24;10;21;1
11;14;4;16;12;22;2;7;18;9;13;20;15;5;25;23;17;6;26;3;10;19;24;8;21;1;2;5822009
2;5822009;11;14;4;16;12;22;2;7;18;9;13;20;15;5;25;23;17;6;26;3;10;19;24;8;21;1
11;14;4;16;12;22;2;7;18;9;13;20;3;5;25;23;17;6;26;15;10;19;24;8;21;1;2;5833013
