"X1";"X6038498";"X16";"X3";"X5";"X4";"X22";"X15";"X12";"X7";"X19";"X23";"X26";"X20";"X9";"X17";"X2";"X8";"X10";"X18";"X24";"X6";"X21";"X13";"X11";"X14";"X1.1";"X25"
1;6038498;16;3;5;4;22;15;12;7;19;23;26;20;9;17;2;8;10;18;24;6;21;13;11;14;1;25
16;3;6;4;22;15;12;7;19;23;26;20;9;17;2;8;10;18;24;5;21;13;11;14;1;25;1;6056673
1;6056673;16;3;6;4;22;15;12;7;19;23;26;20;9;17;2;8;10;18;24;5;21;13;11;14;1;25
16;3;6;4;22;15;24;7;19;23;26;20;9;17;2;8;10;18;12;5;21;13;11;14;1;25;1;6016853
1;6016853;16;3;6;4;22;15;24;7;19;23;26;20;9;17;2;8;10;18;12;5;21;13;11;14;1;25
16;3;6;4;22;15;24;25;19;23;26;20;9;17;2;8;10;18;12;5;21;13;11;14;1;7;1;6015353
1;6015353;16;3;6;4;22;15;24;25;19;23;26;20;9;17;2;8;10;18;12;5;21;13;11;14;1;7
16;3;6;4;22;15;24;25;19;23;26;20;9;17;2;8;10;18;12;1;21;13;11;14;5;7;1;5865314
1;5865314;16;3;6;4;22;15;24;25;19;23;26;20;9;17;2;8;10;18;12;1;21;13;11;14;5;7
16;3;6;4;22;15;24;25;19;23;26;20;9;17;7;8;10;18;12;1;21;13;11;14;5;2;1;5876039
1;5876039;16;3;6;4;22;15;24;25;19;23;26;20;9;17;7;8;10;18;12;1;21;13;11;14;5;2
16;3;6;4;22;15;24;25;19;23;26;21;9;17;7;8;10;18;12;1;20;13;11;14;5;2;1;5888240
1;5888240;16;3;6;4;22;15;24;25;19;23;26;21;9;17;7;8;10;18;12;1;20;13;11;14;5;2
16;3;6;4;22;15;24;25;19;23;5;21;9;17;7;8;10;18;12;1;20;13;11;14;26;2;1;5882493
1;5882493;16;3;6;4;22;15;24;25;19;23;5;21;9;17;7;8;10;18;12;1;20;13;11;14;26;2
16;3;6;4;22;15;24;25;19;23;5;21;9;17;7;8;10;18;12;1;26;13;11;14;20;2;1;5876154
1;5876154;16;3;6;4;22;15;24;25;19;23;5;21;9;17;7;8;10;18;12;1;26;13;11;14;20;2
16;18;6;4;22;15;24;25;19;23;5;21;9;17;7;8;10;3;12;1;26;13;11;14;20;2;1;5991587
1;5991587;16;18;6;4;22;15;24;25;19;23;5;21;9;17;7;8;10;3;12;1;26;13;11;14;20;2
16;18;6;4;22;15;24;17;19;23;5;21;9;25;7;8;10;3;12;1;26;13;11;14;20;2;1;5991647
1;5991647;16;18;6;4;22;15;24;17;19;23;5;21;9;25;7;8;10;3;12;1;26;13;11;14;20;2
16;18;6;4;22;17;24;15;19;23;5;21;9;25;7;8;10;3;12;1;26;13;11;14;20;2;1;5988192
1;5988192;16;18;6;4;22;17;24;15;19;23;5;21;9;25;7;8;10;3;12;1;26;13;11;14;20;2
16;18;6;4;22;9;24;15;19;23;5;21;17;25;7;8;10;3;12;1;26;13;11;14;20;2;1;6018372
1;6018372;16;18;6;4;22;9;24;15;19;23;5;21;17;25;7;8;10;3;12;1;26;13;11;14;20;2
16;18;3;4;22;9;24;15;19;23;5;21;17;25;7;8;10;6;12;1;26;13;11;14;20;2;1;5977779
1;5977779;16;18;3;4;22;9;24;15;19;23;5;21;17;25;7;8;10;6;12;1;26;13;11;14;20;2
16;18;3;4;22;9;24;15;19;23;5;21;14;25;7;8;10;6;12;1;26;13;11;17;20;2;1;5793322
