"X1";"X31888";"X1.1";"X7";"X11";"X2";"X10";"X4";"X6";"X3";"X5";"X12";"X8";"X9"
1;31888;1;7;11;2;10;4;6;3;5;12;8;9
1;7;11;5;10;4;6;3;2;12;8;9;1;35672
1;35672;1;7;11;5;10;4;6;3;2;12;8;9
1;6;11;5;10;4;7;3;2;12;8;9;1;43940
1;43940;1;6;11;5;10;4;7;3;2;12;8;9
1;6;11;2;10;4;7;3;5;12;8;9;1;40156
1;40156;1;6;11;2;10;4;7;3;5;12;8;9
1;6;7;2;10;4;11;3;5;12;8;9;1;39544
1;39544;1;6;7;2;10;4;11;3;5;12;8;9
12;6;7;2;10;4;11;3;5;1;8;9;1;40874
1;40874;12;6;7;2;10;4;11;3;5;1;8;9
12;6;7;2;10;4;11;9;5;1;8;3;1;43088
1;43088;12;6;7;2;10;4;11;9;5;1;8;3
12;6;7;11;10;4;2;9;5;1;8;3;1;40908
1;40908;12;6;7;11;10;4;2;9;5;1;8;3
12;6;10;11;7;4;2;9;5;1;8;3;1;39330
1;39330;12;6;10;11;7;4;2;9;5;1;8;3
4;6;10;11;7;12;2;9;5;1;8;3;1;41522
1;41522;4;6;10;11;7;12;2;9;5;1;8;3
4;6;10;5;7;12;2;9;11;1;8;3;1;41744
1;41744;4;6;10;5;7;12;2;9;11;1;8;3
11;6;10;5;7;12;2;9;4;1;8;3;1;38420
1;38420;11;6;10;5;7;12;2;9;4;1;8;3
11;6;10;5;1;12;2;9;4;7;8;3;1;29408
1;29408;11;6;10;5;1;12;2;9;4;7;8;3
11;6;10;5;1;7;2;9;4;12;8;3;1;40228
1;40228;11;6;10;5;1;7;2;9;4;12;8;3
2;6;10;5;1;7;11;9;4;12;8;3;1;54550
1;54550;2;6;10;5;1;7;11;9;4;12;8;3
2;6;10;5;1;7;12;9;4;11;8;3;1;55868
1;55868;2;6;10;5;1;7;12;9;4;11;8;3
2;6;10;5;1;7;11;9;4;12;8;3;1;54550
1;54550;2;6;10;5;1;7;11;9;4;12;8;3
2;6;9;5;1;7;11;10;4;12;8;3;1;62934
1;62934;2;6;9;5;1;7;11;10;4;12;8;3
2;6;9;5;3;7;11;10;4;12;8;1;1;68484
1;68484;2;6;9;5;3;7;11;10;4;12;8;1
2;6;9;5;11;7;3;10;4;12;8;1;1;70560
1;70560;2;6;9;5;11;7;3;10;4;12;8;1
2;6;9;12;11;7;3;10;4;5;8;1;1;51972
2;51972;2;6;9;12;11;7;3;10;4;5;8;1
2;6;9;12;11;10;3;7;4;5;8;1;2;41544
2;41544;2;6;9;12;11;10;3;7;4;5;8;1
1;6;9;12;11;10;3;7;4;5;8;2;2;47114
2;47114;1;6;9;12;11;10;3;7;4;5;8;2
11;6;9;12;1;10;3;7;4;5;8;2;2;29812
2;29812;11;6;9;12;1;10;3;7;4;5;8;2
