"X1";"X32174";"X4";"X8";"X1.1";"X6";"X2";"X11";"X3";"X12";"X9";"X7";"X5";"X10"
1;32174;4;8;1;6;2;11;3;12;9;7;5;10
4;8;1;7;2;11;3;12;9;6;5;10;1;36344
1;32174;4;8;1;6;2;11;3;12;9;7;5;10
6;8;1;4;2;11;3;12;9;7;5;10;1;37772
1;37772;6;8;1;4;2;11;3;12;9;7;5;10
6;8;1;4;2;11;3;10;9;7;5;12;1;32208
1;32208;6;8;1;4;2;11;3;10;9;7;5;12
6;8;12;4;2;11;3;10;9;7;5;1;1;32052
1;32052;6;8;12;4;2;11;3;10;9;7;5;1
6;8;12;4;2;11;5;10;9;7;3;1;1;32322
1;32322;6;8;12;4;2;11;5;10;9;7;3;1
7;8;12;4;2;11;5;10;9;6;3;1;1;49496
1;49496;7;8;12;4;2;11;5;10;9;6;3;1
7;8;12;4;2;11;5;10;9;6;1;3;1;51926
1;51926;7;8;12;4;2;11;5;10;9;6;1;3
7;8;12;4;2;1;5;10;9;6;11;3;1;53030
1;53030;7;8;12;4;2;1;5;10;9;6;11;3
7;8;12;3;2;1;5;10;9;6;11;4;1;47292
1;47292;7;8;12;3;2;1;5;10;9;6;11;4
7;8;12;3;2;1;5;11;9;6;10;4;1;36198
1;36198;7;8;12;3;2;1;5;11;9;6;10;4
7;8;10;3;2;1;5;11;9;6;12;4;1;32424
1;32424;7;8;10;3;2;1;5;11;9;6;12;4
7;8;10;3;2;1;5;11;4;6;12;9;1;37258
1;37258;7;8;10;3;2;1;5;11;4;6;12;9
7;8;10;3;2;1;5;11;6;4;12;9;1;47374
1;47374;7;8;10;3;2;1;5;11;6;4;12;9
7;8;1;3;2;10;5;11;6;4;12;9;1;44894
1;44894;7;8;1;3;2;10;5;11;6;4;12;9
7;8;2;3;1;10;5;11;6;4;12;9;1;46176
1;46176;7;8;2;3;1;10;5;11;6;4;12;9
7;8;2;3;1;10;9;11;6;4;12;5;1;47460
1;47460;7;8;2;3;1;10;9;11;6;4;12;5
7;8;11;3;1;10;9;2;6;4;12;5;1;41852
1;41852;7;8;11;3;1;10;9;2;6;4;12;5
7;8;12;3;1;10;9;2;6;4;11;5;1;37812
1;37812;7;8;12;3;1;10;9;2;6;4;11;5
7;8;12;3;1;10;9;5;6;4;11;2;1;45936
1;45936;7;8;12;3;1;10;9;5;6;4;11;2
7;8;12;3;1;10;4;5;6;9;11;2;1;45376
2;45376;7;8;12;3;1;10;4;5;6;9;11;2
7;3;12;8;1;10;4;5;6;9;11;2;2;50650
2;50650;7;3;12;8;1;10;4;5;6;9;11;2
7;3;12;1;8;10;4;5;6;9;11;2;2;53610
2;53610;7;3;12;1;8;10;4;5;6;9;11;2
7;3;12;1;11;10;4;5;6;9;8;2;2;54478
2;54478;7;3;12;1;11;10;4;5;6;9;8;2
7;3;12;1;9;10;4;5;6;11;8;2;2;42296
2;42296;7;3;12;1;9;10;4;5;6;11;8;2
7;3;12;1;9;10;8;5;6;11;4;2;2;39542
2;39542;7;3;12;1;9;10;8;5;6;11;4;2
6;3;12;1;9;10;8;5;7;11;4;2;2;51544
2;51544;6;3;12;1;9;10;8;5;7;11;4;2
6;8;12;1;9;10;3;5;7;11;4;2;2;34476
2;34476;6;8;12;1;9;10;3;5;7;11;4;2
6;8;12;1;9;11;3;5;7;10;4;2;2;34616
2;34616;6;8;12;1;9;11;3;5;7;10;4;2
6;8;12;1;5;11;3;9;7;10;4;2;2;44692
2;44692;6;8;12;1;5;11;3;9;7;10;4;2
6;8;12;11;5;1;3;9;7;10;4;2;2;44630
2;44630;6;8;12;11;5;1;3;9;7;10;4;2
10;8;12;11;5;1;3;9;7;6;4;2;2;33066
2;33066;10;8;12;11;5;1;3;9;7;6;4;2
10;8;3;11;5;1;12;9;7;6;4;2;2;33718
2;33718;10;8;3;11;5;1;12;9;7;6;4;2
10;8;3;9;5;1;12;11;7;6;4;2;2;25666
2;25666;10;8;3;9;5;1;12;11;7;6;4;2
7;8;3;9;5;1;12;11;10;6;4;2;2;36238
2;36238;7;8;3;9;5;1;12;11;10;6;4;2
1;8;3;9;5;7;12;11;10;6;4;2;2;42618
2;42618;1;8;3;9;5;7;12;11;10;6;4;2
1;8;3;7;5;9;12;11;10;6;4;2;2;32640
2;32640;1;8;3;7;5;9;12;11;10;6;4;2
1;8;3;7;2;9;12;11;10;6;4;5;2;31106
2;31106;1;8;3;7;2;9;12;11;10;6;4;5
1;8;3;11;2;9;12;7;10;6;4;5;2;51368
2;31106;1;8;3;7;2;9;12;11;10;6;4;5
1;8;3;10;2;9;12;11;7;6;4;5;2;31300
2;31300;1;8;3;10;2;9;12;11;7;6;4;5
1;8;7;10;2;9;12;11;3;6;4;5;2;27730
3;27730;1;8;7;10;2;9;12;11;3;6;4;5
1;12;7;10;2;9;8;11;3;6;4;5;3;39166
3;39166;1;12;7;10;2;9;8;11;3;6;4;5
1;12;7;10;2;9;11;8;3;6;4;5;3;49186
3;39166;1;12;7;10;2;9;8;11;3;6;4;5
1;12;7;10;8;9;2;11;3;6;4;5;3;36238
3;36238;1;12;7;10;8;9;2;11;3;6;4;5
1;12;7;10;8;9;2;11;5;6;4;3;3;42870
3;42870;1;12;7;10;8;9;2;11;5;6;4;3
1;12;7;10;8;3;2;11;5;6;4;9;3;43652
3;43652;1;12;7;10;8;3;2;11;5;6;4;9
12;1;7;10;8;3;2;11;5;6;4;9;3;49758
3;49758;12;1;7;10;8;3;2;11;5;6;4;9
12;4;7;10;8;3;2;11;5;6;1;9;3;40178
3;40178;12;4;7;10;8;3;2;11;5;6;1;9
12;4;7;10;8;3;2;11;5;6;9;1;3;43680
3;43680;12;4;7;10;8;3;2;11;5;6;9;1
12;4;6;10;8;3;2;11;5;7;9;1;3;49374
3;43680;12;4;7;10;8;3;2;11;5;6;9;1
6;4;7;10;8;3;2;11;5;12;9;1;3;33256
3;33256;6;4;7;10;8;3;2;11;5;12;9;1
6;4;7;9;8;3;2;11;5;12;10;1;3;29040
3;29040;6;4;7;9;8;3;2;11;5;12;10;1
6;4;7;9;12;3;2;11;5;8;10;1;3;22144
3;22144;6;4;7;9;12;3;2;11;5;8;10;1
6;7;4;9;12;3;2;11;5;8;10;1;3;42740
3;22144;6;4;7;9;12;3;2;11;5;8;10;1
6;8;7;9;12;3;2;11;5;4;10;1;3;47388
3;22144;6;4;7;9;12;3;2;11;5;8;10;1
6;4;7;9;1;3;2;11;5;8;10;12;3;28816
3;28816;6;4;7;9;1;3;2;11;5;8;10;12
4;6;7;9;1;3;2;11;5;8;10;12;3;37190
3;37190;4;6;7;9;1;3;2;11;5;8;10;12
4;6;7;9;1;11;2;3;5;8;10;12;3;29964
3;29964;4;6;7;9;1;11;2;3;5;8;10;12
4;6;7;9;8;11;2;3;5;1;10;12;3;29974
3;29974;4;6;7;9;8;11;2;3;5;1;10;12
4;6;9;7;8;11;2;3;5;1;10;12;3;30820
3;30820;4;6;9;7;8;11;2;3;5;1;10;12
4;9;6;7;8;11;2;3;5;1;10;12;3;43776
4;43776;4;9;6;7;8;11;2;3;5;1;10;12
4;9;6;7;8;11;2;10;5;1;3;12;4;34948
4;34948;4;9;6;7;8;11;2;10;5;1;3;12
4;11;6;7;8;9;2;10;5;1;3;12;4;40670
4;40670;4;11;6;7;8;9;2;10;5;1;3;12
4;11;2;7;8;9;6;10;5;1;3;12;4;40810
4;40810;4;11;2;7;8;9;6;10;5;1;3;12
4;11;2;10;8;9;6;7;5;1;3;12;4;38918
