"X1";"X49508";"X8";"X9";"X12";"X1.1";"X2";"X4";"X10";"X3";"X5";"X7";"X11";"X6"
1;49508;8;9;12;1;2;4;10;3;5;7;11;6
8;9;12;1;2;4;10;3;7;5;11;6;1;40788
1;40788;8;9;12;1;2;4;10;3;7;5;11;6
8;9;12;1;2;4;3;10;7;5;11;6;1;41480
1;41480;8;9;12;1;2;4;3;10;7;5;11;6
12;9;8;1;2;4;3;10;7;5;11;6;1;36482
1;36482;12;9;8;1;2;4;3;10;7;5;11;6
12;1;8;9;2;4;3;10;7;5;11;6;1;42854
1;42854;12;1;8;9;2;4;3;10;7;5;11;6
12;3;8;9;2;4;1;10;7;5;11;6;1;34550
1;34550;12;3;8;9;2;4;1;10;7;5;11;6
12;3;8;6;2;4;1;10;7;5;11;9;1;35484
1;35484;12;3;8;6;2;4;1;10;7;5;11;9
12;3;8;6;2;4;1;10;5;7;11;9;1;28626
1;28626;12;3;8;6;2;4;1;10;5;7;11;9
12;3;8;6;9;4;1;10;5;7;11;2;1;27998
1;27998;12;3;8;6;9;4;1;10;5;7;11;2
12;3;8;6;9;7;1;10;5;4;11;2;1;41808
1;27998;12;3;8;6;9;4;1;10;5;7;11;2
12;3;8;11;9;4;1;10;5;7;6;2;1;30684
1;30684;12;3;8;11;9;4;1;10;5;7;6;2
12;3;8;11;9;4;5;10;1;7;6;2;1;30754
1;30754;12;3;8;11;9;4;5;10;1;7;6;2
4;3;8;11;9;12;5;10;1;7;6;2;1;32568
1;32568;4;3;8;11;9;12;5;10;1;7;6;2
4;3;8;7;9;12;5;10;1;11;6;2;1;46510
1;46510;4;3;8;7;9;12;5;10;1;11;6;2
4;3;8;7;9;12;11;10;1;5;6;2;1;36228
1;36228;4;3;8;7;9;12;11;10;1;5;6;2
4;3;2;7;9;12;11;10;1;5;6;8;1;35966
1;35966;4;3;2;7;9;12;11;10;1;5;6;8
4;7;2;3;9;12;11;10;1;5;6;8;1;34740
1;34740;4;7;2;3;9;12;11;10;1;5;6;8
4;7;2;3;9;8;11;10;1;5;6;12;1;46192
1;46192;4;7;2;3;9;8;11;10;1;5;6;12
4;7;2;3;5;8;11;10;1;9;6;12;1;57042
1;57042;4;7;2;3;5;8;11;10;1;9;6;12
4;7;2;3;5;8;11;1;10;9;6;12;1;58578
1;58578;4;7;2;3;5;8;11;1;10;9;6;12
4;7;2;3;5;12;11;1;10;9;6;8;1;51444
2;51444;4;7;2;3;5;12;11;1;10;9;6;8
