"X25L";"X32L";"X10L";"X8L";"X11L";"X18L";"X7L";"X24L";"X29L";"X16L";"X19L";"X27L";"X22L";"X13L";"X4L";"X17L";"X21L";"X5L";"X23L";"X31L";"X26L";"X1L";"X30L";"X20L";"X9L";"X28L";"X3L";"X15L";"X6L";"X2L";"X14L";"X12L"
25;32;10;8;11;18;7;24;29;16;19;27;22;13;4;17;21;5;23;31;26;1;30;20;9;28;3;15;6;2;14;12
25;32;10;8;11;18;7;24;29;16;19;27;22;13;3;17;21;5;23;31;26;1;30;20;9;28;4;15;6;2;14;12
25;32;10;8;11;18;7;24;29;16;19;27;22;13;3;17;21;5;23;31;26;1;30;20;9;28;4;15;6;2;14;12
25;32;10;8;11;18;7;24;29;16;19;27;22;13;3;17;21;5;20;31;26;1;30;23;9;28;4;15;6;2;14;12
25;32;10;8;11;18;7;24;29;16;19;27;22;13;3;17;21;5;20;31;26;1;30;23;9;28;4;15;6;2;14;12
25;32;13;8;11;18;7;24;29;16;19;27;22;10;3;17;21;5;20;31;26;1;30;23;9;28;4;15;6;2;14;12
25;32;13;8;11;18;7;24;29;16;19;27;22;10;3;17;21;5;20;31;26;1;30;23;9;28;4;15;6;2;14;12
25;32;13;8;11;18;7;24;19;16;29;27;22;10;3;17;21;5;20;31;26;1;30;23;9;28;4;15;6;2;14;12
25;32;13;8;11;18;7;24;19;16;29;27;22;10;3;17;21;5;20;31;26;1;30;23;9;28;4;15;6;2;14;12
25;32;13;8;11;18;7;24;19;16;29;30;22;10;3;17;21;5;20;31;26;1;27;23;9;28;4;15;6;2;14;12
25;32;13;8;11;18;7;24;19;16;29;30;22;10;3;17;21;5;20;31;26;1;27;23;9;28;4;15;6;2;14;12
25;32;13;8;11;18;7;24;19;16;29;30;22;10;3;17;21;5;20;31;23;1;27;26;9;28;4;15;6;2;14;12
25;32;13;8;11;18;7;24;19;16;29;30;22;10;3;17;21;5;20;31;23;1;27;26;9;28;4;15;6;2;14;12
25;32;13;8;11;18;7;24;19;16;29;30;20;10;3;17;21;5;22;31;23;1;27;26;9;28;4;15;6;2;14;12
25;32;13;8;11;18;7;24;19;16;29;30;20;10;3;17;21;5;22;31;23;1;27;26;9;28;4;15;6;2;14;12
25;32;13;8;11;18;4;24;19;16;29;30;20;10;3;17;21;5;22;31;23;1;27;26;9;28;7;15;6;2;14;12
25;32;13;8;11;18;4;24;19;16;29;30;20;10;3;17;21;5;22;31;23;1;27;26;9;28;7;15;6;2;14;12
25;32;13;8;11;18;4;24;19;16;29;30;20;10;3;17;21;5;22;31;23;9;27;26;1;28;7;15;6;2;14;12
25;32;13;8;11;18;4;24;19;16;29;30;20;10;3;17;21;5;22;31;23;9;27;26;1;28;7;15;6;2;14;12
25;12;13;8;11;18;4;24;19;16;29;30;20;10;3;17;21;5;22;31;23;9;27;26;1;28;7;15;6;2;14;32
25;12;13;8;11;18;4;24;19;16;29;30;20;10;3;17;21;5;22;31;23;9;27;26;1;28;7;15;6;2;14;32
25;12;13;8;11;18;4;24;19;7;29;30;20;10;3;17;21;5;22;31;23;9;27;26;1;28;16;15;6;2;14;32
25;12;13;8;11;18;4;24;19;7;29;30;20;10;3;17;21;5;22;31;23;9;27;26;1;28;16;15;6;2;14;32
25;12;13;8;11;18;4;24;19;7;29;30;20;10;3;17;21;5;31;22;23;9;27;26;1;28;16;15;6;2;14;32
25;12;13;8;11;18;4;24;19;7;29;30;20;10;3;17;21;5;31;22;23;9;27;26;1;28;16;15;6;2;14;32
25;12;13;8;11;18;4;15;19;7;29;30;20;10;3;17;21;5;31;22;23;9;27;26;1;28;16;24;6;2;14;32
25;12;13;8;11;18;4;15;19;7;29;30;20;10;3;17;21;5;31;22;23;9;27;26;1;28;16;24;6;2;14;32
25;1;13;8;11;18;4;15;19;7;29;30;20;10;3;17;21;5;31;22;23;9;27;26;12;28;16;24;6;2;14;32
25;1;13;8;11;18;4;15;19;7;29;30;20;10;3;17;21;5;31;22;23;9;27;26;12;28;16;24;6;2;14;32
25;1;13;8;11;15;4;18;19;7;29;30;20;10;3;17;21;5;31;22;23;9;27;26;12;28;16;24;6;2;14;32
25;1;13;8;11;15;4;18;19;7;29;30;20;10;3;17;21;5;31;22;23;9;27;26;12;28;16;24;6;2;14;32
25;1;13;8;11;15;4;18;19;7;29;30;20;10;3;17;21;5;31;22;23;9;27;26;12;28;16;24;2;6;14;32
25;1;13;8;11;15;4;18;19;7;29;30;20;10;3;17;21;5;31;22;23;9;27;26;12;28;16;24;2;6;14;32
25;1;13;8;11;15;4;18;19;7;29;30;20;10;3;17;21;5;31;22;23;9;27;12;26;28;16;24;2;6;14;32
25;1;13;8;11;15;4;18;19;7;29;30;20;10;3;17;21;5;31;22;23;9;27;12;26;28;16;24;2;6;14;32
25;1;13;8;11;15;4;18;19;7;29;30;20;10;3;17;9;5;31;22;23;21;27;12;26;28;16;24;2;6;14;32
25;1;13;8;11;15;4;18;19;7;29;30;20;10;3;17;9;5;31;22;23;21;27;12;26;28;16;24;2;6;14;32
25;1;13;8;11;15;4;18;19;7;29;30;20;10;3;32;9;5;31;22;23;21;27;12;26;28;16;24;2;6;14;17
25;1;13;8;11;15;4;18;19;7;29;30;20;10;3;32;9;5;31;22;23;21;27;12;26;28;16;24;2;6;14;17
25;1;13;8;3;15;4;18;19;7;29;30;20;10;11;32;9;5;31;22;23;21;27;12;26;28;16;24;2;6;14;17
25;1;13;8;3;15;4;18;19;7;29;30;20;10;11;32;9;5;31;22;23;21;27;12;26;28;16;24;2;6;14;17
25;1;13;8;3;15;4;18;19;24;29;30;20;10;11;32;9;5;31;22;23;21;27;12;26;28;16;7;2;6;14;17
