"X26";"X13";"X15";"X7";"X20";"X18";"X17";"X11";"X23";"X4";"X16";"X5";"X12";"X6";"X8";"X24";"X14";"X2";"X22";"X21";"X19";"X10";"X3";"X9";"X1";"X25";"generation"
26;13;15;7;20;18;17;11;23;4;16;5;12;6;8;24;14;2;22;21;19;10;3;9;1;25;1
14;1;4;26;22;13;16;24;10;18;3;8;5;6;23;7;17;21;9;20;15;2;19;12;11;25;1
7;1;19;13;26;3;10;2;12;21;24;8;11;5;25;9;22;18;23;6;14;16;20;17;15;4;1
25;3;2;26;13;21;19;8;23;10;5;1;7;6;24;12;22;18;9;11;14;16;20;17;15;4;1
14;4;5;13;26;3;10;2;12;21;22;8;11;18;25;9;24;6;15;20;1;17;7;23;16;19;1
7;1;19;13;26;3;10;2;12;21;22;8;20;18;25;9;24;5;17;6;14;16;11;23;15;4;1
7;3;10;26;13;21;19;2;12;1;22;8;11;18;25;9;24;5;23;6;14;16;20;17;15;4;1
25;4;2;26;13;21;19;5;16;10;22;8;11;18;24;15;14;6;9;20;1;17;7;23;12;3;1
25;4;2;26;13;21;19;8;16;10;14;5;7;6;24;15;22;18;9;20;1;17;11;23;12;3;1
25;4;2;26;13;21;19;8;16;10;14;5;7;6;24;15;22;18;9;20;1;17;11;23;12;3;1
25;4;2;26;13;21;19;8;16;10;14;5;7;6;24;15;22;18;9;20;1;17;11;23;12;3;1
25;4;2;26;13;21;19;8;16;10;14;5;7;6;24;15;22;18;9;20;1;17;11;23;12;3;1
25;4;6;26;13;21;19;8;16;7;14;15;10;18;22;23;17;2;5;9;1;24;11;20;12;3;1
3;6;24;19;7;26;1;4;16;8;14;15;10;18;22;25;17;2;5;9;12;20;11;23;13;21;1
4;3;2;26;13;21;19;8;16;10;14;5;7;6;24;15;22;18;9;20;1;17;11;23;12;25;1
3;4;22;26;13;18;1;24;16;10;14;5;12;6;23;7;17;21;9;20;19;2;15;8;11;25;1
25;4;15;7;20;18;19;8;16;10;14;5;26;6;24;2;22;21;9;13;1;17;11;23;12;3;1
26;13;15;7;20;18;17;8;16;10;3;11;5;6;12;24;14;2;22;21;19;4;23;9;1;25;1
25;4;2;26;13;21;19;8;5;10;14;16;7;6;24;15;22;18;9;20;1;17;11;23;12;3;1
25;4;2;26;13;21;19;8;16;10;14;5;7;6;24;15;22;18;9;20;1;17;11;23;12;3;1
8;10;3;1;13;18;19;26;11;2;22;4;25;7;12;9;24;5;23;6;14;16;20;17;15;21;1
15;1;19;13;26;3;10;2;12;4;22;8;11;18;25;17;24;5;23;6;14;16;20;9;7;21;1
23;4;2;26;13;11;19;8;16;10;14;5;7;6;24;15;22;18;9;20;1;17;21;25;12;3;1
3;6;24;19;7;26;13;4;16;8;14;15;10;18;22;25;5;2;9;20;1;17;11;23;12;21;1
3;6;24;19;7;26;1;4;16;8;14;15;10;18;22;23;17;2;5;9;12;20;21;25;13;11;1
3;6;24;19;7;26;1;4;16;8;14;15;10;18;22;23;17;2;5;9;12;20;21;25;13;11;1
19;1;4;26;22;13;3;17;23;20;2;21;11;18;25;9;24;5;10;6;14;16;15;8;12;7;1
23;1;14;13;26;3;10;16;12;5;22;24;6;18;25;7;17;21;9;20;19;2;15;8;11;4;1
22;11;2;26;5;21;19;1;16;15;12;18;14;7;17;10;25;20;4;13;8;23;9;24;6;3;1
21;5;19;24;11;2;1;8;16;6;12;18;14;7;17;10;25;26;4;13;15;23;9;22;20;3;1
3;6;24;19;7;26;1;4;16;8;14;15;10;18;22;25;17;2;5;9;13;20;21;23;12;11;1
25;4;18;26;13;21;19;8;16;10;14;9;7;6;24;23;17;2;5;20;1;22;11;15;12;3;1
7;14;19;13;26;3;10;2;12;21;22;8;6;18;25;23;24;5;9;20;1;17;11;16;15;4;1
