"X1";"X5790059";"X17";"X23";"X22";"X19";"X25";"X4";"X8";"X2";"X21";"X15";"X7";"X3";"X24";"X9";"X14";"X5";"X12";"X1.1";"X18";"X10";"X13";"X16";"X20";"X6";"X26";"X11"
1;5790059;17;23;22;19;25;4;8;2;21;15;7;3;24;9;14;5;12;1;18;10;13;16;20;6;26;11
17;23;22;19;25;4;9;2;21;15;7;3;24;8;14;5;12;1;18;10;13;16;20;6;26;11;1;5801518
1;5801518;17;23;22;19;25;4;9;2;21;15;7;3;24;8;14;5;12;1;18;10;13;16;20;6;26;11
17;23;22;19;25;4;9;2;21;15;7;3;24;8;14;5;12;1;18;10;26;16;20;6;13;11;1;5848775
1;5848775;17;23;22;19;25;4;9;2;21;15;7;3;24;8;14;5;12;1;18;10;26;16;20;6;13;11
17;23;22;19;25;4;9;2;21;15;7;3;24;8;16;5;12;1;18;10;26;14;20;6;13;11;1;5850452
1;5850452;17;23;22;19;25;4;9;2;21;15;7;3;24;8;16;5;12;1;18;10;26;14;20;6;13;11
17;23;22;4;25;19;9;2;21;15;7;3;24;8;16;5;12;1;18;10;26;14;20;6;13;11;1;5796465
1;5796465;17;23;22;4;25;19;9;2;21;15;7;3;24;8;16;5;12;1;18;10;26;14;20;6;13;11
17;23;22;4;25;19;5;2;21;15;7;3;24;8;16;9;12;1;18;10;26;14;20;6;13;11;1;5805385
1;5805385;17;23;22;4;25;19;5;2;21;15;7;3;24;8;16;9;12;1;18;10;26;14;20;6;13;11
7;23;22;4;25;19;5;2;21;15;17;3;24;8;16;9;12;1;18;10;26;14;20;6;13;11;1;5820216
1;5820216;7;23;22;4;25;19;5;2;21;15;17;3;24;8;16;9;12;1;18;10;26;14;20;6;13;11
7;23;22;4;25;17;5;2;21;15;19;3;24;8;16;9;12;1;18;10;26;14;20;6;13;11;1;5766951
1;5766951;7;23;22;4;25;17;5;2;21;15;19;3;24;8;16;9;12;1;18;10;26;14;20;6;13;11
7;23;22;4;25;17;5;2;21;15;19;8;24;3;16;9;12;1;18;10;26;14;20;6;13;11;1;5765567
1;5765567;7;23;22;4;25;17;5;2;21;15;19;8;24;3;16;9;12;1;18;10;26;14;20;6;13;11
7;21;22;4;25;17;5;2;23;15;19;8;24;3;16;9;12;1;18;10;26;14;20;6;13;11;1;5810319
1;5810319;7;21;22;4;25;17;5;2;23;15;19;8;24;3;16;9;12;1;18;10;26;14;20;6;13;11
10;21;22;4;25;17;5;2;23;15;19;8;24;3;16;9;12;1;18;7;26;14;20;6;13;11;1;5817835
1;5817835;10;21;22;4;25;17;5;2;23;15;19;8;24;3;16;9;12;1;18;7;26;14;20;6;13;11
10;21;22;4;25;17;5;2;23;15;19;8;24;3;16;9;12;1;18;7;6;14;20;26;13;11;1;5812626
1;5812626;10;21;22;4;25;17;5;2;23;15;19;8;24;3;16;9;12;1;18;7;6;14;20;26;13;11
10;21;22;4;14;17;5;2;23;15;19;8;24;3;16;9;12;1;18;7;6;25;20;26;13;11;1;5809503
1;5809503;10;21;22;4;14;17;5;2;23;15;19;8;24;3;16;9;12;1;18;7;6;25;20;26;13;11
10;21;22;4;14;17;5;2;23;15;19;8;26;3;16;9;12;1;18;7;6;25;20;24;13;11;1;5800205
1;5800205;10;21;22;4;14;17;5;2;23;15;19;8;26;3;16;9;12;1;18;7;6;25;20;24;13;11
10;21;22;4;14;17;5;3;23;15;19;8;26;2;16;9;12;1;18;7;6;25;20;24;13;11;1;5795813
1;5795813;10;21;22;4;14;17;5;3;23;15;19;8;26;2;16;9;12;1;18;7;6;25;20;24;13;11
10;21;22;4;14;25;5;3;23;15;19;8;26;2;16;9;12;1;18;7;6;17;20;24;13;11;1;5796688
1;5796688;10;21;22;4;14;25;5;3;23;15;19;8;26;2;16;9;12;1;18;7;6;17;20;24;13;11
10;21;22;4;14;25;5;3;23;15;19;8;12;2;16;9;26;1;18;7;6;17;20;24;13;11;1;5766585
1;5766585;10;21;22;4;14;25;5;3;23;15;19;8;12;2;16;9;26;1;18;7;6;17;20;24;13;11
10;21;22;4;12;25;5;3;23;15;19;8;14;2;16;9;26;1;18;7;6;17;20;24;13;11;1;5751520
1;5751520;10;21;22;4;12;25;5;3;23;15;19;8;14;2;16;9;26;1;18;7;6;17;20;24;13;11
10;21;22;4;12;1;5;3;23;15;19;8;14;2;16;9;26;25;18;7;6;17;20;24;13;11;1;5791522
1;5751520;10;21;22;4;12;25;5;3;23;15;19;8;14;2;16;9;26;1;18;7;6;17;20;24;13;11
10;21;22;4;12;25;5;3;23;15;19;8;14;2;16;9;26;1;18;7;6;17;24;20;13;11;1;5751520
1;5751520;10;21;22;4;12;25;5;3;23;15;19;8;14;2;16;9;26;1;18;7;6;17;24;20;13;11
10;21;22;4;12;25;5;20;23;15;19;8;14;2;16;9;26;1;18;7;6;17;24;3;13;11;1;5748327
2;5748327;10;21;22;4;12;25;5;20;23;15;19;8;14;2;16;9;26;1;18;7;6;17;24;3;13;11
10;21;22;4;12;25;5;20;23;15;18;8;14;2;16;9;26;1;19;7;6;17;24;3;13;11;2;5742053
2;5742053;10;21;22;4;12;25;5;20;23;15;18;8;14;2;16;9;26;1;19;7;6;17;24;3;13;11
10;21;17;4;12;25;5;20;23;15;18;8;14;2;16;9;26;1;19;7;6;22;24;3;13;11;2;5742620
2;5742620;10;21;17;4;12;25;5;20;23;15;18;8;14;2;16;9;26;1;19;7;6;22;24;3;13;11
12;21;17;4;10;25;5;20;23;15;18;8;14;2;16;9;26;1;19;7;6;22;24;3;13;11;2;5745558
2;5745558;12;21;17;4;10;25;5;20;23;15;18;8;14;2;16;9;26;1;19;7;6;22;24;3;13;11
23;21;17;4;10;25;5;20;12;15;18;8;14;2;16;9;26;1;19;7;6;22;24;3;13;11;2;5771010
2;5771010;23;21;17;4;10;25;5;20;12;15;18;8;14;2;16;9;26;1;19;7;6;22;24;3;13;11
23;21;17;4;10;25;5;20;12;15;18;8;14;2;26;9;16;1;19;7;6;22;24;3;13;11;2;5778151
2;5778151;23;21;17;4;10;25;5;20;12;15;18;8;14;2;26;9;16;1;19;7;6;22;24;3;13;11
23;21;17;4;10;25;5;20;12;15;18;16;14;2;26;9;8;1;19;7;6;22;24;3;13;11;2;5812803
2;5812803;23;21;17;4;10;25;5;20;12;15;18;16;14;2;26;9;8;1;19;7;6;22;24;3;13;11
23;21;17;4;10;3;5;20;12;15;18;16;14;2;26;9;8;1;19;7;6;22;24;25;13;11;2;5910833
2;5910833;23;21;17;4;10;3;5;20;12;15;18;16;14;2;26;9;8;1;19;7;6;22;24;25;13;11
23;21;17;4;10;3;5;20;12;15;18;19;14;2;26;9;8;1;16;7;6;22;24;25;13;11;2;5863562
2;5863562;23;21;17;4;10;3;5;20;12;15;18;19;14;2;26;9;8;1;16;7;6;22;24;25;13;11
23;21;17;4;10;3;5;18;12;15;20;19;14;2;26;9;8;1;16;7;6;22;24;25;13;11;2;5901969
2;5901969;23;21;17;4;10;3;5;18;12;15;20;19;14;2;26;9;8;1;16;7;6;22;24;25;13;11
23;21;17;4;10;3;5;18;12;15;20;19;14;2;26;9;8;25;16;7;6;22;24;1;13;11;2;5954285
2;5901969;23;21;17;4;10;3;5;18;12;15;20;19;14;2;26;9;8;1;16;7;6;22;24;25;13;11
23;21;17;4;10;3;5;18;12;15;20;19;14;25;26;9;8;1;16;7;6;22;24;2;13;11;2;5906472
2;5906472;23;21;17;4;10;3;5;18;12;15;20;19;14;25;26;9;8;1;16;7;6;22;24;2;13;11
23;21;17;4;10;3;5;18;11;15;20;19;14;25;26;9;8;1;16;7;6;22;24;2;13;12;2;5934593
