"X1";"X6045617";"X11";"X2";"X6";"X7";"X4";"X26";"X14";"X19";"X8";"X13";"X22";"X25";"X12";"X24";"X16";"X17";"X21";"X3";"X18";"X20";"X10";"X5";"X15";"X1.1";"X9";"X23"
1;6045617;11;2;6;7;4;26;14;19;8;13;22;25;12;24;16;17;21;3;18;20;10;5;15;1;9;23
11;2;6;7;4;26;14;19;8;13;22;25;12;24;16;17;21;3;18;20;23;5;15;1;9;10;1;6051183
1;6051183;11;2;6;7;4;26;14;19;8;13;22;25;12;24;16;17;21;3;18;20;23;5;15;1;9;10
11;2;6;7;4;26;14;19;8;13;22;25;12;24;15;17;21;3;18;20;23;5;16;1;9;10;1;6035613
1;6035613;11;2;6;7;4;26;14;19;8;13;22;25;12;24;15;17;21;3;18;20;23;5;16;1;9;10
11;2;6;7;4;26;14;19;8;5;22;25;12;24;15;17;21;3;18;20;23;13;16;1;9;10;1;6004602
1;6004602;11;2;6;7;4;26;14;19;8;5;22;25;12;24;15;17;21;3;18;20;23;13;16;1;9;10
11;16;6;7;4;26;14;19;8;5;22;25;12;24;15;17;21;3;18;20;23;13;2;1;9;10;1;6005584
1;6005584;11;16;6;7;4;26;14;19;8;5;22;25;12;24;15;17;21;3;18;20;23;13;2;1;9;10
11;16;6;7;4;26;14;19;8;5;22;25;12;24;15;17;21;3;18;20;23;13;9;1;2;10;1;5967034
1;5967034;11;16;6;7;4;26;14;19;8;5;22;25;12;24;15;17;21;3;18;20;23;13;9;1;2;10
11;16;6;7;21;26;14;19;8;5;22;25;12;24;15;17;4;3;18;20;23;13;9;1;2;10;1;5977843
1;5977843;11;16;6;7;21;26;14;19;8;5;22;25;12;24;15;17;4;3;18;20;23;13;9;1;2;10
11;16;6;7;21;26;14;19;8;5;22;25;12;15;24;17;4;3;18;20;23;13;9;1;2;10;1;5957844
1;5957844;11;16;6;7;21;26;14;19;8;5;22;25;12;15;24;17;4;3;18;20;23;13;9;1;2;10
11;16;6;7;21;26;14;8;19;5;22;25;12;15;24;17;4;3;18;20;23;13;9;1;2;10;1;5924584
1;5924584;11;16;6;7;21;26;14;8;19;5;22;25;12;15;24;17;4;3;18;20;23;13;9;1;2;10
11;16;6;7;21;26;14;8;19;5;15;25;12;22;24;17;4;3;18;20;23;13;9;1;2;10;1;5928829
1;5928829;11;16;6;7;21;26;14;8;19;5;15;25;12;22;24;17;4;3;18;20;23;13;9;1;2;10
11;16;6;7;21;26;14;1;19;5;15;25;12;22;24;17;4;3;18;20;23;13;9;8;2;10;1;5835218
1;5835218;11;16;6;7;21;26;14;1;19;5;15;25;12;22;24;17;4;3;18;20;23;13;9;8;2;10
11;16;6;7;21;26;14;1;19;5;22;25;12;15;24;17;4;3;18;20;23;13;9;8;2;10;1;5833027
1;5833027;11;16;6;7;21;26;14;1;19;5;22;25;12;15;24;17;4;3;18;20;23;13;9;8;2;10
11;16;6;7;21;26;14;1;19;5;22;8;12;15;24;17;4;3;18;20;23;13;9;25;2;10;1;5824212
1;5824212;11;16;6;7;21;26;14;1;19;5;22;8;12;15;24;17;4;3;18;20;23;13;9;25;2;10
11;16;6;7;21;26;14;1;19;5;22;8;12;15;24;23;4;3;18;20;17;13;9;25;2;10;1;5827335
1;5827335;11;16;6;7;21;26;14;1;19;5;22;8;12;15;24;23;4;3;18;20;17;13;9;25;2;10
11;16;6;7;21;26;14;1;19;5;23;8;12;15;24;22;4;3;18;20;17;13;9;25;2;10;1;5828214
1;5828214;11;16;6;7;21;26;14;1;19;5;23;8;12;15;24;22;4;3;18;20;17;13;9;25;2;10
11;16;6;7;21;26;14;1;19;5;23;8;12;15;24;10;4;3;18;20;17;13;9;25;2;22;1;5829090
1;5829090;11;16;6;7;21;26;14;1;19;5;23;8;12;15;24;10;4;3;18;20;17;13;9;25;2;22
11;16;6;7;21;26;14;1;10;5;23;8;12;15;24;19;4;3;18;20;17;13;9;25;2;22;1;5831535
1;5831535;11;16;6;7;21;26;14;1;10;5;23;8;12;15;24;19;4;3;18;20;17;13;9;25;2;22
11;16;6;7;21;26;14;1;10;5;23;8;12;15;24;19;4;3;18;20;22;13;9;25;2;17;1;5825212
1;5825212;11;16;6;7;21;26;14;1;10;5;23;8;12;15;24;19;4;3;18;20;22;13;9;25;2;17
11;16;19;7;21;26;14;1;10;5;23;8;12;15;24;6;4;3;18;20;22;13;9;25;2;17;1;5852912
1;5852912;11;16;19;7;21;26;14;1;10;5;23;8;12;15;24;6;4;3;18;20;22;13;9;25;2;17
20;16;19;7;21;26;14;1;10;5;23;8;12;15;24;6;4;3;18;11;22;13;9;25;2;17;1;5828000
1;5828000;20;16;19;7;21;26;14;1;10;5;23;8;12;15;24;6;4;3;18;11;22;13;9;25;2;17
16;20;19;7;21;26;14;1;10;5;23;8;12;15;24;6;4;3;18;11;22;13;9;25;2;17;1;5823110
2;5823110;16;20;19;7;21;26;14;1;10;5;23;8;12;15;24;6;4;3;18;11;22;13;9;25;2;17
16;17;19;7;21;26;14;1;10;5;23;8;12;15;24;6;4;3;18;11;22;13;9;25;2;20;2;5850874
2;5850874;16;17;19;7;21;26;14;1;10;5;23;8;12;15;24;6;4;3;18;11;22;13;9;25;2;20
