"X1";"X5986819";"X26";"X6";"X5";"X7";"X24";"X10";"X9";"X18";"X20";"X13";"X1.1";"X11";"X2";"X3";"X19";"X4";"X22";"X25";"X23";"X16";"X14";"X8";"X17";"X12";"X21";"X15"
1;5986819;26;6;5;7;24;10;9;18;20;13;1;11;2;3;19;4;22;25;23;16;14;8;17;12;21;15
26;20;5;7;24;10;9;18;6;13;1;11;2;3;19;4;22;25;23;16;14;8;17;12;21;15;1;6052562
1;6052562;26;20;5;7;24;10;9;18;6;13;1;11;2;3;19;4;22;25;23;16;14;8;17;12;21;15
21;20;5;7;24;10;9;18;6;13;1;11;2;3;19;4;22;25;23;16;14;8;17;12;26;15;1;6100985
1;6100985;21;20;5;7;24;10;9;18;6;13;1;11;2;3;19;4;22;25;23;16;14;8;17;12;26;15
21;20;5;7;24;10;18;9;6;13;1;11;2;3;19;4;22;25;23;16;14;8;17;12;26;15;1;6112085
1;6112085;21;20;5;7;24;10;18;9;6;13;1;11;2;3;19;4;22;25;23;16;14;8;17;12;26;15
21;20;5;7;24;10;18;9;6;13;1;11;2;3;12;4;22;25;23;16;14;8;17;19;26;15;1;6122175
1;6122175;21;20;5;7;24;10;18;9;6;13;1;11;2;3;12;4;22;25;23;16;14;8;17;19;26;15
21;20;5;7;24;10;18;9;6;13;1;11;8;3;12;4;22;25;23;16;14;2;17;19;26;15;1;6061642
1;6061642;21;20;5;7;24;10;18;9;6;13;1;11;8;3;12;4;22;25;23;16;14;2;17;19;26;15
21;22;5;7;24;10;18;9;6;13;1;11;8;3;12;4;20;25;23;16;14;2;17;19;26;15;1;5973707
1;5973707;21;22;5;7;24;10;18;9;6;13;1;11;8;3;12;4;20;25;23;16;14;2;17;19;26;15
21;22;5;7;24;10;18;9;6;13;17;11;8;3;12;4;20;25;23;16;14;2;1;19;26;15;1;6033581
1;6033581;21;22;5;7;24;10;18;9;6;13;17;11;8;3;12;4;20;25;23;16;14;2;1;19;26;15
21;22;5;7;24;10;3;9;6;13;17;11;8;18;12;4;20;25;23;16;14;2;1;19;26;15;1;6027625
1;6027625;21;22;5;7;24;10;3;9;6;13;17;11;8;18;12;4;20;25;23;16;14;2;1;19;26;15
21;22;5;7;24;10;3;9;6;13;17;11;8;18;12;4;20;25;23;16;14;2;15;19;26;1;1;5998569
1;5998569;21;22;5;7;24;10;3;9;6;13;17;11;8;18;12;4;20;25;23;16;14;2;15;19;26;1
21;22;18;7;24;10;3;9;6;13;17;11;8;5;12;4;20;25;23;16;14;2;15;19;26;1;1;5984223
1;5984223;21;22;18;7;24;10;3;9;6;13;17;11;8;5;12;4;20;25;23;16;14;2;15;19;26;1
17;22;18;7;24;10;3;9;6;13;21;11;8;5;12;4;20;25;23;16;14;2;15;19;26;1;1;5961884
1;5961884;17;22;18;7;24;10;3;9;6;13;21;11;8;5;12;4;20;25;23;16;14;2;15;19;26;1
17;22;18;7;24;10;3;9;6;13;21;11;4;5;12;8;20;25;23;16;14;2;15;19;26;1;1;6016299
1;6016299;17;22;18;7;24;10;3;9;6;13;21;11;4;5;12;8;20;25;23;16;14;2;15;19;26;1
17;22;18;7;24;10;3;9;6;13;21;11;4;23;12;8;20;25;5;16;14;2;15;19;26;1;1;5799840
1;5799840;17;22;18;7;24;10;3;9;6;13;21;11;4;23;12;8;20;25;5;16;14;2;15;19;26;1
17;22;18;7;24;10;3;9;6;13;21;11;4;23;12;8;20;16;5;25;14;2;15;19;26;1;1;5787987
1;5787987;17;22;18;7;24;10;3;9;6;13;21;11;4;23;12;8;20;16;5;25;14;2;15;19;26;1
19;22;18;7;24;10;3;9;6;13;21;11;4;23;12;8;20;16;5;25;14;2;15;17;26;1;1;5774123
1;5774123;19;22;18;7;24;10;3;9;6;13;21;11;4;23;12;8;20;16;5;25;14;2;15;17;26;1
19;22;18;7;24;10;3;9;6;13;21;11;4;23;12;8;20;16;26;25;14;2;15;17;5;1;1;5910450
1;5910450;19;22;18;7;24;10;3;9;6;13;21;11;4;23;12;8;20;16;26;25;14;2;15;17;5;1
