"X1";"X35364";"X4";"X9";"X2";"X8";"X10";"X6";"X7";"X11";"X3";"X12";"X5";"X1.1"
1;35364;4;9;2;8;10;6;7;11;3;12;5;1
4;9;2;8;10;6;7;11;3;12;1;5;1;36510
1;36510;4;9;2;8;10;6;7;11;3;12;1;5
4;9;2;8;10;6;7;11;1;12;3;5;1;36460
1;36460;4;9;2;8;10;6;7;11;1;12;3;5
4;9;2;8;11;6;7;10;1;12;3;5;1;50116
1;50116;4;9;2;8;11;6;7;10;1;12;3;5
4;9;2;8;12;6;7;10;1;11;3;5;1;43252
1;43252;4;9;2;8;12;6;7;10;1;11;3;5
4;9;2;8;6;12;7;10;1;11;3;5;1;36140
1;36140;4;9;2;8;6;12;7;10;1;11;3;5
4;9;7;8;6;12;2;10;1;11;3;5;1;35304
1;35304;4;9;7;8;6;12;2;10;1;11;3;5
4;9;7;8;6;12;1;10;2;11;3;5;1;35196
1;35196;4;9;7;8;6;12;1;10;2;11;3;5
4;9;7;8;6;12;1;10;11;2;3;5;1;35356
1;35356;4;9;7;8;6;12;1;10;11;2;3;5
2;9;7;8;6;12;1;10;11;4;3;5;1;41370
1;41370;2;9;7;8;6;12;1;10;11;4;3;5
1;9;7;8;6;12;2;10;11;4;3;5;1;49142
1;49142;1;9;7;8;6;12;2;10;11;4;3;5
1;10;7;8;6;12;2;9;11;4;3;5;1;45966
1;45966;1;10;7;8;6;12;2;9;11;4;3;5
1;10;7;8;6;12;11;9;2;4;3;5;1;48456
1;48456;1;10;7;8;6;12;11;9;2;4;3;5
12;10;7;8;6;1;11;9;2;4;3;5;1;48140
1;48140;12;10;7;8;6;1;11;9;2;4;3;5
12;10;7;8;6;1;4;9;2;11;3;5;1;41492
1;41492;12;10;7;8;6;1;4;9;2;11;3;5
12;5;7;8;6;1;4;9;2;11;3;10;1;51894
1;51894;12;5;7;8;6;1;4;9;2;11;3;10
12;4;7;8;6;1;5;9;2;11;3;10;1;45574
1;45574;12;4;7;8;6;1;5;9;2;11;3;10
12;4;7;8;6;9;5;1;2;11;3;10;1;48020
1;48020;12;4;7;8;6;9;5;1;2;11;3;10
12;4;7;8;6;9;5;10;2;11;3;1;1;50916
1;50916;12;4;7;8;6;9;5;10;2;11;3;1
12;4;7;8;2;9;5;10;6;11;3;1;1;52486
1;52486;12;4;7;8;2;9;5;10;6;11;3;1
12;4;7;10;2;9;5;8;6;11;3;1;1;44506
2;44506;12;4;7;10;2;9;5;8;6;11;3;1
12;10;7;4;2;9;5;8;6;11;3;1;2;49392
2;44506;12;4;7;10;2;9;5;8;6;11;3;1
12;4;7;10;2;1;5;8;6;11;3;9;2;42120
2;42120;12;4;7;10;2;1;5;8;6;11;3;9
6;4;7;10;2;1;5;8;12;11;3;9;2;28654
2;28654;6;4;7;10;2;1;5;8;12;11;3;9
6;4;7;10;2;1;9;8;12;11;3;5;2;27698
2;27698;6;4;7;10;2;1;9;8;12;11;3;5
6;4;7;10;2;1;9;12;8;11;3;5;2;26854
2;26854;6;4;7;10;2;1;9;12;8;11;3;5
6;4;12;10;2;1;9;7;8;11;3;5;2;32806
2;32806;6;4;12;10;2;1;9;7;8;11;3;5
6;4;12;10;2;3;9;7;8;11;1;5;2;30134
2;30134;6;4;12;10;2;3;9;7;8;11;1;5
6;4;12;10;2;3;9;7;1;11;8;5;2;30110
2;30110;6;4;12;10;2;3;9;7;1;11;8;5
6;10;12;4;2;3;9;7;1;11;8;5;2;42778
2;42778;6;10;12;4;2;3;9;7;1;11;8;5
6;10;12;2;4;3;9;7;1;11;8;5;2;40938
2;40938;6;10;12;2;4;3;9;7;1;11;8;5
6;10;12;2;4;3;1;7;9;11;8;5;2;44772
2;44772;6;10;12;2;4;3;1;7;9;11;8;5
6;10;12;2;1;3;4;7;9;11;8;5;2;49412
2;49412;6;10;12;2;1;3;4;7;9;11;8;5
6;10;12;7;1;3;4;2;9;11;8;5;2;55544
2;55544;6;10;12;7;1;3;4;2;9;11;8;5
6;10;12;7;1;4;3;2;9;11;8;5;2;52048
2;52048;6;10;12;7;1;4;3;2;9;11;8;5
6;10;12;7;3;4;1;2;9;11;8;5;2;55862
2;55862;6;10;12;7;3;4;1;2;9;11;8;5
6;10;12;8;3;4;1;2;9;11;7;5;2;53454
2;53454;6;10;12;8;3;4;1;2;9;11;7;5
6;10;12;8;3;4;2;1;9;11;7;5;2;45938
2;45938;6;10;12;8;3;4;2;1;9;11;7;5
6;10;12;8;3;4;2;9;1;11;7;5;2;41080
2;41080;6;10;12;8;3;4;2;9;1;11;7;5
6;10;7;8;3;4;2;9;1;11;12;5;2;47060
2;47060;6;10;7;8;3;4;2;9;1;11;12;5
6;10;7;8;9;4;2;3;1;11;12;5;2;45602
3;45602;6;10;7;8;9;4;2;3;1;11;12;5
6;10;7;8;3;4;2;9;1;11;12;5;3;47060
3;47060;6;10;7;8;3;4;2;9;1;11;12;5
6;7;10;8;3;4;2;9;1;11;12;5;3;55084
3;47060;6;10;7;8;3;4;2;9;1;11;12;5
6;10;7;8;3;4;2;9;12;11;1;5;3;47178
3;47178;6;10;7;8;3;4;2;9;12;11;1;5
6;10;3;8;7;4;2;9;12;11;1;5;3;50436
3;50436;6;10;3;8;7;4;2;9;12;11;1;5
6;1;3;8;7;4;2;9;12;11;10;5;3;49282
3;49282;6;1;3;8;7;4;2;9;12;11;10;5
6;1;3;8;11;4;2;9;12;7;10;5;3;40258
