"X1";"X6022539";"X24";"X16";"X23";"X6";"X8";"X18";"X5";"X10";"X22";"X4";"X25";"X3";"X14";"X20";"X13";"X12";"X15";"X1.1";"X17";"X21";"X7";"X2";"X11";"X26";"X9";"X19"
1;6022539;24;16;23;6;8;18;5;10;22;4;25;3;14;20;13;12;15;1;17;21;7;2;11;26;9;19
24;16;23;6;8;18;5;10;22;4;25;3;14;9;13;12;15;1;17;21;7;2;11;26;20;19;1;5953795
1;5953795;24;16;23;6;8;18;5;10;22;4;25;3;14;9;13;12;15;1;17;21;7;2;11;26;20;19
24;11;23;6;8;18;5;10;22;4;25;3;14;9;13;12;15;1;17;21;7;2;16;26;20;19;1;5952880
1;5952880;24;11;23;6;8;18;5;10;22;4;25;3;14;9;13;12;15;1;17;21;7;2;16;26;20;19
24;11;23;6;8;9;5;10;22;4;25;3;14;18;13;12;15;1;17;21;7;2;16;26;20;19;1;6002866
1;6002866;24;11;23;6;8;9;5;10;22;4;25;3;14;18;13;12;15;1;17;21;7;2;16;26;20;19
24;11;17;6;8;9;5;10;22;4;25;3;14;18;13;12;15;1;23;21;7;2;16;26;20;19;1;6011585
1;6011585;24;11;17;6;8;9;5;10;22;4;25;3;14;18;13;12;15;1;23;21;7;2;16;26;20;19
24;11;17;6;8;22;5;10;9;4;25;3;14;18;13;12;15;1;23;21;7;2;16;26;20;19;1;5967556
1;5967556;24;11;17;6;8;22;5;10;9;4;25;3;14;18;13;12;15;1;23;21;7;2;16;26;20;19
10;11;17;6;8;22;5;24;9;4;25;3;14;18;13;12;15;1;23;21;7;2;16;26;20;19;1;5963959
1;5963959;10;11;17;6;8;22;5;24;9;4;25;3;14;18;13;12;15;1;23;21;7;2;16;26;20;19
10;11;17;6;8;22;5;24;9;4;25;3;14;18;13;12;15;1;23;21;7;16;2;26;20;19;1;5960080
1;5960080;10;11;17;6;8;22;5;24;9;4;25;3;14;18;13;12;15;1;23;21;7;16;2;26;20;19
10;11;17;6;8;22;5;25;9;4;24;3;14;18;13;12;15;1;23;21;7;16;2;26;20;19;1;5960026
1;5960026;10;11;17;6;8;22;5;25;9;4;24;3;14;18;13;12;15;1;23;21;7;16;2;26;20;19
10;11;1;6;8;22;5;25;9;4;24;3;14;18;13;12;15;17;23;21;7;16;2;26;20;19;1;6046341
1;6046341;10;11;1;6;8;22;5;25;9;4;24;3;14;18;13;12;15;17;23;21;7;16;2;26;20;19
10;11;1;6;8;22;5;25;9;4;24;3;14;18;13;12;15;17;23;21;7;16;2;19;20;26;1;5979057
1;5979057;10;11;1;6;8;22;5;25;9;4;24;3;14;18;13;12;15;17;23;21;7;16;2;19;20;26
10;11;1;6;8;22;5;25;9;4;24;3;14;26;13;12;15;17;23;21;7;16;2;19;20;18;1;6156651
1;6156651;10;11;1;6;8;22;5;25;9;4;24;3;14;26;13;12;15;17;23;21;7;16;2;19;20;18
10;11;1;6;8;22;5;25;9;4;24;3;16;26;13;12;15;17;23;21;7;14;2;19;20;18;1;6203352
1;6203352;10;11;1;6;8;22;5;25;9;4;24;3;16;26;13;12;15;17;23;21;7;14;2;19;20;18
10;11;1;6;8;22;5;25;23;4;24;3;16;26;13;12;15;17;9;21;7;14;2;19;20;18;1;6139150
1;6139150;10;11;1;6;8;22;5;25;23;4;24;3;16;26;13;12;15;17;9;21;7;14;2;19;20;18
10;11;1;6;8;19;5;25;23;4;24;3;16;26;13;12;15;17;9;21;7;14;2;22;20;18;1;6202205
1;6202205;10;11;1;6;8;19;5;25;23;4;24;3;16;26;13;12;15;17;9;21;7;14;2;22;20;18
10;11;1;6;8;19;5;18;23;4;24;3;16;26;13;12;15;17;9;21;7;14;2;22;20;25;1;6077304
1;6077304;10;11;1;6;8;19;5;18;23;4;24;3;16;26;13;12;15;17;9;21;7;14;2;22;20;25
10;11;1;6;8;19;5;18;23;4;24;3;22;26;13;12;15;17;9;21;7;14;2;16;20;25;1;6081288
1;6081288;10;11;1;6;8;19;5;18;23;4;24;3;22;26;13;12;15;17;9;21;7;14;2;16;20;25
10;11;1;6;8;19;5;18;23;4;24;3;14;26;13;12;15;17;9;21;7;22;2;16;20;25;1;6022981
1;6022981;10;11;1;6;8;19;5;18;23;4;24;3;14;26;13;12;15;17;9;21;7;22;2;16;20;25
10;11;1;6;8;19;5;18;23;4;24;3;14;26;13;12;15;17;9;21;7;2;22;16;20;25;1;6028895
1;6028895;10;11;1;6;8;19;5;18;23;4;24;3;14;26;13;12;15;17;9;21;7;2;22;16;20;25
10;11;1;6;8;19;5;18;23;4;24;26;14;3;13;12;15;17;9;21;7;2;22;16;20;25;1;6028764
1;6028764;10;11;1;6;8;19;5;18;23;4;24;26;14;3;13;12;15;17;9;21;7;2;22;16;20;25
10;11;1;6;8;19;5;18;23;4;24;26;14;3;13;12;15;16;9;21;7;2;22;17;20;25;1;6027848
2;6027848;10;11;1;6;8;19;5;18;23;4;24;26;14;3;13;12;15;16;9;21;7;2;22;17;20;25
10;23;1;6;8;19;5;18;11;4;24;26;14;3;13;12;15;16;9;21;7;2;22;17;20;25;2;6020368
2;6020368;10;23;1;6;8;19;5;18;11;4;24;26;14;3;13;12;15;16;9;21;7;2;22;17;20;25
10;23;1;6;8;19;22;18;11;4;24;26;14;3;13;12;15;16;9;21;7;2;5;17;20;25;2;5963773
2;5963773;10;23;1;6;8;19;22;18;11;4;24;26;14;3;13;12;15;16;9;21;7;2;5;17;20;25
10;23;1;6;8;19;22;18;16;4;24;26;14;3;13;12;15;11;9;21;7;2;5;17;20;25;2;5967207
2;5967207;10;23;1;6;8;19;22;18;16;4;24;26;14;3;13;12;15;11;9;21;7;2;5;17;20;25
