"X1";"X5847262";"X6";"X1.1";"X5";"X2";"X13";"X22";"X15";"X23";"X9";"X25";"X14";"X10";"X7";"X19";"X16";"X21";"X18";"X4";"X17";"X12";"X20";"X26";"X11";"X3";"X8";"X24"
1;5847262;6;1;5;2;13;22;15;23;9;25;14;10;7;19;16;21;18;4;17;12;20;26;11;3;8;24
6;1;5;2;13;22;15;23;9;3;14;10;7;19;16;21;18;4;17;12;20;26;11;25;8;24;1;5895034
1;5895034;6;1;5;2;13;22;15;23;9;3;14;10;7;19;16;21;18;4;17;12;20;26;11;25;8;24
6;1;12;2;13;22;15;23;9;3;14;10;7;19;16;21;18;4;17;5;20;26;11;25;8;24;1;6001342
1;6001342;6;1;12;2;13;22;15;23;9;3;14;10;7;19;16;21;18;4;17;5;20;26;11;25;8;24
6;1;12;2;13;22;15;23;9;3;14;10;4;19;16;21;18;7;17;5;20;26;11;25;8;24;1;6004813
1;6004813;6;1;12;2;13;22;15;23;9;3;14;10;4;19;16;21;18;7;17;5;20;26;11;25;8;24
6;1;12;2;13;19;15;23;9;3;14;10;4;22;16;21;18;7;17;5;20;26;11;25;8;24;1;6010732
1;6010732;6;1;12;2;13;19;15;23;9;3;14;10;4;22;16;21;18;7;17;5;20;26;11;25;8;24
6;1;12;2;13;19;25;23;9;3;14;10;4;22;16;21;18;7;17;5;20;26;11;15;8;24;1;6025239
1;6025239;6;1;12;2;13;19;25;23;9;3;14;10;4;22;16;21;18;7;17;5;20;26;11;15;8;24
6;1;12;2;13;19;25;23;9;3;14;10;26;22;16;21;18;7;17;5;20;4;11;15;8;24;1;6052369
1;6052369;6;1;12;2;13;19;25;23;9;3;14;10;26;22;16;21;18;7;17;5;20;4;11;15;8;24
6;1;12;2;13;19;25;23;9;3;14;10;26;20;16;21;18;7;17;5;22;4;11;15;8;24;1;5989509
1;5989509;6;1;12;2;13;19;25;23;9;3;14;10;26;20;16;21;18;7;17;5;22;4;11;15;8;24
6;1;12;2;13;19;25;23;9;3;14;10;26;24;16;21;18;7;17;5;22;4;11;15;8;20;1;6053520
1;6053520;6;1;12;2;13;19;25;23;9;3;14;10;26;24;16;21;18;7;17;5;22;4;11;15;8;20
6;1;12;2;13;19;25;23;9;3;14;10;21;24;16;26;18;7;17;5;22;4;11;15;8;20;1;6042990
1;6042990;6;1;12;2;13;19;25;23;9;3;14;10;21;24;16;26;18;7;17;5;22;4;11;15;8;20
20;1;12;2;13;19;25;23;9;3;14;10;21;24;16;26;18;7;17;5;22;4;11;15;8;6;1;6027727
1;6027727;20;1;12;2;13;19;25;23;9;3;14;10;21;24;16;26;18;7;17;5;22;4;11;15;8;6
20;8;12;2;13;19;25;23;9;3;14;10;21;24;16;26;18;7;17;5;22;4;11;15;1;6;1;5985685
1;5985685;20;8;12;2;13;19;25;23;9;3;14;10;21;24;16;26;18;7;17;5;22;4;11;15;1;6
20;8;12;2;13;19;25;23;9;3;14;10;21;24;4;26;18;7;17;5;22;16;11;15;1;6;1;5971531
1;5971531;20;8;12;2;13;19;25;23;9;3;14;10;21;24;4;26;18;7;17;5;22;16;11;15;1;6
20;8;12;2;13;19;25;23;9;3;14;10;21;17;4;26;18;7;24;5;22;16;11;15;1;6;1;5971315
1;5971315;20;8;12;2;13;19;25;23;9;3;14;10;21;17;4;26;18;7;24;5;22;16;11;15;1;6
20;8;12;2;13;19;4;23;9;3;14;10;21;17;25;26;18;7;24;5;22;16;11;15;1;6;1;5935099
1;5935099;20;8;12;2;13;19;4;23;9;3;14;10;21;17;25;26;18;7;24;5;22;16;11;15;1;6
20;8;12;2;13;19;4;3;9;23;14;10;21;17;25;26;18;7;24;5;22;16;11;15;1;6;1;5935119
1;5935119;20;8;12;2;13;19;4;3;9;23;14;10;21;17;25;26;18;7;24;5;22;16;11;15;1;6
20;8;12;2;13;5;4;3;9;23;14;10;21;17;25;26;18;7;24;19;22;16;11;15;1;6;1;5931800
1;5931800;20;8;12;2;13;5;4;3;9;23;14;10;21;17;25;26;18;7;24;19;22;16;11;15;1;6
13;8;12;2;20;5;4;3;9;23;14;10;21;17;25;26;18;7;24;19;22;16;11;15;1;6;1;5903876
1;5903876;13;8;12;2;20;5;4;3;9;23;14;10;21;17;25;26;18;7;24;19;22;16;11;15;1;6
13;8;12;2;20;5;4;3;9;19;14;10;21;17;25;26;18;7;24;23;22;16;11;15;1;6;1;5896575
1;5896575;13;8;12;2;20;5;4;3;9;19;14;10;21;17;25;26;18;7;24;23;22;16;11;15;1;6
13;8;12;17;20;5;4;3;9;19;14;10;21;2;25;26;18;7;24;23;22;16;11;15;1;6;1;5890412
1;5890412;13;8;12;17;20;5;4;3;9;19;14;10;21;2;25;26;18;7;24;23;22;16;11;15;1;6
13;8;12;17;20;5;4;3;22;19;14;10;21;2;25;26;18;7;24;23;9;16;11;15;1;6;1;5868186
2;5868186;13;8;12;17;20;5;4;3;22;19;14;10;21;2;25;26;18;7;24;23;9;16;11;15;1;6
13;8;16;17;20;5;4;3;22;19;14;10;21;2;25;26;18;7;24;23;9;12;11;15;1;6;2;5875662
2;5875662;13;8;16;17;20;5;4;3;22;19;14;10;21;2;25;26;18;7;24;23;9;12;11;15;1;6
10;8;16;17;20;5;4;3;22;19;14;13;21;2;25;26;18;7;24;23;9;12;11;15;1;6;2;5869327
2;5869327;10;8;16;17;20;5;4;3;22;19;14;13;21;2;25;26;18;7;24;23;9;12;11;15;1;6
10;8;16;17;20;5;4;3;22;19;14;13;21;2;25;26;12;7;24;23;9;18;11;15;1;6;2;5817746
2;5817746;10;8;16;17;20;5;4;3;22;19;14;13;21;2;25;26;12;7;24;23;9;18;11;15;1;6
10;8;16;5;20;17;4;3;22;19;14;13;21;2;25;26;12;7;24;23;9;18;11;15;1;6;2;5978213
2;5978213;10;8;16;5;20;17;4;3;22;19;14;13;21;2;25;26;12;7;24;23;9;18;11;15;1;6
10;8;16;15;20;17;4;3;22;19;14;13;21;2;25;26;12;7;24;23;9;18;11;5;1;6;2;6070168
2;6070168;10;8;16;15;20;17;4;3;22;19;14;13;21;2;25;26;12;7;24;23;9;18;11;5;1;6
10;8;16;15;20;17;4;3;22;19;14;13;21;2;7;26;12;25;24;23;9;18;11;5;1;6;2;6141741
2;6141741;10;8;16;15;20;17;4;3;22;19;14;13;21;2;7;26;12;25;24;23;9;18;11;5;1;6
10;8;16;15;20;17;4;3;22;19;14;13;21;2;7;26;12;25;24;23;5;18;11;9;1;6;2;6154083
2;6154083;10;8;16;15;20;17;4;3;22;19;14;13;21;2;7;26;12;25;24;23;5;18;11;9;1;6
10;8;16;15;20;17;4;3;9;19;14;13;21;2;7;26;12;25;24;23;5;18;11;22;1;6;2;6034567
2;6034567;10;8;16;15;20;17;4;3;9;19;14;13;21;2;7;26;12;25;24;23;5;18;11;22;1;6
10;8;16;15;20;17;4;3;21;19;14;13;9;2;7;26;12;25;24;23;5;18;11;22;1;6;2;6068201
2;6068201;10;8;16;15;20;17;4;3;21;19;14;13;9;2;7;26;12;25;24;23;5;18;11;22;1;6
7;8;16;15;20;17;4;3;21;19;14;13;9;2;10;26;12;25;24;23;5;18;11;22;1;6;2;6068083
2;6068083;7;8;16;15;20;17;4;3;21;19;14;13;9;2;10;26;12;25;24;23;5;18;11;22;1;6
7;8;16;15;20;17;4;3;21;19;14;13;9;2;10;12;26;25;24;23;5;18;11;22;1;6;2;6069214
2;6069214;7;8;16;15;20;17;4;3;21;19;14;13;9;2;10;12;26;25;24;23;5;18;11;22;1;6
25;8;16;15;20;17;4;3;21;19;14;13;9;2;10;12;26;7;24;23;5;18;11;22;1;6;2;6004302
2;6004302;25;8;16;15;20;17;4;3;21;19;14;13;9;2;10;12;26;7;24;23;5;18;11;22;1;6
25;8;16;15;20;17;4;3;21;19;14;13;9;18;10;12;26;7;24;23;5;2;11;22;1;6;2;5881843
2;5881843;25;8;16;15;20;17;4;3;21;19;14;13;9;18;10;12;26;7;24;23;5;2;11;22;1;6
25;8;16;15;20;17;4;3;21;19;14;13;9;2;10;12;26;7;24;23;5;18;11;22;1;6;2;6004302
2;6004302;25;8;16;15;20;17;4;3;21;19;14;13;9;2;10;12;26;7;24;23;5;18;11;22;1;6
25;8;16;15;20;17;4;3;21;19;14;13;9;2;10;12;26;7;24;23;5;6;11;22;1;18;2;5873609
2;5873609;25;8;16;15;20;17;4;3;21;19;14;13;9;2;10;12;26;7;24;23;5;6;11;22;1;18
25;8;16;15;20;17;4;3;21;19;24;13;9;2;10;12;26;7;14;23;5;6;11;22;1;18;2;5900690
2;5900690;25;8;16;15;20;17;4;3;21;19;24;13;9;2;10;12;26;7;14;23;5;6;11;22;1;18
25;8;16;21;20;17;4;3;15;19;24;13;9;2;10;12;26;7;14;23;5;6;11;22;1;18;2;5857197
2;5857197;25;8;16;21;20;17;4;3;15;19;24;13;9;2;10;12;26;7;14;23;5;6;11;22;1;18
25;8;16;21;20;17;4;3;1;19;24;13;9;2;10;12;26;7;14;23;5;6;11;22;15;18;2;5854188
2;5854188;25;8;16;21;20;17;4;3;1;19;24;13;9;2;10;12;26;7;14;23;5;6;11;22;15;18
25;8;10;21;20;17;4;3;1;19;24;13;9;2;16;12;26;7;14;23;5;6;11;22;15;18;2;5851874
2;5851874;25;8;10;21;20;17;4;3;1;19;24;13;9;2;16;12;26;7;14;23;5;6;11;22;15;18
25;8;10;21;20;17;4;3;1;19;24;13;9;2;16;12;26;7;14;23;5;6;15;22;11;18;2;5844659
3;5844659;25;8;10;21;20;17;4;3;1;19;24;13;9;2;16;12;26;7;14;23;5;6;15;22;11;18
25;11;10;21;20;17;4;3;1;19;24;13;9;2;16;12;26;7;14;23;5;6;15;22;8;18;3;5868790
3;5868790;25;11;10;21;20;17;4;3;1;19;24;13;9;2;16;12;26;7;14;23;5;6;15;22;8;18
25;11;10;21;20;17;4;3;1;19;24;2;9;13;16;12;26;7;14;23;5;6;15;22;8;18;3;5871826
3;5871826;25;11;10;21;20;17;4;3;1;19;24;2;9;13;16;12;26;7;14;23;5;6;15;22;8;18
25;11;10;21;20;17;19;3;1;4;24;2;9;13;16;12;26;7;14;23;5;6;15;22;8;18;3;5874594
3;5874594;25;11;10;21;20;17;19;3;1;4;24;2;9;13;16;12;26;7;14;23;5;6;15;22;8;18
25;11;10;21;20;17;19;3;1;13;24;2;9;4;16;12;26;7;14;23;5;6;15;22;8;18;3;5889410
3;5889410;25;11;10;21;20;17;19;3;1;13;24;2;9;4;16;12;26;7;14;23;5;6;15;22;8;18
25;11;10;21;20;17;19;3;1;13;23;2;9;4;16;12;26;7;14;24;5;6;15;22;8;18;3;5884429
3;5884429;25;11;10;21;20;17;19;3;1;13;23;2;9;4;16;12;26;7;14;24;5;6;15;22;8;18
25;11;3;21;20;17;19;10;1;13;23;2;9;4;16;12;26;7;14;24;5;6;15;22;8;18;3;5824880
3;5824880;25;11;3;21;20;17;19;10;1;13;23;2;9;4;16;12;26;7;14;24;5;6;15;22;8;18
25;11;3;21;20;2;19;10;1;13;23;17;9;4;16;12;26;7;14;24;5;6;15;22;8;18;3;5816179
3;5816179;25;11;3;21;20;2;19;10;1;13;23;17;9;4;16;12;26;7;14;24;5;6;15;22;8;18
25;11;3;21;20;2;19;10;1;13;23;17;9;4;16;12;26;7;14;8;5;6;15;22;24;18;3;5895045
3;5895045;25;11;3;21;20;2;19;10;1;13;23;17;9;4;16;12;26;7;14;8;5;6;15;22;24;18
25;11;3;21;20;2;19;10;1;13;17;23;9;4;16;12;26;7;14;8;5;6;15;22;24;18;3;5895638
3;5895638;25;11;3;21;20;2;19;10;1;13;17;23;9;4;16;12;26;7;14;8;5;6;15;22;24;18
