"X12";"X7";"X10";"X11";"X2";"X8";"X9";"X5";"X1";"X4";"X6";"X3";"generation"
12;7;10;11;2;8;9;5;1;4;6;3;1
12;7;3;6;11;1;9;5;10;4;8;2;1
1;4;10;8;2;11;9;5;3;7;12;6;1
6;12;10;11;2;8;9;5;1;7;4;3;1
10;12;11;8;2;6;9;5;3;7;4;1;1
10;12;11;6;2;8;3;7;1;5;4;9;1
10;4;11;8;2;5;1;9;3;7;12;6;1
9;4;10;11;2;8;3;7;1;5;12;6;1
5;12;11;8;2;4;3;7;1;6;9;10;1
10;12;11;8;2;6;3;5;1;7;4;9;1
1;7;10;11;2;12;9;5;3;4;8;6;1
8;4;3;9;11;2;10;5;1;7;12;6;1
9;5;12;4;11;6;1;7;3;2;8;10;1
10;7;1;4;5;6;3;12;11;2;8;9;1
12;4;10;11;2;6;3;7;1;5;8;9;1
12;7;3;6;11;2;10;5;1;8;4;9;1
10;12;11;8;2;6;3;9;1;5;4;7;1
10;12;11;8;2;6;3;7;1;5;4;9;1
1;6;10;11;7;8;9;5;12;2;3;4;1
1;4;10;9;2;8;11;12;3;7;5;6;1
1;11;10;4;7;8;9;5;3;2;12;6;1
1;11;10;4;2;8;9;5;3;7;12;6;1
1;9;10;4;7;8;11;12;3;2;5;6;1
1;9;12;4;2;8;11;3;5;7;10;6;1
1;4;10;11;2;8;9;5;3;7;12;6;1
3;4;10;11;2;8;9;5;1;7;12;6;1
1;9;10;4;2;8;11;3;5;7;12;6;1
1;4;10;11;7;8;6;5;12;2;3;9;1
1;9;10;4;7;8;11;12;5;2;3;6;1
1;9;10;4;2;8;11;5;3;7;12;6;1
1;4;10;11;2;8;9;5;3;7;12;6;1
1;4;10;11;2;8;9;5;3;7;12;6;1
1;4;10;11;2;8;9;5;3;7;12;6;1
1;4;10;11;2;8;9;5;3;7;12;6;1
12;8;10;11;2;6;3;7;1;5;4;9;1
3;12;11;8;2;6;10;5;1;7;4;9;1
7;1;11;8;9;4;6;12;5;2;3;10;1
7;12;11;8;2;4;6;5;1;10;3;9;1
7;4;6;11;2;8;12;5;1;3;9;10;1
1;12;11;8;2;4;6;5;3;7;9;10;1
1;4;10;11;2;8;9;5;3;7;12;6;1
1;9;10;11;2;8;4;5;3;7;12;6;1
10;12;11;8;2;6;3;7;1;5;4;9;1
10;12;11;8;2;7;6;5;1;3;4;9;1
1;4;10;11;2;8;9;5;3;7;12;6;1
1;4;10;11;2;8;9;5;3;7;12;6;1
1;4;3;11;8;2;10;5;9;7;12;6;1
1;7;10;11;2;8;9;5;12;4;3;6;1
1;6;4;11;2;8;9;5;3;7;12;10;1
7;4;10;11;2;8;6;5;1;3;9;12;1
7;8;9;6;1;2;10;12;11;4;5;3;1
10;8;7;4;6;12;3;2;5;9;1;11;1
10;4;11;8;2;6;1;5;3;7;12;9;1
9;4;10;8;2;6;3;7;1;5;12;11;1
1;6;10;4;7;8;11;12;5;3;9;2;1
7;12;11;8;9;4;6;1;5;2;3;10;1
10;12;3;8;1;6;4;7;5;2;11;9;1
12;8;10;11;2;6;3;7;1;5;4;9;1
10;12;11;8;2;6;3;7;1;5;4;9;1
10;12;11;8;2;6;3;7;1;5;4;9;1
1;3;10;4;7;8;11;12;5;6;2;9;1
1;6;10;2;7;3;11;12;5;4;8;9;1
1;4;10;11;2;8;9;5;3;7;12;6;1
1;4;10;11;2;8;9;5;3;7;12;6;1
3;4;10;11;2;8;9;7;1;5;12;6;1
10;4;11;8;2;9;1;5;3;7;12;6;1
1;4;10;11;2;8;9;5;3;7;12;6;1
