"X1";"X5959322";"X18";"X7";"X6";"X15";"X12";"X4";"X16";"X23";"X1.1";"X19";"X20";"X10";"X25";"X13";"X22";"X17";"X24";"X11";"X5";"X3";"X8";"X26";"X21";"X2";"X9";"X14"
1;5959322;18;7;6;15;12;4;16;23;1;19;20;10;25;13;22;17;24;11;5;3;8;26;21;2;9;14
18;7;6;15;12;4;16;23;2;19;20;10;25;13;22;17;24;11;5;3;8;26;21;1;9;14;1;6050722
1;6050722;18;7;6;15;12;4;16;23;2;19;20;10;25;13;22;17;24;11;5;3;8;26;21;1;9;14
18;7;6;15;12;4;16;23;2;19;20;10;25;13;17;22;24;11;5;3;8;26;21;1;9;14;1;6046067
1;6046067;18;7;6;15;12;4;16;23;2;19;20;10;25;13;17;22;24;11;5;3;8;26;21;1;9;14
18;7;6;15;12;4;16;23;2;19;20;10;25;1;17;22;24;11;5;3;8;26;21;13;9;14;1;5991877
1;5991877;18;7;6;15;12;4;16;23;2;19;20;10;25;1;17;22;24;11;5;3;8;26;21;13;9;14
18;7;22;15;12;4;16;23;2;19;20;10;25;1;17;6;24;11;5;3;8;26;21;13;9;14;1;5987211
1;5987211;18;7;22;15;12;4;16;23;2;19;20;10;25;1;17;6;24;11;5;3;8;26;21;13;9;14
13;7;22;15;12;4;16;23;2;19;20;10;25;1;17;6;24;11;5;3;8;26;21;18;9;14;1;5999664
1;5999664;13;7;22;15;12;4;16;23;2;19;20;10;25;1;17;6;24;11;5;3;8;26;21;18;9;14
13;7;22;15;12;4;16;23;2;19;20;10;25;1;17;6;24;11;5;3;8;26;9;18;21;14;1;5946743
1;5946743;13;7;22;15;12;4;16;23;2;19;20;10;25;1;17;6;24;11;5;3;8;26;9;18;21;14
13;7;22;15;12;4;16;23;2;19;20;10;25;1;17;6;14;11;5;3;8;26;9;18;21;24;1;5825060
1;5825060;13;7;22;15;12;4;16;23;2;19;20;10;25;1;17;6;14;11;5;3;8;26;9;18;21;24
13;7;8;15;12;4;16;23;2;19;20;10;25;1;17;6;14;11;5;3;22;26;9;18;21;24;1;5798868
1;5798868;13;7;8;15;12;4;16;23;2;19;20;10;25;1;17;6;14;11;5;3;22;26;9;18;21;24
13;7;8;15;25;4;16;23;2;19;20;10;12;1;17;6;14;11;5;3;22;26;9;18;21;24;1;5755949
1;5755949;13;7;8;15;25;4;16;23;2;19;20;10;12;1;17;6;14;11;5;3;22;26;9;18;21;24
13;7;24;15;25;4;16;23;2;19;20;10;12;1;17;6;14;11;5;3;22;26;9;18;21;8;1;5698653
1;5698653;13;7;24;15;25;4;16;23;2;19;20;10;12;1;17;6;14;11;5;3;22;26;9;18;21;8
13;7;24;15;25;1;16;23;2;19;20;10;12;4;17;6;14;11;5;3;22;26;9;18;21;8;1;5789782
1;5789782;13;7;24;15;25;1;16;23;2;19;20;10;12;4;17;6;14;11;5;3;22;26;9;18;21;8
13;7;24;15;25;1;16;23;2;19;6;10;12;4;17;20;14;11;5;3;22;26;9;18;21;8;1;5830081
1;5830081;13;7;24;15;25;1;16;23;2;19;6;10;12;4;17;20;14;11;5;3;22;26;9;18;21;8
13;7;24;15;25;12;16;23;2;19;6;10;1;4;17;20;14;11;5;3;22;26;9;18;21;8;1;5752645
1;5752645;13;7;24;15;25;12;16;23;2;19;6;10;1;4;17;20;14;11;5;3;22;26;9;18;21;8
13;7;24;15;25;12;16;2;23;19;6;10;1;4;17;20;14;11;5;3;22;26;9;18;21;8;1;5738525
1;5738525;13;7;24;15;25;12;16;2;23;19;6;10;1;4;17;20;14;11;5;3;22;26;9;18;21;8
