"X5";"X3";"X24";"X9";"X6";"X19";"X22";"X16";"X4";"X23";"X8";"X13";"X1";"X17";"X26";"X15";"X7";"X14";"X20";"X21";"X2";"X10";"X11";"X12";"X25";"X18";"generation"
5;3;24;9;6;19;22;16;4;23;8;13;1;17;26;15;7;14;20;21;2;10;11;12;25;18;1
9;24;3;5;22;19;6;15;8;25;4;13;1;17;26;16;7;14;20;21;2;10;11;12;23;18;1
13;17;15;10;22;7;1;20;23;25;11;12;24;18;5;6;14;2;9;26;21;8;4;19;3;16;1
13;17;15;10;22;21;1;20;23;25;11;5;24;18;12;6;14;2;9;26;7;8;4;19;3;16;1
7;4;2;1;13;9;22;5;8;6;19;18;14;17;24;20;15;12;25;16;23;26;21;3;10;11;1
2;6;20;1;7;9;11;15;8;25;12;18;26;23;17;13;5;19;22;16;24;14;21;3;10;4;1
26;24;3;4;8;19;16;17;5;6;2;23;21;15;9;7;14;1;20;22;13;10;11;12;25;18;1
18;3;24;5;6;19;22;16;4;23;8;13;1;17;26;15;7;14;20;21;2;10;11;12;25;9;1
9;24;3;5;6;19;2;16;4;23;8;13;1;17;18;15;7;14;20;21;12;11;10;22;26;25;1
13;3;24;4;8;19;16;1;5;6;2;23;21;17;26;15;7;14;20;18;12;11;10;22;9;25;1
9;24;20;5;6;19;2;16;4;23;8;13;1;17;25;15;7;14;3;18;12;11;10;22;26;21;1
16;20;24;4;8;19;13;17;5;6;12;23;18;15;9;7;14;1;3;21;2;10;11;22;26;25;1
1;11;20;10;7;9;6;15;8;25;12;18;26;23;17;13;5;19;22;16;24;14;4;2;3;21;1
7;4;2;1;20;22;6;15;8;25;12;18;16;23;17;13;5;19;9;26;21;14;24;3;10;11;1
13;20;24;4;8;19;16;17;5;6;2;23;21;14;9;7;15;1;3;18;12;11;10;22;26;25;1
13;20;24;4;8;19;16;17;5;6;2;23;21;15;9;7;14;1;3;18;12;11;10;22;26;25;1
13;17;15;10;22;7;1;20;23;25;11;5;24;18;12;6;14;2;9;26;21;19;4;8;3;16;1
13;17;15;10;22;7;1;20;23;25;11;5;24;18;12;6;14;2;9;26;21;8;4;19;3;16;1
13;17;15;8;22;26;1;9;23;25;4;5;24;18;19;6;7;14;20;21;2;10;11;12;3;16;1
20;24;3;5;15;7;22;16;11;23;10;13;1;18;12;6;14;2;9;26;21;8;4;19;25;17;1
13;17;15;19;22;7;1;20;23;25;11;5;4;18;12;6;8;2;9;26;24;14;21;3;10;16;1
7;4;15;10;20;9;6;2;8;25;12;18;26;23;17;13;5;19;22;16;24;14;21;3;1;11;1
16;17;15;10;22;7;1;20;23;25;11;5;24;18;12;6;8;2;9;26;4;14;21;3;19;13;1
7;4;19;1;20;22;13;15;8;25;17;23;24;18;12;6;14;2;9;26;16;5;21;3;10;11;1
6;20;24;5;2;19;7;16;4;23;8;13;1;17;26;15;14;21;3;18;12;11;10;22;9;25;1
25;24;20;4;13;19;16;17;5;6;2;23;21;15;9;7;14;1;3;18;12;11;10;22;26;8;1
13;17;15;10;22;7;1;20;23;25;11;5;24;18;12;6;14;2;9;26;21;8;4;19;3;16;1
13;17;15;10;22;7;1;20;23;25;11;5;24;18;12;6;14;2;9;26;21;8;4;19;3;16;1
13;17;15;10;22;7;1;20;23;25;11;5;24;18;12;6;14;2;9;26;21;8;4;19;3;16;1
13;17;15;10;22;7;1;20;23;25;11;5;24;18;12;6;14;2;9;26;21;8;4;19;3;16;1
13;17;15;10;22;7;1;20;23;25;11;5;24;18;12;6;14;2;9;26;21;8;4;19;3;16;1
13;17;15;10;22;7;1;20;23;25;11;5;24;18;12;6;14;2;9;26;21;8;4;19;3;16;1
