"X1";"X54910";"X12";"X2";"X4";"X8";"X10";"X5";"X1.1";"X9";"X3";"X11";"X6";"X7"
1;54910;12;2;4;8;10;5;1;9;3;11;6;7
4;2;12;8;10;5;1;9;3;11;6;7;1;53082
1;53082;4;2;12;8;10;5;1;9;3;11;6;7
6;2;12;8;10;5;1;9;3;11;4;7;1;53000
1;53000;6;2;12;8;10;5;1;9;3;11;4;7
3;2;12;8;10;5;1;9;6;11;4;7;1;56974
1;56974;3;2;12;8;10;5;1;9;6;11;4;7
6;2;12;8;10;5;1;9;3;11;4;7;1;53000
1;53000;6;2;12;8;10;5;1;9;3;11;4;7
6;2;8;12;10;5;1;9;3;11;4;7;1;49634
1;49634;6;2;8;12;10;5;1;9;3;11;4;7
4;2;8;12;10;5;1;9;3;11;6;7;1;51432
1;51432;4;2;8;12;10;5;1;9;3;11;6;7
4;7;8;12;10;5;1;9;3;11;6;2;1;40154
1;40154;4;7;8;12;10;5;1;9;3;11;6;2
4;7;8;12;10;5;1;9;3;6;11;2;1;35914
1;35914;4;7;8;12;10;5;1;9;3;6;11;2
4;9;8;12;10;5;1;7;3;6;11;2;1;59174
1;59174;4;9;8;12;10;5;1;7;3;6;11;2
4;11;8;12;10;5;1;7;3;6;9;2;1;53128
1;53128;4;11;8;12;10;5;1;7;3;6;9;2
4;6;8;12;10;5;1;7;3;11;9;2;1;47306
1;47306;4;6;8;12;10;5;1;7;3;11;9;2
4;6;12;8;10;5;1;7;3;11;9;2;1;47836
1;47836;4;6;12;8;10;5;1;7;3;11;9;2
4;6;12;8;10;5;11;7;3;1;9;2;1;31626
1;31626;4;6;12;8;10;5;11;7;3;1;9;2
4;11;12;8;10;5;6;7;3;1;9;2;1;32154
1;32154;4;11;12;8;10;5;6;7;3;1;9;2
4;11;8;12;10;5;6;7;3;1;9;2;1;35888
1;35888;4;11;8;12;10;5;6;7;3;1;9;2
4;8;11;12;10;5;6;7;3;1;9;2;1;31908
1;31908;4;8;11;12;10;5;6;7;3;1;9;2
5;8;11;12;10;4;6;7;3;1;9;2;1;27460
1;27460;5;8;11;12;10;4;6;7;3;1;9;2
5;8;11;12;2;4;6;7;3;1;9;10;1;32418
1;32418;5;8;11;12;2;4;6;7;3;1;9;10
5;8;11;12;2;4;3;7;6;1;9;10;1;33410
1;33410;5;8;11;12;2;4;3;7;6;1;9;10
5;8;11;12;6;4;3;7;2;1;9;10;1;31046
2;31046;5;8;11;12;6;4;3;7;2;1;9;10
4;8;11;12;6;5;3;7;2;1;9;10;2;28402
2;28402;4;8;11;12;6;5;3;7;2;1;9;10
4;8;11;12;2;5;3;7;6;1;9;10;2;30502
2;30502;4;8;11;12;2;5;3;7;6;1;9;10
11;8;4;12;2;5;3;7;6;1;9;10;2;24668
2;24668;11;8;4;12;2;5;3;7;6;1;9;10
11;8;4;12;2;5;10;7;6;1;9;3;2;28810
2;24668;11;8;4;12;2;5;3;7;6;1;9;10
11;8;4;12;2;5;3;7;10;1;9;6;2;30150
2;30150;11;8;4;12;2;5;3;7;10;1;9;6
11;8;4;12;10;5;3;7;2;1;9;6;2;27842
2;27842;11;8;4;12;10;5;3;7;2;1;9;6
11;8;4;12;10;5;7;3;2;1;9;6;2;36982
2;27842;11;8;4;12;10;5;3;7;2;1;9;6
11;8;4;12;6;5;3;7;2;1;9;10;2;17752
2;17752;11;8;4;12;6;5;3;7;2;1;9;10
11;8;4;12;1;5;3;7;2;6;9;10;2;41150
2;41150;11;8;4;12;1;5;3;7;2;6;9;10
6;8;4;12;1;5;3;7;2;11;9;10;2;43706
2;43706;6;8;4;12;1;5;3;7;2;11;9;10
6;8;4;12;1;5;3;9;2;11;7;10;2;39864
2;39864;6;8;4;12;1;5;3;9;2;11;7;10
6;8;5;12;1;4;3;9;2;11;7;10;2;43406
2;43406;6;8;5;12;1;4;3;9;2;11;7;10
6;8;5;12;10;4;3;9;2;11;7;1;2;40082
2;40082;6;8;5;12;10;4;3;9;2;11;7;1
6;8;7;12;10;4;3;9;2;11;5;1;2;45386
2;45386;6;8;7;12;10;4;3;9;2;11;5;1
6;8;7;10;12;4;3;9;2;11;5;1;2;44586
2;44586;6;8;7;10;12;4;3;9;2;11;5;1
9;8;7;10;12;4;3;6;2;11;5;1;2;36224
2;36224;9;8;7;10;12;4;3;6;2;11;5;1
9;11;7;10;12;4;3;6;2;8;5;1;2;49924
2;36224;9;8;7;10;12;4;3;6;2;11;5;1
9;8;7;10;6;4;3;12;2;11;5;1;2;38222
2;38222;9;8;7;10;6;4;3;12;2;11;5;1
9;8;7;10;6;4;5;12;2;11;3;1;2;34480
2;34480;9;8;7;10;6;4;5;12;2;11;3;1
9;4;7;10;6;8;5;12;2;11;3;1;2;33306
3;33306;9;4;7;10;6;8;5;12;2;11;3;1
9;4;7;1;6;8;5;12;2;11;3;10;3;35772
3;35772;9;4;7;1;6;8;5;12;2;11;3;10
9;4;7;1;6;8;5;11;2;12;3;10;3;37564
3;37564;9;4;7;1;6;8;5;11;2;12;3;10
4;9;7;1;6;8;5;11;2;12;3;10;3;33814
3;33814;4;9;7;1;6;8;5;11;2;12;3;10
4;9;7;1;6;5;8;11;2;12;3;10;3;43526
3;43526;4;9;7;1;6;5;8;11;2;12;3;10
4;9;7;1;6;8;5;11;2;12;3;10;3;33814
3;33814;4;9;7;1;6;8;5;11;2;12;3;10
4;9;7;10;6;8;5;11;2;12;3;1;3;35492
3;35492;4;9;7;10;6;8;5;11;2;12;3;1
4;9;7;10;6;8;3;11;2;12;5;1;3;39234
3;39234;4;9;7;10;6;8;3;11;2;12;5;1
4;9;7;11;6;8;3;10;2;12;5;1;3;51770
3;51770;4;9;7;11;6;8;3;10;2;12;5;1
1;9;7;11;6;8;3;10;2;12;5;4;3;61998
3;61998;1;9;7;11;6;8;3;10;2;12;5;4
1;3;7;11;6;8;9;10;2;12;5;4;3;60174
3;60174;1;3;7;11;6;8;9;10;2;12;5;4
1;5;7;11;6;8;9;10;2;12;3;4;3;53576
3;53576;1;5;7;11;6;8;9;10;2;12;3;4
1;5;3;11;6;8;9;10;2;12;7;4;3;55350
3;55350;1;5;3;11;6;8;9;10;2;12;7;4
1;5;3;11;6;8;9;2;10;12;7;4;3;44900
3;44900;1;5;3;11;6;8;9;2;10;12;7;4
1;5;3;11;6;9;8;2;10;12;7;4;3;53120
3;53120;1;5;3;11;6;9;8;2;10;12;7;4
10;5;3;11;6;9;8;2;1;12;7;4;3;44990
3;44990;10;5;3;11;6;9;8;2;1;12;7;4
10;5;9;11;6;3;8;2;1;12;7;4;3;31024
