"X8";"X4";"X3";"X10";"X7";"X1";"X9";"X5";"X2";"X11";"X6";"X12";"generation"
8;4;3;10;7;1;9;5;2;11;6;12;1
4;12;3;10;9;1;7;5;2;11;8;6;1
9;4;7;12;11;6;10;3;1;5;8;2;1
9;2;7;12;5;1;6;3;4;11;8;10;1
8;4;3;10;9;1;7;5;2;11;6;12;1
10;4;3;8;9;1;7;5;2;11;6;12;1
11;5;12;4;6;2;10;1;3;7;8;9;1
11;5;12;4;6;8;10;1;3;7;2;9;1
8;4;3;10;2;1;7;11;5;6;9;12;1
8;4;3;10;9;1;7;5;2;11;6;12;1
8;1;12;3;4;7;2;11;5;6;9;10;1
11;5;12;4;6;8;10;7;1;3;9;2;1
5;4;3;2;6;8;10;1;7;11;9;12;1
6;5;12;4;9;1;7;8;3;10;2;11;1
8;4;12;3;1;6;2;5;11;7;9;10;1
8;1;12;3;4;7;2;11;5;10;9;6;1
8;1;12;4;9;7;2;11;5;3;6;10;1
8;1;12;3;4;11;10;5;6;7;2;9;1
11;5;12;4;6;8;10;1;3;7;2;9;1
11;5;12;4;6;8;10;1;3;7;2;9;1
11;5;12;4;6;8;10;1;3;7;2;9;1
11;5;12;4;6;8;10;1;3;7;2;9;1
4;1;11;10;7;9;2;5;12;8;3;6;1
11;9;10;4;12;6;2;3;1;5;8;7;1
8;4;5;10;1;9;6;3;2;11;7;12;1
4;12;3;10;9;1;7;5;2;11;6;8;1
11;5;3;10;9;1;7;8;12;4;2;6;1
5;11;12;4;6;8;10;1;3;7;2;9;1
9;10;12;3;4;7;2;5;6;11;1;8;1
8;7;9;12;5;1;10;4;6;11;3;2;1
8;4;3;10;9;1;7;5;2;11;6;12;1
8;4;3;10;9;1;7;5;2;11;6;12;1
11;7;10;3;1;6;2;5;12;8;4;9;1
11;5;12;4;6;8;10;1;2;9;3;7;1
4;12;11;3;1;6;2;5;9;8;10;7;1
4;6;11;10;1;12;2;5;7;3;8;9;1
1;3;12;4;7;8;2;11;5;6;9;10;1
8;5;12;3;4;7;2;11;1;6;9;10;1
4;12;9;10;5;11;6;1;3;7;2;8;1
12;5;11;10;7;9;6;1;3;4;2;8;1
10;1;12;3;4;7;2;11;5;8;9;6;1
6;1;12;3;9;10;2;11;5;8;4;7;1
8;1;12;3;10;7;2;11;5;6;9;4;1
8;5;10;3;4;7;2;9;1;11;6;12;1
8;4;3;10;1;6;2;5;7;11;9;12;1
11;9;10;3;6;1;7;5;12;8;4;2;1
11;5;12;4;6;8;10;1;3;7;2;9;1
11;5;12;4;6;8;10;1;3;7;2;9;1
10;5;12;4;6;8;11;1;3;7;2;9;1
7;5;12;4;6;8;10;1;3;11;2;9;1
11;5;12;4;6;8;10;1;3;7;2;9;1
11;5;12;4;6;8;10;1;3;7;2;9;1
5;4;3;7;9;8;10;1;2;11;6;12;1
4;11;12;10;9;1;7;5;2;8;6;3;1
8;1;12;3;4;7;2;11;5;6;9;10;1
8;11;12;10;9;1;7;5;2;6;4;3;1
11;1;12;4;6;8;2;5;3;7;10;9;1
11;9;4;12;5;6;10;1;3;7;2;8;1
8;1;12;3;4;7;2;11;5;6;9;10;1
