"X1";"X40954";"X9";"X7";"X1.1";"X2";"X4";"X5";"X10";"X6";"X8";"X3";"X11";"X12"
1;40954;9;7;1;2;4;5;10;6;8;3;11;12
9;7;1;2;4;12;10;6;8;3;11;5;1;42766
1;42766;9;7;1;2;4;12;10;6;8;3;11;5
9;7;1;3;4;12;10;6;8;2;11;5;1;42762
1;42762;9;7;1;3;4;12;10;6;8;2;11;5
9;7;6;3;4;12;10;1;8;2;11;5;1;39642
1;39642;9;7;6;3;4;12;10;1;8;2;11;5
9;8;6;3;4;12;10;1;7;2;11;5;1;51122
1;51122;9;8;6;3;4;12;10;1;7;2;11;5
9;8;6;3;5;12;10;1;7;2;11;4;1;50406
1;50406;9;8;6;3;5;12;10;1;7;2;11;4
9;3;6;8;5;12;10;1;7;2;11;4;1;50764
1;50764;9;3;6;8;5;12;10;1;7;2;11;4
7;3;6;8;5;12;10;1;9;2;11;4;1;44638
1;44638;7;3;6;8;5;12;10;1;9;2;11;4
7;3;6;8;5;12;4;1;9;2;11;10;1;43120
1;43120;7;3;6;8;5;12;4;1;9;2;11;10
10;3;6;8;5;12;4;1;9;2;11;7;1;39464
1;39464;10;3;6;8;5;12;4;1;9;2;11;7
10;3;6;8;5;4;12;1;9;2;11;7;1;33224
1;33224;10;3;6;8;5;4;12;1;9;2;11;7
2;3;6;8;5;4;12;1;9;10;11;7;1;39810
1;33224;10;3;6;8;5;4;12;1;9;2;11;7
10;3;6;8;5;4;9;1;12;2;11;7;1;32310
1;32310;10;3;6;8;5;4;9;1;12;2;11;7
10;4;6;8;5;3;9;1;12;2;11;7;1;29926
1;29926;10;4;6;8;5;3;9;1;12;2;11;7
10;4;6;8;5;3;9;7;12;2;11;1;1;29986
1;29986;10;4;6;8;5;3;9;7;12;2;11;1
7;4;6;8;5;3;9;10;12;2;11;1;1;34130
1;34130;7;4;6;8;5;3;9;10;12;2;11;1
7;11;6;8;5;3;9;10;12;2;4;1;1;45624
1;45624;7;11;6;8;5;3;9;10;12;2;4;1
7;11;6;8;5;4;9;10;12;2;3;1;1;46856
1;46856;7;11;6;8;5;4;9;10;12;2;3;1
7;11;6;8;5;4;9;10;12;2;1;3;1;51450
1;51450;7;11;6;8;5;4;9;10;12;2;1;3
10;11;6;8;5;4;9;7;12;2;1;3;1;49466
1;49466;10;11;6;8;5;4;9;7;12;2;1;3
10;11;6;8;12;4;9;7;5;2;1;3;1;53414
2;53414;10;11;6;8;12;4;9;7;5;2;1;3
10;11;6;8;12;9;4;7;5;2;1;3;2;46924
2;46924;10;11;6;8;12;9;4;7;5;2;1;3
7;11;6;8;12;9;4;10;5;2;1;3;2;45640
2;45640;7;11;6;8;12;9;4;10;5;2;1;3
7;11;6;8;12;9;4;10;5;1;2;3;2;40848
2;40848;7;11;6;8;12;9;4;10;5;1;2;3
7;11;6;8;12;9;4;2;5;1;10;3;2;40332
2;40332;7;11;6;8;12;9;4;2;5;1;10;3
7;11;6;8;12;5;4;2;9;1;10;3;2;37132
2;37132;7;11;6;8;12;5;4;2;9;1;10;3
2;11;6;8;12;5;4;7;9;1;10;3;2;36228
2;36228;2;11;6;8;12;5;4;7;9;1;10;3
1;11;6;8;12;5;4;7;9;2;10;3;2;39056
2;39056;1;11;6;8;12;5;4;7;9;2;10;3
1;7;6;8;12;5;4;11;9;2;10;3;2;38732
2;38732;1;7;6;8;12;5;4;11;9;2;10;3
3;7;6;8;12;5;4;11;9;2;10;1;2;44034
2;44034;3;7;6;8;12;5;4;11;9;2;10;1
5;7;6;8;12;3;4;11;9;2;10;1;2;42564
2;42564;5;7;6;8;12;3;4;11;9;2;10;1
5;7;6;8;12;3;10;11;9;2;4;1;2;43182
2;43182;5;7;6;8;12;3;10;11;9;2;4;1
5;7;6;8;12;3;9;11;10;2;4;1;2;42972
2;42972;5;7;6;8;12;3;9;11;10;2;4;1
5;7;6;8;12;3;9;11;2;10;4;1;2;39108
2;39108;5;7;6;8;12;3;9;11;2;10;4;1
5;7;6;8;12;9;3;11;2;10;4;1;2;38052
2;38052;5;7;6;8;12;9;3;11;2;10;4;1
5;7;12;8;6;9;3;11;2;10;4;1;2;36068
2;36068;5;7;12;8;6;9;3;11;2;10;4;1
5;7;12;8;6;9;2;11;3;10;4;1;2;33920
2;33920;5;7;12;8;6;9;2;11;3;10;4;1
5;7;12;8;6;9;2;4;3;10;11;1;2;33754
2;33754;5;7;12;8;6;9;2;4;3;10;11;1
8;7;12;5;6;9;2;4;3;10;11;1;2;47100
2;47100;8;7;12;5;6;9;2;4;3;10;11;1
3;7;12;5;6;9;2;4;8;10;11;1;2;42686
2;42686;3;7;12;5;6;9;2;4;8;10;11;1
3;9;12;5;6;7;2;4;8;10;11;1;2;44744
3;44744;3;9;12;5;6;7;2;4;8;10;11;1
9;3;12;5;6;7;2;4;8;10;11;1;3;46154
