"X1";"X6002801";"X16";"X22";"X20";"X4";"X15";"X7";"X21";"X11";"X10";"X13";"X19";"X6";"X14";"X25";"X1.1";"X9";"X3";"X2";"X8";"X24";"X5";"X18";"X26";"X12";"X17";"X23"
1;6002801;16;22;20;4;15;7;21;11;10;13;19;6;14;25;1;9;3;2;8;24;5;18;26;12;17;23
17;22;20;4;15;7;21;11;10;13;19;6;14;25;1;9;3;2;8;24;5;18;26;12;16;23;1;5984348
1;5984348;17;22;20;4;15;7;21;11;10;13;19;6;14;25;1;9;3;2;8;24;5;18;26;12;16;23
17;22;20;4;15;7;21;11;10;13;19;6;14;25;1;9;26;2;8;24;5;18;3;12;16;23;1;5992418
1;5992418;17;22;20;4;15;7;21;11;10;13;19;6;14;25;1;9;26;2;8;24;5;18;3;12;16;23
17;22;20;4;15;7;21;11;10;8;19;6;14;25;1;9;26;2;13;24;5;18;3;12;16;23;1;5986451
1;5986451;17;22;20;4;15;7;21;11;10;8;19;6;14;25;1;9;26;2;13;24;5;18;3;12;16;23
17;22;20;4;15;7;21;11;10;14;19;6;8;25;1;9;26;2;13;24;5;18;3;12;16;23;1;6050153
1;6050153;17;22;20;4;15;7;21;11;10;14;19;6;8;25;1;9;26;2;13;24;5;18;3;12;16;23
17;22;8;4;15;7;21;11;10;14;19;6;20;25;1;9;26;2;13;24;5;18;3;12;16;23;1;6058690
1;6058690;17;22;8;4;15;7;21;11;10;14;19;6;20;25;1;9;26;2;13;24;5;18;3;12;16;23
17;22;8;4;15;7;21;26;10;14;19;6;20;25;1;9;11;2;13;24;5;18;3;12;16;23;1;6058830
1;6058830;17;22;8;4;15;7;21;26;10;14;19;6;20;25;1;9;11;2;13;24;5;18;3;12;16;23
17;22;8;4;15;7;21;26;10;18;19;6;20;25;1;9;11;2;13;24;5;14;3;12;16;23;1;6019697
1;6019697;17;22;8;4;15;7;21;26;10;18;19;6;20;25;1;9;11;2;13;24;5;14;3;12;16;23
17;22;8;4;15;7;21;26;10;18;19;6;20;25;1;5;11;2;13;24;9;14;3;12;16;23;1;5986712
1;5986712;17;22;8;4;15;7;21;26;10;18;19;6;20;25;1;5;11;2;13;24;9;14;3;12;16;23
17;22;8;4;15;7;21;26;10;18;16;6;20;25;1;5;11;2;13;24;9;14;3;12;19;23;1;6015040
1;6015040;17;22;8;4;15;7;21;26;10;18;16;6;20;25;1;5;11;2;13;24;9;14;3;12;19;23
17;22;10;4;15;7;21;26;8;18;16;6;20;25;1;5;11;2;13;24;9;14;3;12;19;23;1;5966076
1;5966076;17;22;10;4;15;7;21;26;8;18;16;6;20;25;1;5;11;2;13;24;9;14;3;12;19;23
