"X1";"X51606";"X10";"X11";"X1.1";"X6";"X7";"X2";"X3";"X9";"X5";"X8";"X12";"X4"
1;51606;10;11;1;6;7;2;3;9;5;8;12;4
10;7;1;6;11;2;3;9;5;8;12;4;1;37436
1;37436;10;7;1;6;11;2;3;9;5;8;12;4
12;7;1;6;11;2;3;9;5;8;10;4;1;34804
1;34804;12;7;1;6;11;2;3;9;5;8;10;4
12;7;1;6;11;2;3;5;9;8;10;4;1;33958
1;33958;12;7;1;6;11;2;3;5;9;8;10;4
12;10;1;6;11;2;3;5;9;8;7;4;1;43560
1;43560;12;10;1;6;11;2;3;5;9;8;7;4
12;10;1;6;11;2;3;5;9;7;8;4;1;39918
1;39918;12;10;1;6;11;2;3;5;9;7;8;4
12;10;1;6;11;2;3;5;4;7;8;9;1;38872
1;38872;12;10;1;6;11;2;3;5;4;7;8;9
12;10;1;6;11;2;4;5;3;7;8;9;1;39000
1;39000;12;10;1;6;11;2;4;5;3;7;8;9
12;10;1;6;11;7;4;5;3;2;8;9;1;49482
1;39000;12;10;1;6;11;2;4;5;3;7;8;9
4;10;1;6;11;2;12;5;3;7;8;9;1;37656
1;37656;4;10;1;6;11;2;12;5;3;7;8;9
4;10;1;6;11;2;3;5;12;7;8;9;1;36262
1;36262;4;10;1;6;11;2;3;5;12;7;8;9
4;10;2;6;11;1;3;5;12;7;8;9;1;33788
1;33788;4;10;2;6;11;1;3;5;12;7;8;9
4;10;2;6;11;1;9;5;12;7;8;3;1;33514
1;33514;4;10;2;6;11;1;9;5;12;7;8;3
8;10;2;6;11;1;9;5;12;7;4;3;1;25604
1;25604;8;10;2;6;11;1;9;5;12;7;4;3
8;10;9;6;11;1;2;5;12;7;4;3;1;24476
1;24476;8;10;9;6;11;1;2;5;12;7;4;3
8;9;10;6;11;1;2;5;12;7;4;3;1;39056
1;39056;8;9;10;6;11;1;2;5;12;7;4;3
8;9;10;6;11;1;5;2;12;7;4;3;1;43296
1;43296;8;9;10;6;11;1;5;2;12;7;4;3
8;9;10;6;11;1;5;4;12;7;2;3;1;43654
1;43654;8;9;10;6;11;1;5;4;12;7;2;3
8;4;10;6;11;1;5;9;12;7;2;3;1;32006
1;32006;8;4;10;6;11;1;5;9;12;7;2;3
8;4;10;6;11;1;9;5;12;7;2;3;1;27206
1;27206;8;4;10;6;11;1;9;5;12;7;2;3
8;4;10;6;11;1;7;5;12;9;2;3;1;38896
2;38896;8;4;10;6;11;1;7;5;12;9;2;3
8;4;10;6;11;12;7;5;1;9;2;3;2;49280
