"X8";"X4";"X11";"X14";"X20";"X26";"X28";"X13";"X6";"X2";"X31";"X32";"X3";"X18";"X19";"X25";"X12";"X16";"X10";"X24";"X30";"X5";"X22";"X1";"X15";"X27";"X21";"X9";"X23";"X7";"X17";"X29";"generation"
8;4;11;14;20;26;28;13;6;2;31;32;3;18;19;25;12;16;10;24;30;5;22;1;15;27;21;9;23;7;17;29;1
2;8;31;9;20;3;27;1;4;10;13;32;11;18;19;25;12;16;28;24;30;5;22;14;15;6;21;26;23;7;17;29;1
18;7;11;14;20;26;28;13;6;23;30;9;31;21;8;19;17;1;22;4;16;10;32;25;27;5;2;3;12;29;24;15;1
22;7;11;14;20;26;28;13;6;23;30;9;31;21;8;29;17;1;15;4;16;10;32;18;5;3;27;19;2;12;24;25;1
6;20;3;1;4;9;10;31;27;2;13;32;11;18;19;25;12;16;28;24;30;5;22;14;15;21;8;17;26;29;23;7;1
32;20;3;1;4;9;10;31;27;2;22;8;6;18;19;25;12;16;28;24;30;5;13;14;15;11;21;26;23;7;17;29;1
8;22;31;6;4;15;11;20;14;29;21;9;13;30;18;2;12;5;19;3;28;16;25;27;26;10;24;1;23;7;17;32;1
8;22;31;6;4;15;11;20;14;29;21;9;13;30;18;2;12;5;19;3;28;7;25;17;26;10;24;32;23;16;27;1;1
19;32;24;2;20;10;23;1;3;6;18;9;22;28;14;11;26;27;16;12;17;31;25;13;29;7;30;8;21;4;15;5;1
19;32;24;2;20;10;23;1;25;6;18;9;22;28;14;15;26;27;16;12;17;31;3;13;29;7;30;8;21;4;11;5;1
8;22;31;6;1;28;11;20;14;29;21;9;13;30;18;7;23;26;15;4;16;10;32;25;27;24;2;3;12;19;5;17;1
8;29;11;14;20;4;15;31;6;32;21;9;13;30;18;2;12;5;19;3;28;7;25;17;26;10;24;1;23;16;27;22;1
18;7;11;14;20;26;28;13;6;12;30;9;31;21;8;29;17;3;15;4;19;10;22;25;5;24;2;1;23;16;27;32;1
18;22;3;14;20;26;28;13;6;23;30;9;31;21;8;29;17;1;15;4;16;10;32;25;27;24;7;5;2;11;19;12;1
