"X1";"X52036";"X5";"X11";"X6";"X4";"X12";"X2";"X7";"X9";"X8";"X10";"X1.1";"X3"
1;52036;5;11;6;4;12;2;7;9;8;10;1;3
5;11;6;4;12;2;10;9;8;7;1;3;1;44062
1;44062;5;11;6;4;12;2;10;9;8;7;1;3
5;11;6;4;12;9;10;2;8;7;1;3;1;36634
1;36634;5;11;6;4;12;9;10;2;8;7;1;3
5;11;6;12;4;9;10;2;8;7;1;3;1;37314
1;37314;5;11;6;12;4;9;10;2;8;7;1;3
5;11;6;12;4;3;10;2;8;7;1;9;1;38296
1;38296;5;11;6;12;4;3;10;2;8;7;1;9
5;11;9;12;4;3;10;2;8;7;1;6;1;42834
1;42834;5;11;9;12;4;3;10;2;8;7;1;6
5;11;9;1;4;3;10;2;8;7;12;6;1;44720
1;44720;5;11;9;1;4;3;10;2;8;7;12;6
5;11;9;1;4;3;7;2;8;10;12;6;1;42792
1;42792;5;11;9;1;4;3;7;2;8;10;12;6
5;11;7;1;4;3;9;2;8;10;12;6;1;41212
1;41212;5;11;7;1;4;3;9;2;8;10;12;6
5;11;7;1;4;3;6;2;8;10;12;9;1;45124
1;45124;5;11;7;1;4;3;6;2;8;10;12;9
5;11;7;1;4;3;8;2;6;10;12;9;1;41842
1;41842;5;11;7;1;4;3;8;2;6;10;12;9
5;11;7;1;4;12;8;2;6;10;3;9;1;39034
1;39034;5;11;7;1;4;12;8;2;6;10;3;9
5;11;8;1;4;12;7;2;6;10;3;9;1;41050
1;41050;5;11;8;1;4;12;7;2;6;10;3;9
5;11;8;1;4;12;7;2;10;6;3;9;1;39830
1;39830;5;11;8;1;4;12;7;2;10;6;3;9
5;11;8;1;4;12;9;2;10;6;3;7;1;42094
1;42094;5;11;8;1;4;12;9;2;10;6;3;7
5;11;8;6;4;12;9;2;10;1;3;7;1;31662
1;31662;5;11;8;6;4;12;9;2;10;1;3;7
5;8;11;6;4;12;9;2;10;1;3;7;1;46186
1;46186;5;8;11;6;4;12;9;2;10;1;3;7
5;8;11;6;12;4;9;2;10;1;3;7;1;37608
1;37608;5;8;11;6;12;4;9;2;10;1;3;7
5;8;11;6;12;10;9;2;4;1;3;7;1;30360
1;30360;5;8;11;6;12;10;9;2;4;1;3;7
6;8;11;5;12;10;9;2;4;1;3;7;1;31328
1;31328;6;8;11;5;12;10;9;2;4;1;3;7
6;8;2;5;12;10;9;11;4;1;3;7;1;34200
2;34200;6;8;2;5;12;10;9;11;4;1;3;7
6;8;2;5;12;10;9;11;4;7;3;1;2;36120
2;34200;6;8;2;5;12;10;9;11;4;1;3;7
6;8;2;10;12;5;9;11;4;1;3;7;2;36822
2;36822;6;8;2;10;12;5;9;11;4;1;3;7
6;8;2;9;12;5;10;11;4;1;3;7;2;36554
2;36554;6;8;2;9;12;5;10;11;4;1;3;7
6;9;2;8;12;5;10;11;4;1;3;7;2;42548
2;42548;6;9;2;8;12;5;10;11;4;1;3;7
6;12;2;8;9;5;10;11;4;1;3;7;2;42172
2;42172;6;12;2;8;9;5;10;11;4;1;3;7
6;12;7;8;9;5;10;11;4;1;3;2;2;42478
2;42478;6;12;7;8;9;5;10;11;4;1;3;2
8;12;7;6;9;5;10;11;4;1;3;2;2;51014
2;51014;8;12;7;6;9;5;10;11;4;1;3;2
8;7;12;6;9;5;10;11;4;1;3;2;2;41682
2;41682;8;7;12;6;9;5;10;11;4;1;3;2
8;7;12;6;9;2;10;11;4;1;3;5;2;47668
2;47668;8;7;12;6;9;2;10;11;4;1;3;5
8;3;12;6;9;2;10;11;4;1;7;5;2;53626
2;53626;8;3;12;6;9;2;10;11;4;1;7;5
8;7;12;6;9;2;10;11;4;1;3;5;2;47668
2;47668;8;7;12;6;9;2;10;11;4;1;3;5
8;7;12;6;9;2;10;4;11;1;3;5;2;47974
2;47974;8;7;12;6;9;2;10;4;11;1;3;5
8;7;12;6;4;2;10;9;11;1;3;5;2;56142
2;47974;8;7;12;6;9;2;10;4;11;1;3;5
8;6;12;7;9;2;10;4;11;1;3;5;2;49150
2;49150;8;6;12;7;9;2;10;4;11;1;3;5
8;6;12;3;9;2;10;4;11;1;7;5;2;48484
2;48484;8;6;12;3;9;2;10;4;11;1;7;5
8;6;12;9;3;2;10;4;11;1;7;5;2;49364
2;49364;8;6;12;9;3;2;10;4;11;1;7;5
8;6;11;9;3;2;10;4;12;1;7;5;2;45500
2;45500;8;6;11;9;3;2;10;4;12;1;7;5
8;6;11;9;3;12;10;4;2;1;7;5;2;40870
2;40870;8;6;11;9;3;12;10;4;2;1;7;5
8;6;11;4;3;12;10;9;2;1;7;5;2;49934
2;49934;8;6;11;4;3;12;10;9;2;1;7;5
8;6;11;4;3;12;10;5;2;1;7;9;2;46486
3;46486;8;6;11;4;3;12;10;5;2;1;7;9
8;6;11;10;3;12;4;5;2;1;7;9;3;45094
3;45094;8;6;11;10;3;12;4;5;2;1;7;9
11;6;8;10;3;12;4;5;2;1;7;9;3;36142
3;36142;11;6;8;10;3;12;4;5;2;1;7;9
11;4;8;10;3;12;6;5;2;1;7;9;3;58138
3;58138;11;4;8;10;3;12;6;5;2;1;7;9
11;4;8;5;3;12;6;10;2;1;7;9;3;46540
3;46540;11;4;8;5;3;12;6;10;2;1;7;9
11;4;8;5;2;12;6;10;3;1;7;9;3;50368
3;50368;11;4;8;5;2;12;6;10;3;1;7;9
11;4;3;5;2;12;6;10;8;1;7;9;3;56384
3;56384;11;4;3;5;2;12;6;10;8;1;7;9
11;4;3;5;2;12;6;7;8;1;10;9;3;50634
3;50634;11;4;3;5;2;12;6;7;8;1;10;9
11;4;3;5;2;12;9;7;8;1;10;6;3;48660
3;48660;11;4;3;5;2;12;9;7;8;1;10;6
11;10;3;5;2;12;9;7;8;1;4;6;3;50820
3;50820;11;10;3;5;2;12;9;7;8;1;4;6
11;10;3;5;2;12;9;7;6;1;4;8;3;46292
3;46292;11;10;3;5;2;12;9;7;6;1;4;8
11;10;3;5;2;12;9;1;6;7;4;8;3;49790
3;49790;11;10;3;5;2;12;9;1;6;7;4;8
11;10;3;5;2;12;9;8;6;7;4;1;3;58906
3;58906;11;10;3;5;2;12;9;8;6;7;4;1
1;10;3;5;2;12;9;8;6;7;4;11;3;51630
3;51630;1;10;3;5;2;12;9;8;6;7;4;11
1;10;2;5;3;12;9;8;6;7;4;11;3;51434
3;51434;1;10;2;5;3;12;9;8;6;7;4;11
1;10;2;5;3;12;9;8;4;7;6;11;3;51536
3;51536;1;10;2;5;3;12;9;8;4;7;6;11
1;10;2;3;5;12;9;8;4;7;6;11;3;51736
3;51736;1;10;2;3;5;12;9;8;4;7;6;11
1;10;2;3;8;12;9;5;4;7;6;11;3;34994
3;34994;1;10;2;3;8;12;9;5;4;7;6;11
1;10;2;3;8;11;9;5;4;7;6;12;3;30738
3;30738;1;10;2;3;8;11;9;5;4;7;6;12
1;10;2;3;8;11;6;5;4;7;9;12;3;33384
3;33384;1;10;2;3;8;11;6;5;4;7;9;12
1;10;2;3;8;11;6;5;9;7;4;12;3;33326
4;33326;1;10;2;3;8;11;6;5;9;7;4;12
1;10;2;3;6;11;8;5;9;7;4;12;4;37634
4;37634;1;10;2;3;6;11;8;5;9;7;4;12
1;10;2;3;6;11;8;5;9;4;7;12;4;57966
4;57966;1;10;2;3;6;11;8;5;9;4;7;12
7;10;2;3;6;11;8;5;9;4;1;12;4;61566
4;61566;7;10;2;3;6;11;8;5;9;4;1;12
3;10;2;7;6;11;8;5;9;4;1;12;4;71512
4;71512;3;10;2;7;6;11;8;5;9;4;1;12
6;10;2;7;3;11;8;5;9;4;1;12;4;71700
4;71700;6;10;2;7;3;11;8;5;9;4;1;12
9;10;2;7;3;11;8;5;6;4;1;12;4;67342
4;67342;9;10;2;7;3;11;8;5;6;4;1;12
9;10;2;7;3;11;8;12;6;4;1;5;4;64670
4;64670;9;10;2;7;3;11;8;12;6;4;1;5
8;10;2;7;3;11;9;12;6;4;1;5;4;55884
4;55884;8;10;2;7;3;11;9;12;6;4;1;5
8;10;2;7;3;11;6;12;9;4;1;5;4;57564
4;57564;8;10;2;7;3;11;6;12;9;4;1;5
8;10;2;7;12;11;6;3;9;4;1;5;4;47664
4;47664;8;10;2;7;12;11;6;3;9;4;1;5
8;10;2;7;5;11;6;3;9;4;1;12;4;42686
4;42686;8;10;2;7;5;11;6;3;9;4;1;12
8;10;2;7;5;11;3;6;9;4;1;12;4;41258
4;41258;8;10;2;7;5;11;3;6;9;4;1;12
8;10;2;7;1;11;3;6;9;4;5;12;4;41514
4;41514;8;10;2;7;1;11;3;6;9;4;5;12
8;10;2;5;1;11;3;6;9;4;7;12;4;36652
4;36652;8;10;2;5;1;11;3;6;9;4;7;12
8;9;2;5;1;11;3;6;10;4;7;12;4;35626
4;35626;8;9;2;5;1;11;3;6;10;4;7;12
8;9;2;5;1;11;3;6;12;4;7;10;4;34292
4;34292;8;9;2;5;1;11;3;6;12;4;7;10
8;10;2;5;1;11;3;6;12;4;7;9;4;33174
4;33174;8;10;2;5;1;11;3;6;12;4;7;9
8;10;2;6;1;11;3;5;12;4;7;9;4;50946
4;33174;8;10;2;5;1;11;3;6;12;4;7;9
3;10;2;5;1;11;8;6;12;4;7;9;4;43000
4;43000;3;10;2;5;1;11;8;6;12;4;7;9
3;4;2;5;1;11;8;6;12;10;7;9;4;45510
5;45510;3;4;2;5;1;11;8;6;12;10;7;9
3;4;2;5;1;9;8;6;12;10;7;11;5;40528
5;40528;3;4;2;5;1;9;8;6;12;10;7;11
9;4;2;5;1;3;8;6;12;10;7;11;5;45078
5;45078;9;4;2;5;1;3;8;6;12;10;7;11
9;10;2;5;1;3;8;6;12;4;7;11;5;48766
5;48766;9;10;2;5;1;3;8;6;12;4;7;11
9;10;7;5;1;3;8;6;12;4;2;11;5;50184
5;50184;9;10;7;5;1;3;8;6;12;4;2;11
9;7;10;5;1;3;8;6;12;4;2;11;5;39980
5;39980;9;7;10;5;1;3;8;6;12;4;2;11
9;2;10;5;1;3;8;6;12;4;7;11;5;42678
5;42678;9;2;10;5;1;3;8;6;12;4;7;11
9;2;10;5;1;3;8;4;12;6;7;11;5;37454
5;37454;9;2;10;5;1;3;8;4;12;6;7;11
9;2;10;5;1;3;11;4;12;6;7;8;5;44540
5;44540;9;2;10;5;1;3;11;4;12;6;7;8
7;2;10;5;1;3;11;4;12;6;9;8;5;33062
5;33062;7;2;10;5;1;3;11;4;12;6;9;8
7;5;10;2;1;3;11;4;12;6;9;8;5;18624
5;18624;7;5;10;2;1;3;11;4;12;6;9;8
7;5;10;2;1;3;11;6;12;4;9;8;5;17706
5;17706;7;5;10;2;1;3;11;6;12;4;9;8
7;5;10;2;1;3;11;6;4;12;9;8;5;25038
5;25038;7;5;10;2;1;3;11;6;4;12;9;8
7;5;10;11;1;3;2;6;4;12;9;8;5;24882
5;24882;7;5;10;11;1;3;2;6;4;12;9;8
7;5;10;11;1;3;2;6;4;8;9;12;5;28914
5;24882;7;5;10;11;1;3;2;6;4;12;9;8
7;11;10;5;1;3;2;6;4;12;9;8;5;39460
5;39460;7;11;10;5;1;3;2;6;4;12;9;8
7;11;10;5;1;3;2;6;8;12;9;4;5;40326
5;40326;7;11;10;5;1;3;2;6;8;12;9;4
7;1;10;5;11;3;2;6;8;12;9;4;5;35908
5;35908;7;1;10;5;11;3;2;6;8;12;9;4
8;1;10;5;11;3;2;6;7;12;9;4;5;37468
5;37468;8;1;10;5;11;3;2;6;7;12;9;4
8;1;10;5;11;3;2;6;7;12;4;9;5;34258
5;34258;8;1;10;5;11;3;2;6;7;12;4;9
8;1;10;5;11;3;2;4;7;12;6;9;5;46758
6;34258;8;1;10;5;11;3;2;6;7;12;4;9
8;1;10;5;11;6;2;3;7;12;4;9;6;43294
6;43294;8;1;10;5;11;6;2;3;7;12;4;9
8;1;10;5;9;6;2;3;7;12;4;11;6;44678
6;44678;8;1;10;5;9;6;2;3;7;12;4;11
8;1;10;6;9;5;2;3;7;12;4;11;6;43404
6;43404;8;1;10;6;9;5;2;3;7;12;4;11
8;1;10;6;9;3;2;5;7;12;4;11;6;43686
6;43686;8;1;10;6;9;3;2;5;7;12;4;11
8;1;10;4;9;3;2;5;7;12;6;11;6;45896
6;45896;8;1;10;4;9;3;2;5;7;12;6;11
8;1;10;4;9;3;2;5;12;7;6;11;6;31490
6;31490;8;1;10;4;9;3;2;5;12;7;6;11
8;1;10;4;9;3;6;5;12;7;2;11;6;32126
6;32126;8;1;10;4;9;3;6;5;12;7;2;11
8;7;10;4;9;3;6;5;12;1;2;11;6;51278
6;51278;8;7;10;4;9;3;6;5;12;1;2;11
8;7;10;6;9;3;4;5;12;1;2;11;6;51656
6;51656;8;7;10;6;9;3;4;5;12;1;2;11
9;7;10;6;8;3;4;5;12;1;2;11;6;43274
6;43274;9;7;10;6;8;3;4;5;12;1;2;11
1;7;10;6;8;3;4;5;12;9;2;11;6;41104
6;41104;1;7;10;6;8;3;4;5;12;9;2;11
1;5;10;6;8;3;4;7;12;9;2;11;6;33624
6;33624;1;5;10;6;8;3;4;7;12;9;2;11
