"X1";"X5857378";"X23";"X7";"X8";"X12";"X17";"X10";"X9";"X6";"X11";"X3";"X22";"X19";"X24";"X5";"X15";"X21";"X4";"X26";"X14";"X1.1";"X2";"X18";"X13";"X25";"X20";"X16"
1;5857378;23;7;8;12;17;10;9;6;11;3;22;19;24;5;15;21;4;26;14;1;2;18;13;25;20;16
23;7;8;12;17;10;9;6;18;3;22;19;24;5;15;21;4;26;14;1;2;11;13;25;20;16;1;5740148
1;5740148;23;7;8;12;17;10;9;6;18;3;22;19;24;5;15;21;4;26;14;1;2;11;13;25;20;16
23;7;8;12;17;10;9;14;18;3;22;19;24;5;15;21;4;26;6;1;2;11;13;25;20;16;1;5783396
1;5783396;23;7;8;12;17;10;9;14;18;3;22;19;24;5;15;21;4;26;6;1;2;11;13;25;20;16
10;7;8;12;17;23;9;14;18;3;22;19;24;5;15;21;4;26;6;1;2;11;13;25;20;16;1;5786709
1;5786709;10;7;8;12;17;23;9;14;18;3;22;19;24;5;15;21;4;26;6;1;2;11;13;25;20;16
10;7;8;12;17;14;9;23;18;3;22;19;24;5;15;21;4;26;6;1;2;11;13;25;20;16;1;5820739
1;5820739;10;7;8;12;17;14;9;23;18;3;22;19;24;5;15;21;4;26;6;1;2;11;13;25;20;16
10;7;8;12;11;14;9;23;18;3;22;19;24;5;15;21;4;26;6;1;2;17;13;25;20;16;1;5819243
1;5819243;10;7;8;12;11;14;9;23;18;3;22;19;24;5;15;21;4;26;6;1;2;17;13;25;20;16
10;7;8;12;11;14;9;23;18;3;20;19;24;5;15;21;4;26;6;1;2;17;13;25;22;16;1;5731525
1;5731525;10;7;8;12;11;14;9;23;18;3;20;19;24;5;15;21;4;26;6;1;2;17;13;25;22;16
10;7;8;12;11;14;9;3;18;23;20;19;24;5;15;21;4;26;6;1;2;17;13;25;22;16;1;5731525
1;5731525;10;7;8;12;11;14;9;3;18;23;20;19;24;5;15;21;4;26;6;1;2;17;13;25;22;16
10;7;8;12;11;14;9;3;18;23;20;19;24;5;15;21;4;26;6;1;2;22;13;25;17;16;1;5735331
1;5735331;10;7;8;12;11;14;9;3;18;23;20;19;24;5;15;21;4;26;6;1;2;22;13;25;17;16
10;18;8;12;11;14;9;3;7;23;20;19;24;5;15;21;4;26;6;1;2;22;13;25;17;16;1;5832919
1;5832919;10;18;8;12;11;14;9;3;7;23;20;19;24;5;15;21;4;26;6;1;2;22;13;25;17;16
