"X24";"X16";"X30";"X7";"X46";"X11";"X43";"X32";"X28";"X23";"X6";"X5";"X35";"X3";"X59";"X1";"X37";"X9";"X39";"X49";"X55";"X18";"X13";"X48";"X21";"X22";"X4";"X45";"X57";"X40";"X15";"X54";"X44";"X31";"X53";"X27";"X2";"X63";"X8";"X60";"X50";"X29";"X19";"X58";"X51";"X36";"X38";"X10";"X17";"X14";"X52";"X56";"X42";"X25";"X61";"X20";"X26";"X34";"X47";"X12";"X41";"X33";"X64";"X62";"generation"
24;16;30;7;46;11;43;32;28;23;6;5;35;3;59;1;37;9;39;49;55;18;13;48;21;22;4;45;57;40;15;54;44;31;53;27;2;63;8;60;50;29;19;58;51;36;38;10;17;14;52;56;42;25;61;20;26;34;47;12;41;33;64;62;1
33;17;30;47;46;12;1;32;25;23;3;31;58;37;35;64;60;29;9;49;55;18;13;48;21;22;4;45;57;40;15;54;43;5;53;27;2;63;8;11;50;7;19;16;51;36;38;10;28;14;52;56;6;24;61;20;26;34;39;41;42;62;44;59;1
27;49;45;40;30;5;9;28;31;3;16;42;38;29;21;34;6;55;12;20;50;46;47;18;8;2;63;14;43;58;26;52;15;23;24;32;57;48;7;33;44;35;4;13;61;25;22;41;10;59;11;17;19;53;62;37;36;56;51;64;1;60;39;54;1
31;40;41;10;27;9;53;45;1;59;16;42;38;29;21;34;6;55;12;20;50;46;47;18;8;51;63;14;43;58;26;52;15;23;24;32;49;48;7;33;44;35;4;13;61;25;22;62;39;57;2;36;54;17;60;56;11;19;28;30;5;3;64;37;1
28;34;39;33;20;23;17;36;46;6;47;29;4;19;7;21;41;61;42;52;15;56;30;43;9;11;14;16;55;54;22;3;24;59;35;18;44;53;2;50;45;1;37;26;27;64;57;13;25;60;31;10;51;38;58;12;5;62;32;48;40;49;63;8;1
33;49;28;17;63;36;58;20;2;3;47;29;4;23;6;39;41;38;9;52;15;51;46;59;42;32;26;54;10;16;22;43;24;21;35;18;44;53;19;50;45;56;37;14;27;64;57;13;25;60;31;55;61;7;30;12;5;62;11;40;1;48;34;8;1
28;41;64;37;20;21;14;55;46;6;47;29;12;2;38;59;34;31;53;63;50;1;58;3;42;18;26;27;10;16;45;52;15;23;24;32;57;48;7;33;44;35;4;13;61;25;22;62;39;49;51;36;54;17;60;56;11;19;5;9;40;30;43;8;1
31;5;41;10;27;30;53;45;1;59;16;42;57;29;21;34;6;55;12;20;50;46;47;18;8;2;63;14;43;58;26;52;15;23;24;32;38;48;7;33;44;35;4;13;61;25;22;19;39;3;51;36;54;17;60;56;28;62;11;9;40;49;64;37;1
51;40;41;10;54;9;48;26;1;59;58;42;38;29;23;34;6;36;15;20;33;46;47;32;8;2;63;17;52;16;22;43;24;21;35;18;44;53;19;50;45;56;37;14;27;64;57;13;25;60;31;55;61;7;30;12;5;62;11;49;28;3;39;4;1
40;41;64;37;20;23;7;55;46;6;47;29;15;2;38;59;34;31;48;63;33;1;58;3;42;32;26;27;10;16;57;43;24;21;12;18;44;53;14;50;45;35;4;13;61;25;22;62;39;49;51;36;54;17;60;56;11;19;28;30;5;9;52;8;1
31;3;41;10;27;9;53;45;5;59;16;42;38;29;21;34;6;55;12;20;50;46;47;18;8;2;63;14;43;58;26;52;15;23;24;32;57;40;7;33;44;35;4;13;61;25;22;62;39;49;51;36;54;17;60;56;11;19;28;30;1;48;64;37;1
27;49;45;25;30;5;9;44;31;59;16;42;38;29;21;34;6;55;12;20;50;46;47;18;8;2;63;14;43;58;26;52;15;23;24;32;57;48;7;22;28;51;19;39;60;40;33;41;10;3;11;17;4;53;62;37;36;56;35;64;1;61;13;54;1
24;16;30;7;46;41;43;32;28;23;6;5;58;37;35;64;18;8;48;26;29;38;59;45;20;53;63;9;10;50;2;47;1;57;3;15;27;33;55;31;12;21;4;13;61;25;22;62;39;49;51;36;54;17;60;56;11;19;40;14;42;52;44;34;1
31;40;11;10;27;9;53;45;1;59;16;5;38;29;21;34;6;55;12;54;50;46;47;60;8;56;17;30;43;58;26;3;15;23;24;32;57;48;7;33;64;35;4;13;61;25;22;62;28;49;51;36;19;63;18;2;41;20;39;14;42;52;44;37;1
45;41;21;4;20;19;25;5;30;7;47;24;15;31;61;3;52;56;49;63;27;42;58;43;9;11;14;16;55;8;37;44;32;26;22;6;59;18;13;12;28;51;29;39;60;40;33;50;10;57;2;17;38;53;62;23;36;46;35;64;1;48;34;54;1
4;39;28;52;20;23;17;36;46;6;47;29;15;2;38;59;34;51;48;63;33;1;58;3;42;32;26;54;10;16;22;43;24;21;35;18;44;53;19;50;45;56;37;14;27;64;57;13;25;60;31;55;61;7;30;12;5;62;11;9;40;49;41;8;1
28;5;11;9;13;23;17;27;46;6;47;29;15;12;38;59;34;51;48;7;33;1;58;3;42;32;60;54;10;16;55;43;24;21;35;30;44;53;61;64;45;37;56;4;36;50;49;31;40;26;62;22;19;63;18;2;41;20;39;14;25;57;52;8;1
1;42;15;63;46;39;47;32;28;23;6;41;58;36;3;51;26;8;48;20;29;38;59;2;54;33;17;4;10;16;22;43;24;21;35;18;44;53;19;50;45;56;37;14;27;64;57;13;25;60;31;55;61;7;30;12;5;62;11;9;40;49;52;34;1
31;40;41;10;27;9;53;45;1;59;16;42;38;29;21;34;6;55;12;20;50;46;47;18;8;2;63;14;43;58;26;52;15;23;24;32;57;48;7;33;44;35;19;39;60;49;22;28;25;3;11;17;4;5;62;37;36;56;51;64;30;61;13;54;1
1;40;4;10;27;8;58;20;31;3;47;24;6;19;7;21;41;61;42;52;15;56;30;43;9;11;14;16;18;53;26;45;50;23;12;32;57;48;34;33;44;35;38;13;55;25;22;62;39;49;51;36;54;17;60;46;2;29;28;63;5;59;64;37;1
1;49;45;25;63;5;58;20;31;3;47;24;4;19;7;21;41;61;42;52;15;56;30;43;9;11;14;16;55;8;37;44;32;26;22;50;57;48;34;33;6;35;38;13;18;10;12;62;39;40;51;36;54;17;60;46;2;29;28;27;53;59;64;23;1
27;57;45;25;63;1;58;20;31;48;47;24;4;46;7;21;41;61;42;52;15;23;34;43;9;53;14;16;55;8;37;44;32;26;33;6;59;18;13;12;35;2;29;10;50;40;22;62;39;49;51;36;54;17;60;56;11;19;28;30;5;3;64;38;1
36;32;3;46;29;60;50;58;17;8;42;31;23;30;59;1;37;9;39;49;55;18;16;48;21;22;19;45;57;40;15;54;43;5;53;27;2;63;7;33;44;35;4;13;61;25;38;10;28;14;52;56;6;24;51;20;26;34;47;12;41;11;64;62;1
31;40;5;62;27;9;53;45;1;59;13;42;22;29;21;4;54;55;30;25;44;46;39;18;8;2;63;49;43;58;3;60;15;23;17;32;57;48;35;11;50;7;19;16;51;36;38;10;28;14;52;56;6;24;61;20;26;34;47;12;41;33;64;37;1
31;40;41;10;27;58;53;45;1;59;63;42;38;29;21;34;6;18;12;20;50;56;30;43;9;11;14;16;55;8;37;44;32;26;24;15;57;48;7;33;52;35;4;13;61;25;22;62;39;49;51;36;54;17;60;46;2;19;28;47;5;3;64;23;1
27;49;45;40;16;5;8;20;31;3;47;12;29;19;39;21;41;60;42;28;6;56;30;55;9;11;63;14;43;58;26;52;15;23;24;32;57;48;7;33;44;35;4;13;61;25;22;62;10;59;2;17;38;53;50;37;36;46;51;64;1;18;34;54;1
31;40;58;10;27;9;53;45;49;11;15;42;38;14;22;57;6;48;28;20;50;46;47;52;39;43;23;62;2;41;35;18;51;1;21;26;34;55;8;64;7;36;56;37;13;3;24;29;44;63;16;12;33;54;19;4;59;60;32;30;5;25;17;61;1
59;32;63;48;24;40;9;5;43;61;45;15;53;20;27;58;14;52;50;10;44;30;31;33;38;42;23;29;2;41;35;18;16;1;21;26;34;55;8;64;7;12;4;37;13;3;22;62;39;49;51;36;54;17;60;56;11;19;28;46;25;47;6;57;1
27;49;45;25;52;5;30;20;31;44;47;11;4;19;7;14;41;61;9;63;33;1;58;3;42;32;26;54;10;16;22;43;24;21;35;18;59;6;13;12;28;51;29;39;60;40;15;50;55;57;2;17;38;53;62;23;36;46;37;64;56;48;34;8;1
