"X1";"X47704";"X11";"X7";"X9";"X6";"X10";"X2";"X3";"X1.1";"X8";"X5";"X4";"X12"
1;47704;11;7;9;6;10;2;3;1;8;5;4;12
11;7;9;3;10;2;6;1;8;5;4;12;1;48576
1;48576;11;7;9;3;10;2;6;1;8;5;4;12
11;7;10;3;9;2;6;1;8;5;4;12;1;45378
1;45378;11;7;10;3;9;2;6;1;8;5;4;12
11;7;10;3;9;2;5;1;8;6;4;12;1;42790
1;42790;11;7;10;3;9;2;5;1;8;6;4;12
11;6;10;3;9;2;5;1;8;7;4;12;1;25764
1;25764;11;6;10;3;9;2;5;1;8;7;4;12
5;6;10;3;9;2;11;1;8;7;4;12;1;40170
1;25764;11;6;10;3;9;2;5;1;8;7;4;12
11;5;10;3;9;2;6;1;8;7;4;12;1;34272
1;34272;11;5;10;3;9;2;6;1;8;7;4;12
11;5;10;6;9;2;3;1;8;7;4;12;1;32152
1;32152;11;5;10;6;9;2;3;1;8;7;4;12
11;5;10;6;9;3;2;1;8;7;4;12;1;17164
1;17164;11;5;10;6;9;3;2;1;8;7;4;12
11;5;10;6;9;3;7;1;8;2;4;12;1;20558
1;20558;11;5;10;6;9;3;7;1;8;2;4;12
5;11;10;6;9;3;7;1;8;2;4;12;1;33348
1;33348;5;11;10;6;9;3;7;1;8;2;4;12
5;11;10;6;9;3;12;1;8;2;4;7;1;36804
1;36804;5;11;10;6;9;3;12;1;8;2;4;7
5;11;1;6;9;3;12;10;8;2;4;7;1;39668
1;39668;5;11;1;6;9;3;12;10;8;2;4;7
5;2;1;6;9;3;12;10;8;11;4;7;1;65228
1;65228;5;2;1;6;9;3;12;10;8;11;4;7
5;2;1;6;9;3;12;10;11;8;4;7;1;57690
1;57690;5;2;1;6;9;3;12;10;11;8;4;7
5;2;1;6;9;3;4;10;11;8;12;7;1;51202
1;51202;5;2;1;6;9;3;4;10;11;8;12;7
1;2;5;6;9;3;4;10;11;8;12;7;1;45560
1;45560;1;2;5;6;9;3;4;10;11;8;12;7
5;2;1;6;9;3;4;10;11;8;12;7;1;51202
1;51202;5;2;1;6;9;3;4;10;11;8;12;7
5;2;1;6;4;3;9;10;11;8;12;7;1;55420
1;55420;5;2;1;6;4;3;9;10;11;8;12;7
2;5;1;6;4;3;9;10;11;8;12;7;1;38608
1;38608;2;5;1;6;4;3;9;10;11;8;12;7
2;5;1;10;4;3;9;6;11;8;12;7;1;47980
2;38608;2;5;1;6;4;3;9;10;11;8;12;7
10;5;1;6;4;3;9;2;11;8;12;7;2;39122
2;39122;10;5;1;6;4;3;9;2;11;8;12;7
10;5;7;6;4;3;9;2;11;8;12;1;2;32896
2;32896;10;5;7;6;4;3;9;2;11;8;12;1
10;5;7;8;4;3;9;2;11;6;12;1;2;29936
2;29936;10;5;7;8;4;3;9;2;11;6;12;1
10;5;7;8;12;3;9;2;11;6;4;1;2;36104
2;36104;10;5;7;8;12;3;9;2;11;6;4;1
10;5;7;8;12;3;9;2;11;6;1;4;2;30388
2;30388;10;5;7;8;12;3;9;2;11;6;1;4
10;5;9;8;12;3;7;2;11;6;1;4;2;31608
2;31608;10;5;9;8;12;3;7;2;11;6;1;4
10;5;9;7;12;3;8;2;11;6;1;4;2;32030
2;32030;10;5;9;7;12;3;8;2;11;6;1;4
10;5;9;7;12;3;2;8;11;6;1;4;2;31274
