"X1";"X5729949";"X23";"X9";"X26";"X2";"X8";"X14";"X4";"X18";"X12";"X6";"X16";"X21";"X5";"X24";"X19";"X15";"X1.1";"X13";"X22";"X25";"X10";"X7";"X11";"X17";"X3";"X20"
1;5729949;23;9;26;2;8;14;4;18;12;6;16;21;5;24;19;15;1;13;22;25;10;7;11;17;3;20
23;9;26;2;8;14;4;18;12;6;16;21;5;24;10;15;1;13;22;25;19;7;11;17;3;20;1;5777144
1;5777144;23;9;26;2;8;14;4;18;12;6;16;21;5;24;10;15;1;13;22;25;19;7;11;17;3;20
19;9;26;2;8;14;4;18;12;6;16;21;5;24;10;15;1;13;22;25;23;7;11;17;3;20;1;5746637
1;5746637;19;9;26;2;8;14;4;18;12;6;16;21;5;24;10;15;1;13;22;25;23;7;11;17;3;20
19;9;26;2;8;14;4;15;12;6;16;21;5;24;10;18;1;13;22;25;23;7;11;17;3;20;1;5753708
1;5753708;19;9;26;2;8;14;4;15;12;6;16;21;5;24;10;18;1;13;22;25;23;7;11;17;3;20
19;9;26;2;8;14;4;20;12;6;16;21;5;24;10;18;1;13;22;25;23;7;11;17;3;15;1;5748114
1;5748114;19;9;26;2;8;14;4;20;12;6;16;21;5;24;10;18;1;13;22;25;23;7;11;17;3;15
19;9;26;22;8;14;4;20;12;6;16;21;5;24;10;18;1;13;2;25;23;7;11;17;3;15;1;5736722
1;5736722;19;9;26;22;8;14;4;20;12;6;16;21;5;24;10;18;1;13;2;25;23;7;11;17;3;15
19;9;7;22;8;14;4;20;12;6;16;21;5;24;10;18;1;13;2;25;23;26;11;17;3;15;1;5740873
1;5740873;19;9;7;22;8;14;4;20;12;6;16;21;5;24;10;18;1;13;2;25;23;26;11;17;3;15
19;9;7;22;8;14;4;20;1;6;16;21;5;24;10;18;12;13;2;25;23;26;11;17;3;15;1;5746894
1;5746894;19;9;7;22;8;14;4;20;1;6;16;21;5;24;10;18;12;13;2;25;23;26;11;17;3;15
22;9;7;19;8;14;4;20;1;6;16;21;5;24;10;18;12;13;2;25;23;26;11;17;3;15;1;5741835
1;5741835;22;9;7;19;8;14;4;20;1;6;16;21;5;24;10;18;12;13;2;25;23;26;11;17;3;15
22;9;7;19;8;14;4;20;1;6;16;21;5;24;10;26;12;13;2;25;23;18;11;17;3;15;1;5852996
1;5852996;22;9;7;19;8;14;4;20;1;6;16;21;5;24;10;26;12;13;2;25;23;18;11;17;3;15
22;9;7;19;8;14;4;20;1;6;16;21;5;11;10;26;12;13;2;25;23;18;24;17;3;15;1;5840192
