"X1";"X5997475";"X9";"X3";"X20";"X14";"X17";"X2";"X11";"X1.1";"X8";"X22";"X21";"X7";"X18";"X6";"X26";"X19";"X10";"X23";"X15";"X5";"X16";"X25";"X24";"X13";"X12";"X4"
1;5997475;9;3;20;14;17;2;11;1;8;22;21;7;18;6;26;19;10;23;15;5;16;25;24;13;12;4
5;3;20;14;17;2;11;1;8;22;21;7;18;6;26;19;10;23;15;9;16;25;24;13;12;4;1;5962052
1;5962052;5;3;20;14;17;2;11;1;8;22;21;7;18;6;26;19;10;23;15;9;16;25;24;13;12;4
5;3;20;14;17;2;11;1;8;22;21;7;18;6;26;19;10;23;15;9;16;25;12;13;24;4;1;5984553
1;5984553;5;3;20;14;17;2;11;1;8;22;21;7;18;6;26;19;10;23;15;9;16;25;12;13;24;4
5;3;20;14;17;2;11;1;8;9;21;7;18;6;26;19;10;23;15;22;16;25;12;13;24;4;1;5781156
1;5781156;5;3;20;14;17;2;11;1;8;9;21;7;18;6;26;19;10;23;15;22;16;25;12;13;24;4
5;3;20;13;17;2;11;1;8;9;21;7;18;6;26;19;10;23;15;22;16;25;12;14;24;4;1;5818703
1;5818703;5;3;20;13;17;2;11;1;8;9;21;7;18;6;26;19;10;23;15;22;16;25;12;14;24;4
5;3;20;13;17;2;11;1;8;9;21;7;18;6;26;19;14;23;15;22;16;25;12;10;24;4;1;5704380
1;5704380;5;3;20;13;17;2;11;1;8;9;21;7;18;6;26;19;14;23;15;22;16;25;12;10;24;4
5;3;20;11;17;2;13;1;8;9;21;7;18;6;26;19;14;23;15;22;16;25;12;10;24;4;1;5717848
1;5717848;5;3;20;11;17;2;13;1;8;9;21;7;18;6;26;19;14;23;15;22;16;25;12;10;24;4
5;3;22;11;17;2;13;1;8;9;21;7;18;6;26;19;14;23;15;20;16;25;12;10;24;4;1;5767902
1;5767902;5;3;22;11;17;2;13;1;8;9;21;7;18;6;26;19;14;23;15;20;16;25;12;10;24;4
5;3;22;11;17;2;13;1;8;9;21;7;18;6;26;19;14;23;15;20;16;25;4;10;24;12;1;5767218
1;5767218;5;3;22;11;17;2;13;1;8;9;21;7;18;6;26;19;14;23;15;20;16;25;4;10;24;12
5;3;22;11;17;2;13;1;20;9;21;7;18;6;26;19;14;23;15;8;16;25;4;10;24;12;1;5811164
1;5811164;5;3;22;11;17;2;13;1;20;9;21;7;18;6;26;19;14;23;15;8;16;25;4;10;24;12
5;3;22;11;17;2;13;1;20;9;12;7;18;6;26;19;14;23;15;8;16;25;4;10;24;21;1;5843995
1;5843995;5;3;22;11;17;2;13;1;20;9;12;7;18;6;26;19;14;23;15;8;16;25;4;10;24;21
5;3;22;11;17;2;7;1;20;9;12;13;18;6;26;19;14;23;15;8;16;25;4;10;24;21;1;5832231
1;5832231;5;3;22;11;17;2;7;1;20;9;12;13;18;6;26;19;14;23;15;8;16;25;4;10;24;21
5;3;22;11;17;2;7;1;20;9;12;13;18;6;26;19;25;23;15;8;16;14;4;10;24;21;1;5921349
