"X1";"X5874763";"X13";"X19";"X8";"X21";"X25";"X3";"X24";"X23";"X5";"X2";"X20";"X11";"X16";"X4";"X1.1";"X18";"X7";"X9";"X22";"X6";"X15";"X10";"X14";"X17";"X26";"X12"
1;5874763;13;19;8;21;25;3;24;23;5;2;20;11;16;4;1;18;7;9;22;6;15;10;14;17;26;12
13;19;8;21;26;3;24;23;5;2;20;11;16;4;1;18;7;9;22;6;15;10;14;17;25;12;1;5881780
1;5881780;13;19;8;21;26;3;24;23;5;2;20;11;16;4;1;18;7;9;22;6;15;10;14;17;25;12
13;19;8;21;26;3;10;23;5;2;20;11;16;4;1;18;7;9;22;6;15;24;14;17;25;12;1;5880251
1;5880251;13;19;8;21;26;3;10;23;5;2;20;11;16;4;1;18;7;9;22;6;15;24;14;17;25;12
13;19;8;6;26;3;10;23;5;2;20;11;16;4;1;18;7;9;22;21;15;24;14;17;25;12;1;5878137
1;5878137;13;19;8;6;26;3;10;23;5;2;20;11;16;4;1;18;7;9;22;21;15;24;14;17;25;12
13;19;21;6;26;3;10;23;5;2;20;11;16;4;1;18;7;9;22;8;15;24;14;17;25;12;1;5866212
1;5866212;13;19;21;6;26;3;10;23;5;2;20;11;16;4;1;18;7;9;22;8;15;24;14;17;25;12
15;19;21;6;26;3;10;23;5;2;20;11;16;4;1;18;7;9;22;8;13;24;14;17;25;12;1;5859045
1;5859045;15;19;21;6;26;3;10;23;5;2;20;11;16;4;1;18;7;9;22;8;13;24;14;17;25;12
15;19;21;6;26;3;10;23;5;2;20;25;16;4;1;18;7;9;22;8;13;24;14;17;11;12;1;5873547
1;5873547;15;19;21;6;26;3;10;23;5;2;20;25;16;4;1;18;7;9;22;8;13;24;14;17;11;12
15;19;21;6;26;3;10;23;5;2;20;25;16;4;1;18;7;9;22;8;12;24;14;17;11;13;1;5877984
1;5877984;15;19;21;6;26;3;10;23;5;2;20;25;16;4;1;18;7;9;22;8;12;24;14;17;11;13
15;19;21;6;26;3;10;23;5;2;20;25;16;4;1;18;7;12;22;8;9;24;14;17;11;13;1;5935909
1;5935909;15;19;21;6;26;3;10;23;5;2;20;25;16;4;1;18;7;12;22;8;9;24;14;17;11;13
15;16;21;6;26;3;10;23;5;2;20;25;19;4;1;18;7;12;22;8;9;24;14;17;11;13;1;5882798
1;5882798;15;16;21;6;26;3;10;23;5;2;20;25;19;4;1;18;7;12;22;8;9;24;14;17;11;13
15;16;21;6;26;1;10;23;5;2;20;25;19;4;3;18;7;12;22;8;9;24;14;17;11;13;1;5968884
1;5968884;15;16;21;6;26;1;10;23;5;2;20;25;19;4;3;18;7;12;22;8;9;24;14;17;11;13
15;16;21;6;26;13;10;23;5;2;20;25;19;4;3;18;7;12;22;8;9;24;14;17;11;1;1;5965925
1;5965925;15;16;21;6;26;13;10;23;5;2;20;25;19;4;3;18;7;12;22;8;9;24;14;17;11;1
15;16;21;6;18;13;10;23;5;2;20;25;19;4;3;26;7;12;22;8;9;24;14;17;11;1;1;5911683
1;5911683;15;16;21;6;18;13;10;23;5;2;20;25;19;4;3;26;7;12;22;8;9;24;14;17;11;1
15;16;21;6;18;13;10;23;5;2;20;25;19;4;3;26;7;12;17;8;9;24;14;22;11;1;1;5916472
1;5916472;15;16;21;6;18;13;10;23;5;2;20;25;19;4;3;26;7;12;17;8;9;24;14;22;11;1
24;16;21;6;18;13;10;23;5;2;20;25;19;4;3;26;7;12;17;8;9;15;14;22;11;1;1;5928914
1;5928914;24;16;21;6;18;13;10;23;5;2;20;25;19;4;3;26;7;12;17;8;9;15;14;22;11;1
24;16;14;6;18;13;10;23;5;2;20;25;19;4;3;26;7;12;17;8;9;15;21;22;11;1;1;5915085
1;5915085;24;16;14;6;18;13;10;23;5;2;20;25;19;4;3;26;7;12;17;8;9;15;21;22;11;1
24;16;14;6;18;13;10;23;5;2;20;25;19;21;3;26;7;12;17;8;9;15;4;22;11;1;1;5925527
1;5925527;24;16;14;6;18;13;10;23;5;2;20;25;19;21;3;26;7;12;17;8;9;15;4;22;11;1
24;16;14;6;18;13;10;4;5;2;20;25;19;21;3;26;7;12;17;8;9;15;23;22;11;1;1;5903148
1;5903148;24;16;14;6;18;13;10;4;5;2;20;25;19;21;3;26;7;12;17;8;9;15;23;22;11;1
24;16;14;6;18;13;10;4;5;2;20;25;19;21;3;7;26;12;17;8;9;15;23;22;11;1;1;5908413
1;5908413;24;16;14;6;18;13;10;4;5;2;20;25;19;21;3;7;26;12;17;8;9;15;23;22;11;1
24;16;14;6;18;13;10;3;5;2;20;25;19;21;4;7;26;12;17;8;9;15;23;22;11;1;1;5829653
1;5829653;24;16;14;6;18;13;10;3;5;2;20;25;19;21;4;7;26;12;17;8;9;15;23;22;11;1
24;20;14;6;18;13;10;3;5;2;16;25;19;21;4;7;26;12;17;8;9;15;23;22;11;1;1;5906079
2;5906079;24;20;14;6;18;13;10;3;5;2;16;25;19;21;4;7;26;12;17;8;9;15;23;22;11;1
24;20;14;6;18;13;10;3;5;2;7;25;19;21;4;16;26;12;17;8;9;15;23;22;11;1;2;5871057
2;5871057;24;20;14;6;18;13;10;3;5;2;7;25;19;21;4;16;26;12;17;8;9;15;23;22;11;1
24;20;12;6;18;13;10;3;5;2;7;25;19;21;4;16;26;14;17;8;9;15;23;22;11;1;2;5797775
2;5797775;24;20;12;6;18;13;10;3;5;2;7;25;19;21;4;16;26;14;17;8;9;15;23;22;11;1
24;20;12;6;18;13;10;3;5;2;7;25;19;21;15;16;26;14;17;8;9;4;23;22;11;1;2;5778824
2;5778824;24;20;12;6;18;13;10;3;5;2;7;25;19;21;15;16;26;14;17;8;9;4;23;22;11;1
24;20;12;6;18;13;10;3;5;2;7;25;19;21;15;16;26;11;17;8;9;4;23;22;14;1;2;5884497
2;5884497;24;20;12;6;18;13;10;3;5;2;7;25;19;21;15;16;26;11;17;8;9;4;23;22;14;1
24;20;8;6;18;13;10;3;5;2;7;25;19;21;15;16;26;11;17;12;9;4;23;22;14;1;2;5888231
2;5888231;24;20;8;6;18;13;10;3;5;2;7;25;19;21;15;16;26;11;17;12;9;4;23;22;14;1
24;20;8;6;18;13;10;3;5;2;7;25;19;21;15;16;26;11;12;17;9;4;23;22;14;1;2;5867067
2;5867067;24;20;8;6;18;13;10;3;5;2;7;25;19;21;15;16;26;11;12;17;9;4;23;22;14;1
24;16;8;6;18;13;10;3;5;2;7;25;19;21;15;20;26;11;12;17;9;4;23;22;14;1;2;5843615
2;5843615;24;16;8;6;18;13;10;3;5;2;7;25;19;21;15;20;26;11;12;17;9;4;23;22;14;1
24;16;8;6;18;13;10;3;5;2;7;25;19;21;15;20;26;12;11;17;9;4;23;22;14;1;2;5827315
2;5827315;24;16;8;6;18;13;10;3;5;2;7;25;19;21;15;20;26;12;11;17;9;4;23;22;14;1
24;16;8;11;18;13;10;3;5;2;7;25;19;21;15;20;26;12;6;17;9;4;23;22;14;1;2;5827070
2;5827070;24;16;8;11;18;13;10;3;5;2;7;25;19;21;15;20;26;12;6;17;9;4;23;22;14;1
24;16;8;3;18;13;10;11;5;2;7;25;19;21;15;20;26;12;6;17;9;4;23;22;14;1;2;5898119
2;5898119;24;16;8;3;18;13;10;11;5;2;7;25;19;21;15;20;26;12;6;17;9;4;23;22;14;1
24;16;8;3;18;13;10;11;5;2;7;25;9;21;15;20;26;12;6;17;19;4;23;22;14;1;2;5899368
2;5899368;24;16;8;3;18;13;10;11;5;2;7;25;9;21;15;20;26;12;6;17;19;4;23;22;14;1
24;16;1;3;18;13;10;11;5;2;7;25;9;21;15;20;26;12;6;17;19;4;23;22;14;8;2;5850301
2;5850301;24;16;1;3;18;13;10;11;5;2;7;25;9;21;15;20;26;12;6;17;19;4;23;22;14;8
24;16;1;3;17;13;10;11;5;2;7;25;9;21;15;20;26;12;6;18;19;4;23;22;14;8;2;5868326
2;5868326;24;16;1;3;17;13;10;11;5;2;7;25;9;21;15;20;26;12;6;18;19;4;23;22;14;8
24;16;1;15;17;13;10;11;5;2;7;25;9;21;3;20;26;12;6;18;19;4;23;22;14;8;2;5883357
2;5883357;24;16;1;15;17;13;10;11;5;2;7;25;9;21;3;20;26;12;6;18;19;4;23;22;14;8
24;16;1;15;17;13;10;11;5;2;7;25;9;21;3;20;26;4;6;18;19;12;23;22;14;8;2;5924670
2;5924670;24;16;1;15;17;13;10;11;5;2;7;25;9;21;3;20;26;4;6;18;19;12;23;22;14;8
24;16;1;5;17;13;10;11;15;2;7;25;9;21;3;20;26;4;6;18;19;12;23;22;14;8;2;5914861
2;5914861;24;16;1;5;17;13;10;11;15;2;7;25;9;21;3;20;26;4;6;18;19;12;23;22;14;8
14;16;1;5;17;13;10;11;15;2;7;25;9;21;3;20;26;4;6;18;19;12;23;22;24;8;2;6063260
2;6063260;14;16;1;5;17;13;10;11;15;2;7;25;9;21;3;20;26;4;6;18;19;12;23;22;24;8
14;16;1;5;17;13;10;11;15;7;2;25;9;21;3;20;26;4;6;18;19;12;23;22;24;8;2;6031990
2;6031990;14;16;1;5;17;13;10;11;15;7;2;25;9;21;3;20;26;4;6;18;19;12;23;22;24;8
14;16;1;5;17;13;10;11;15;7;2;25;9;21;3;20;26;4;6;18;23;12;19;22;24;8;2;6047395
2;6047395;14;16;1;5;17;13;10;11;15;7;2;25;9;21;3;20;26;4;6;18;23;12;19;22;24;8
14;16;1;5;17;13;10;11;15;7;2;25;9;21;3;4;26;20;6;18;23;12;19;22;24;8;2;6029749
3;6029749;14;16;1;5;17;13;10;11;15;7;2;25;9;21;3;4;26;20;6;18;23;12;19;22;24;8
14;16;1;5;17;13;10;11;15;7;2;23;9;21;3;4;26;20;6;18;25;12;19;22;24;8;3;6025153
3;6025153;14;16;1;5;17;13;10;11;15;7;2;23;9;21;3;4;26;20;6;18;25;12;19;22;24;8
14;16;1;5;17;13;10;3;15;7;2;23;9;21;11;4;26;20;6;18;25;12;19;22;24;8;3;6067332
3;6067332;14;16;1;5;17;13;10;3;15;7;2;23;9;21;11;4;26;20;6;18;25;12;19;22;24;8
14;16;1;5;17;13;10;3;15;7;2;23;9;19;11;4;26;20;6;18;25;12;21;22;24;8;3;6022895
3;6022895;14;16;1;5;17;13;10;3;15;7;2;23;9;19;11;4;26;20;6;18;25;12;21;22;24;8
14;16;1;5;17;13;10;3;15;7;8;23;9;19;11;4;26;20;6;18;25;12;21;22;24;2;3;5974367
3;5974367;14;16;1;5;17;13;10;3;15;7;8;23;9;19;11;4;26;20;6;18;25;12;21;22;24;2
14;16;11;5;17;13;10;3;15;7;8;23;9;19;1;4;26;20;6;18;25;12;21;22;24;2;3;5963883
3;5963883;14;16;11;5;17;13;10;3;15;7;8;23;9;19;1;4;26;20;6;18;25;12;21;22;24;2
14;16;11;5;17;15;10;3;13;7;8;23;9;19;1;4;26;20;6;18;25;12;21;22;24;2;3;5968022
3;5968022;14;16;11;5;17;15;10;3;13;7;8;23;9;19;1;4;26;20;6;18;25;12;21;22;24;2
14;16;11;5;17;15;10;3;13;7;8;23;9;19;1;4;26;20;6;18;25;12;21;22;2;24;3;5968022
3;5968022;14;16;11;5;17;15;10;3;13;7;8;23;9;19;1;4;26;20;6;18;25;12;21;22;2;24
6;16;11;5;17;15;10;3;13;7;8;23;9;19;1;4;26;20;14;18;25;12;21;22;2;24;3;5866706
