"X1";"X51888";"X3";"X8";"X11";"X7";"X1.1";"X4";"X10";"X6";"X9";"X5";"X12";"X2"
1;51888;3;8;11;7;1;4;10;6;9;5;12;2
3;5;11;7;1;4;10;6;9;8;12;2;1;48520
1;48520;3;5;11;7;1;4;10;6;9;8;12;2
3;5;11;7;1;4;10;6;9;8;2;12;1;48784
1;48784;3;5;11;7;1;4;10;6;9;8;2;12
3;5;11;7;12;4;10;6;9;8;2;1;1;46154
1;46154;3;5;11;7;12;4;10;6;9;8;2;1
2;5;11;7;12;4;10;6;9;8;3;1;1;59416
1;59416;2;5;11;7;12;4;10;6;9;8;3;1
2;5;11;7;12;9;10;6;4;8;3;1;1;53640
1;53640;2;5;11;7;12;9;10;6;4;8;3;1
2;5;11;7;12;9;10;6;4;8;1;3;1;56298
1;56298;2;5;11;7;12;9;10;6;4;8;1;3
2;5;11;7;12;9;10;6;1;8;4;3;1;56382
1;56382;2;5;11;7;12;9;10;6;1;8;4;3
9;5;11;7;12;2;10;6;1;8;4;3;1;55412
1;55412;9;5;11;7;12;2;10;6;1;8;4;3
2;5;11;7;12;9;10;6;1;8;4;3;1;56382
1;56382;2;5;11;7;12;9;10;6;1;8;4;3
2;5;11;7;12;9;10;3;1;8;4;6;1;59408
1;59408;2;5;11;7;12;9;10;3;1;8;4;6
2;6;11;7;12;9;10;3;1;8;4;5;1;45036
1;45036;2;6;11;7;12;9;10;3;1;8;4;5
2;6;11;7;10;9;12;3;1;8;4;5;1;43020
1;43020;2;6;11;7;10;9;12;3;1;8;4;5
2;6;12;7;10;9;11;3;1;8;4;5;1;42448
1;42448;2;6;12;7;10;9;11;3;1;8;4;5
2;6;12;7;10;9;11;4;1;8;3;5;1;39784
1;39784;2;6;12;7;10;9;11;4;1;8;3;5
10;6;12;7;2;9;11;4;1;8;3;5;1;39190
1;39190;10;6;12;7;2;9;11;4;1;8;3;5
10;6;12;7;2;5;11;4;1;8;3;9;1;44836
1;44836;10;6;12;7;2;5;11;4;1;8;3;9
10;6;12;8;2;5;11;4;1;7;3;9;1;45368
1;45368;10;6;12;8;2;5;11;4;1;7;3;9
10;6;12;3;2;5;11;4;1;7;8;9;1;46462
1;46462;10;6;12;3;2;5;11;4;1;7;8;9
10;6;12;8;2;5;11;4;1;7;3;9;1;45368
1;45368;10;6;12;8;2;5;11;4;1;7;3;9
10;6;12;8;2;5;1;4;11;7;3;9;1;49264
2;49264;10;6;12;8;2;5;1;4;11;7;3;9
7;6;12;8;2;5;1;4;11;10;3;9;2;60436
2;60436;7;6;12;8;2;5;1;4;11;10;3;9
7;6;5;8;2;12;1;4;11;10;3;9;2;52926
2;52926;7;6;5;8;2;12;1;4;11;10;3;9
3;6;5;8;2;12;1;4;11;10;7;9;2;56238
2;56238;3;6;5;8;2;12;1;4;11;10;7;9
2;6;5;8;3;12;1;4;11;10;7;9;2;51370
2;51370;2;6;5;8;3;12;1;4;11;10;7;9
2;6;5;8;3;12;1;11;4;10;7;9;2;52332
2;52332;2;6;5;8;3;12;1;11;4;10;7;9
2;6;5;3;8;12;1;11;4;10;7;9;2;52532
2;52532;2;6;5;3;8;12;1;11;4;10;7;9
2;6;5;3;8;12;1;11;7;10;4;9;2;52436
2;52436;2;6;5;3;8;12;1;11;7;10;4;9
2;6;5;3;9;12;1;11;7;10;4;8;2;44890
2;44890;2;6;5;3;9;12;1;11;7;10;4;8
2;7;5;3;9;12;1;11;6;10;4;8;2;38400
2;38400;2;7;5;3;9;12;1;11;6;10;4;8
11;7;5;3;9;12;1;2;6;10;4;8;2;38578
2;38578;11;7;5;3;9;12;1;2;6;10;4;8
11;2;5;3;9;12;1;7;6;10;4;8;2;33486
2;33486;11;2;5;3;9;12;1;7;6;10;4;8
11;2;5;3;9;12;1;7;10;6;4;8;2;55180
2;55180;11;2;5;3;9;12;1;7;10;6;4;8
11;2;5;9;3;12;1;7;10;6;4;8;2;55780
2;55780;11;2;5;9;3;12;1;7;10;6;4;8
11;2;4;9;3;12;1;7;10;6;5;8;2;54780
2;54780;11;2;4;9;3;12;1;7;10;6;5;8
11;8;4;9;3;12;1;7;10;6;5;2;2;51226
2;51226;11;8;4;9;3;12;1;7;10;6;5;2
11;9;4;8;3;12;1;7;10;6;5;2;2;46170
2;46170;11;9;4;8;3;12;1;7;10;6;5;2
11;3;4;8;9;12;1;7;10;6;5;2;2;52860
2;46170;11;9;4;8;3;12;1;7;10;6;5;2
9;11;4;8;3;12;1;7;10;6;5;2;2;45534
2;45534;9;11;4;8;3;12;1;7;10;6;5;2
9;5;4;8;3;12;1;7;10;6;11;2;2;65534
2;65534;9;5;4;8;3;12;1;7;10;6;11;2
9;12;4;8;3;5;1;7;10;6;11;2;2;57654
3;57654;9;12;4;8;3;5;1;7;10;6;11;2
9;12;4;8;3;5;11;7;10;6;1;2;3;56764
3;56764;9;12;4;8;3;5;11;7;10;6;1;2
9;3;4;8;12;5;11;7;10;6;1;2;3;48532
3;48532;9;3;4;8;12;5;11;7;10;6;1;2
9;3;12;8;4;5;11;7;10;6;1;2;3;45908
3;45908;9;3;12;8;4;5;11;7;10;6;1;2
9;3;12;8;4;5;11;7;1;6;10;2;3;45994
3;45994;9;3;12;8;4;5;11;7;1;6;10;2
9;3;12;8;4;5;11;10;1;6;7;2;3;39034
3;39034;9;3;12;8;4;5;11;10;1;6;7;2
9;3;12;11;4;5;8;10;1;6;7;2;3;42028
3;42028;9;3;12;11;4;5;8;10;1;6;7;2
9;3;12;11;4;5;8;1;10;6;7;2;3;45802
3;45802;9;3;12;11;4;5;8;1;10;6;7;2
9;11;12;3;4;5;8;1;10;6;7;2;3;40902
3;40902;9;11;12;3;4;5;8;1;10;6;7;2
9;11;12;3;4;5;8;10;1;6;7;2;3;37128
3;37128;9;11;12;3;4;5;8;10;1;6;7;2
8;11;12;3;4;5;9;10;1;6;7;2;3;31424
3;31424;8;11;12;3;4;5;9;10;1;6;7;2
8;11;6;3;4;5;9;10;1;12;7;2;3;34676
3;34676;8;11;6;3;4;5;9;10;1;12;7;2
8;11;6;3;4;12;9;10;1;5;7;2;3;27592
3;27592;8;11;6;3;4;12;9;10;1;5;7;2
8;11;10;3;4;12;9;6;1;5;7;2;3;37300
3;37300;8;11;10;3;4;12;9;6;1;5;7;2
8;11;10;3;1;12;9;6;4;5;7;2;3;38910
3;38910;8;11;10;3;1;12;9;6;4;5;7;2
8;11;1;3;10;12;9;6;4;5;7;2;3;38814
3;38814;8;11;1;3;10;12;9;6;4;5;7;2
8;11;1;4;10;12;9;6;3;5;7;2;3;38270
3;38270;8;11;1;4;10;12;9;6;3;5;7;2
8;11;5;4;10;12;9;6;3;1;7;2;3;35298
3;35298;8;11;5;4;10;12;9;6;3;1;7;2
8;11;5;4;10;12;9;7;3;1;6;2;3;23576
3;23576;8;11;5;4;10;12;9;7;3;1;6;2
8;11;5;4;10;12;9;7;3;2;6;1;3;27608
3;27608;8;11;5;4;10;12;9;7;3;2;6;1
2;11;5;4;10;12;9;7;3;8;6;1;3;52898
4;52898;2;11;5;4;10;12;9;7;3;8;6;1
2;11;5;4;10;8;9;7;3;12;6;1;4;48058
4;48058;2;11;5;4;10;8;9;7;3;12;6;1
2;11;5;4;10;8;9;3;7;12;6;1;4;53186
4;53186;2;11;5;4;10;8;9;3;7;12;6;1
2;11;5;4;10;8;9;6;7;12;3;1;4;47142
4;47142;2;11;5;4;10;8;9;6;7;12;3;1
2;11;5;4;10;8;9;7;6;12;3;1;4;48036
4;48036;2;11;5;4;10;8;9;7;6;12;3;1
12;11;5;4;10;8;9;7;6;2;3;1;4;36978
4;36978;12;11;5;4;10;8;9;7;6;2;3;1
12;2;5;4;10;8;9;7;6;11;3;1;4;57038
4;36978;12;11;5;4;10;8;9;7;6;2;3;1
12;10;5;4;11;8;9;7;6;2;3;1;4;42842
4;42842;12;10;5;4;11;8;9;7;6;2;3;1
11;10;5;4;12;8;9;7;6;2;3;1;4;37760
4;37760;11;10;5;4;12;8;9;7;6;2;3;1
11;10;5;4;12;8;1;7;6;2;3;9;4;36802
4;36802;11;10;5;4;12;8;1;7;6;2;3;9
11;7;5;4;12;8;1;10;6;2;3;9;4;49818
4;49818;11;7;5;4;12;8;1;10;6;2;3;9
11;7;10;4;12;8;1;5;6;2;3;9;4;57766
4;57766;11;7;10;4;12;8;1;5;6;2;3;9
7;11;10;4;12;8;1;5;6;2;3;9;4;45240
4;45240;7;11;10;4;12;8;1;5;6;2;3;9
7;11;2;4;12;8;1;5;6;10;3;9;4;36914
4;36914;7;11;2;4;12;8;1;5;6;10;3;9
7;11;4;2;12;8;1;5;6;10;3;9;4;36074
4;36074;7;11;4;2;12;8;1;5;6;10;3;9
7;11;4;8;12;2;1;5;6;10;3;9;4;49782
4;49782;7;11;4;8;12;2;1;5;6;10;3;9
7;11;4;8;10;2;1;5;6;12;3;9;4;56772
4;56772;7;11;4;8;10;2;1;5;6;12;3;9
7;11;1;8;10;2;4;5;6;12;3;9;4;54944
4;54944;7;11;1;8;10;2;4;5;6;12;3;9
7;11;1;8;10;2;12;5;6;4;3;9;4;62092
4;62092;7;11;1;8;10;2;12;5;6;4;3;9
9;11;1;8;10;2;12;5;6;4;3;7;4;63862
4;63862;9;11;1;8;10;2;12;5;6;4;3;7
8;11;1;9;10;2;12;5;6;4;3;7;4;54170
5;54170;8;11;1;9;10;2;12;5;6;4;3;7
8;11;3;9;10;2;12;5;6;4;1;7;5;50128
5;50128;8;11;3;9;10;2;12;5;6;4;1;7
8;11;1;9;10;2;12;5;6;4;3;7;5;54170
5;54170;8;11;1;9;10;2;12;5;6;4;3;7
5;11;1;9;10;2;12;8;6;4;3;7;5;43710
5;43710;5;11;1;9;10;2;12;8;6;4;3;7
5;11;1;9;10;2;12;8;6;4;7;3;5;41802
5;41802;5;11;1;9;10;2;12;8;6;4;7;3
5;11;1;9;10;12;2;8;6;4;7;3;5;27950
5;27950;5;11;1;9;10;12;2;8;6;4;7;3
5;11;1;2;10;12;9;8;6;4;7;3;5;30830
5;30830;5;11;1;2;10;12;9;8;6;4;7;3
5;2;1;11;10;12;9;8;6;4;7;3;5;45388
5;30830;5;11;1;2;10;12;9;8;6;4;7;3
5;11;1;2;8;12;9;10;6;4;7;3;5;32940
5;32940;5;11;1;2;8;12;9;10;6;4;7;3
2;11;1;5;8;12;9;10;6;4;7;3;5;50014
5;32940;5;11;1;2;8;12;9;10;6;4;7;3
8;11;1;2;5;12;9;10;6;4;7;3;5;33688
5;33688;8;11;1;2;5;12;9;10;6;4;7;3
