"X1";"X38854";"X12";"X7";"X9";"X6";"X11";"X2";"X8";"X4";"X10";"X5";"X1.1";"X3"
1;38854;12;7;9;6;11;2;8;4;10;5;1;3
12;7;9;11;6;2;8;4;10;5;1;3;1;39494
1;39494;12;7;9;11;6;2;8;4;10;5;1;3
11;7;9;12;6;2;8;4;10;5;1;3;1;40110
1;40110;11;7;9;12;6;2;8;4;10;5;1;3
11;9;7;12;6;2;8;4;10;5;1;3;1;40586
1;40586;11;9;7;12;6;2;8;4;10;5;1;3
4;9;7;12;6;2;8;11;10;5;1;3;1;27564
1;27564;4;9;7;12;6;2;8;11;10;5;1;3
4;9;12;7;6;2;8;11;10;5;1;3;1;25178
1;25178;4;9;12;7;6;2;8;11;10;5;1;3
4;9;12;7;6;8;2;11;10;5;1;3;1;24410
1;24410;4;9;12;7;6;8;2;11;10;5;1;3
4;11;12;7;6;8;2;9;10;5;1;3;1;38998
1;38998;4;11;12;7;6;8;2;9;10;5;1;3
4;11;12;7;9;8;2;6;10;5;1;3;1;38876
1;38876;4;11;12;7;9;8;2;6;10;5;1;3
4;11;7;12;9;8;2;6;10;5;1;3;1;41562
1;41562;4;11;7;12;9;8;2;6;10;5;1;3
4;11;7;6;9;8;2;12;10;5;1;3;1;38620
1;38620;4;11;7;6;9;8;2;12;10;5;1;3
4;8;7;6;9;11;2;12;10;5;1;3;1;33696
1;33696;4;8;7;6;9;11;2;12;10;5;1;3
4;8;7;6;9;11;2;12;10;3;1;5;1;31200
1;31200;4;8;7;6;9;11;2;12;10;3;1;5
4;8;7;6;2;11;9;12;10;3;1;5;1;31288
1;31288;4;8;7;6;2;11;9;12;10;3;1;5
4;8;7;6;2;11;9;12;10;1;3;5;1;43610
1;31288;4;8;7;6;2;11;9;12;10;3;1;5
4;8;7;6;5;11;9;12;10;3;1;2;1;40938
1;40938;4;8;7;6;5;11;9;12;10;3;1;2
4;8;7;11;5;6;9;12;10;3;1;2;1;50522
1;50522;4;8;7;11;5;6;9;12;10;3;1;2
4;8;7;11;5;6;9;12;1;3;10;2;1;50558
1;50558;4;8;7;11;5;6;9;12;1;3;10;2
4;8;1;11;5;6;9;12;7;3;10;2;1;54002
1;50558;4;8;7;11;5;6;9;12;1;3;10;2
10;8;7;11;5;6;9;12;1;3;4;2;1;38810
1;38810;10;8;7;11;5;6;9;12;1;3;4;2
10;8;7;11;1;6;9;12;5;3;4;2;1;42766
2;42766;10;8;7;11;1;6;9;12;5;3;4;2
2;8;7;11;1;6;9;12;5;3;4;10;2;56186
2;56186;2;8;7;11;1;6;9;12;5;3;4;10
2;8;11;7;1;6;9;12;5;3;4;10;2;54512
2;54512;2;8;11;7;1;6;9;12;5;3;4;10
2;8;11;7;1;6;9;3;5;12;4;10;2;57514
2;57514;2;8;11;7;1;6;9;3;5;12;4;10
4;8;11;7;1;6;9;3;5;12;2;10;2;50156
2;50156;4;8;11;7;1;6;9;3;5;12;2;10
4;8;11;7;1;3;9;6;5;12;2;10;2;44688
2;44688;4;8;11;7;1;3;9;6;5;12;2;10
4;8;11;7;1;3;9;6;10;12;2;5;2;41382
2;41382;4;8;11;7;1;3;9;6;10;12;2;5
1;8;11;7;4;3;9;6;10;12;2;5;2;38160
2;38160;1;8;11;7;4;3;9;6;10;12;2;5
1;8;11;4;7;3;9;6;10;12;2;5;2;37480
2;37480;1;8;11;4;7;3;9;6;10;12;2;5
1;8;11;4;7;3;9;6;12;10;2;5;2;36420
2;36420;1;8;11;4;7;3;9;6;12;10;2;5
1;8;11;4;7;3;9;6;10;12;2;5;2;37480
2;37480;1;8;11;4;7;3;9;6;10;12;2;5
4;8;11;1;7;3;9;6;10;12;2;5;2;42182
2;42182;4;8;11;1;7;3;9;6;10;12;2;5
4;5;11;1;7;3;9;6;10;12;2;8;2;42162
2;42162;4;5;11;1;7;3;9;6;10;12;2;8
4;5;11;6;7;3;9;1;10;12;2;8;2;54702
2;54702;4;5;11;6;7;3;9;1;10;12;2;8
4;5;11;6;7;3;9;1;10;12;8;2;2;49590
2;49590;4;5;11;6;7;3;9;1;10;12;8;2
4;5;10;6;7;3;9;1;11;12;8;2;2;49722
2;49722;4;5;10;6;7;3;9;1;11;12;8;2
4;5;6;10;7;3;9;1;11;12;8;2;2;51066
2;51066;4;5;6;10;7;3;9;1;11;12;8;2
4;5;6;10;1;3;9;7;11;12;8;2;2;38978
2;38978;4;5;6;10;1;3;9;7;11;12;8;2
4;5;8;10;1;3;9;7;11;12;6;2;2;38564
2;38564;4;5;8;10;1;3;9;7;11;12;6;2
4;5;8;10;1;7;9;3;11;12;6;2;2;42136
2;42136;4;5;8;10;1;7;9;3;11;12;6;2
7;5;8;10;1;4;9;3;11;12;6;2;2;39504
3;39504;7;5;8;10;1;4;9;3;11;12;6;2
7;5;8;10;1;4;9;2;11;12;6;3;3;36702
3;36702;7;5;8;10;1;4;9;2;11;12;6;3
7;5;2;10;1;4;9;8;11;12;6;3;3;43622
3;43622;7;5;2;10;1;4;9;8;11;12;6;3
7;5;2;6;1;4;9;8;11;12;10;3;3;51592
3;51592;7;5;2;6;1;4;9;8;11;12;10;3
12;5;2;6;1;4;9;8;11;7;10;3;3;69242
3;69242;12;5;2;6;1;4;9;8;11;7;10;3
12;5;2;6;1;4;9;8;11;7;3;10;3;64836
3;64836;12;5;2;6;1;4;9;8;11;7;3;10
12;5;2;6;1;4;8;9;11;7;3;10;3;56480
3;56480;12;5;2;6;1;4;8;9;11;7;3;10
12;5;2;6;1;8;4;9;11;7;3;10;3;42874
3;42874;12;5;2;6;1;8;4;9;11;7;3;10
12;5;2;6;1;8;4;9;11;3;7;10;3;53218
3;42874;12;5;2;6;1;8;4;9;11;7;3;10
1;5;2;6;12;8;4;9;11;7;3;10;3;41562
3;41562;1;5;2;6;12;8;4;9;11;7;3;10
1;12;2;6;5;8;4;9;11;7;3;10;3;53922
3;53922;1;12;2;6;5;8;4;9;11;7;3;10
1;2;12;6;5;8;4;9;11;7;3;10;3;46666
3;46666;1;2;12;6;5;8;4;9;11;7;3;10
1;2;12;6;5;8;7;9;11;4;3;10;3;47292
3;47292;1;2;12;6;5;8;7;9;11;4;3;10
1;2;12;6;5;10;7;9;11;4;3;8;3;40826
3;40826;1;2;12;6;5;10;7;9;11;4;3;8
3;2;12;6;5;10;7;9;11;4;1;8;3;43318
3;43318;3;2;12;6;5;10;7;9;11;4;1;8
5;2;12;6;3;10;7;9;11;4;1;8;3;45120
3;45120;5;2;12;6;3;10;7;9;11;4;1;8
5;2;7;6;3;10;12;9;11;4;1;8;3;43764
3;43764;5;2;7;6;3;10;12;9;11;4;1;8
5;2;7;6;9;10;12;3;11;4;1;8;3;47104
3;47104;5;2;7;6;9;10;12;3;11;4;1;8
5;2;4;6;9;10;12;3;11;7;1;8;3;60462
3;60462;5;2;4;6;9;10;12;3;11;7;1;8
5;2;4;6;9;10;12;3;11;1;7;8;3;56648
3;56648;5;2;4;6;9;10;12;3;11;1;7;8
5;2;1;6;9;10;12;3;11;4;7;8;3;51652
4;51652;5;2;1;6;9;10;12;3;11;4;7;8
5;12;1;6;9;10;2;3;11;4;7;8;4;53456
4;53456;5;12;1;6;9;10;2;3;11;4;7;8
11;12;1;6;9;10;2;3;5;4;7;8;4;33564
4;33564;11;12;1;6;9;10;2;3;5;4;7;8
11;1;12;6;9;10;2;3;5;4;7;8;4;26188
4;26188;11;1;12;6;9;10;2;3;5;4;7;8
11;12;1;6;9;10;2;3;5;4;7;8;4;33564
4;33564;11;12;1;6;9;10;2;3;5;4;7;8
11;12;7;6;9;10;2;3;5;4;1;8;4;36712
4;33564;11;12;1;6;9;10;2;3;5;4;7;8
11;12;1;6;2;10;9;3;5;4;7;8;4;39240
4;39240;11;12;1;6;2;10;9;3;5;4;7;8
11;12;1;6;2;10;9;3;5;7;4;8;4;54630
4;54630;11;12;1;6;2;10;9;3;5;7;4;8
