"X1";"X46118";"X4";"X9";"X3";"X11";"X10";"X8";"X2";"X5";"X12";"X6";"X7";"X1.1"
1;46118;4;9;3;11;10;8;2;5;12;6;7;1
4;9;3;11;10;8;2;6;12;5;7;1;1;47940
1;46118;4;9;3;11;10;8;2;5;12;6;7;1
4;9;5;11;10;8;2;3;12;6;7;1;1;54778
1;54778;4;9;5;11;10;8;2;3;12;6;7;1
4;9;5;11;10;3;2;8;12;6;7;1;1;51688
1;51688;4;9;5;11;10;3;2;8;12;6;7;1
4;9;1;11;10;3;2;8;12;6;7;5;1;47108
1;47108;4;9;1;11;10;3;2;8;12;6;7;5
4;9;1;6;10;3;2;8;12;11;7;5;1;32486
1;32486;4;9;1;6;10;3;2;8;12;11;7;5
4;9;7;6;10;3;2;8;12;11;1;5;1;37506
1;32486;4;9;1;6;10;3;2;8;12;11;7;5
4;9;1;6;11;3;2;8;12;10;7;5;1;34444
1;34444;4;9;1;6;11;3;2;8;12;10;7;5
4;9;1;6;11;2;3;8;12;10;7;5;1;29342
1;29342;4;9;1;6;11;2;3;8;12;10;7;5
4;2;1;6;11;9;3;8;12;10;7;5;1;28976
1;28976;4;2;1;6;11;9;3;8;12;10;7;5
4;2;1;6;11;9;3;10;12;8;7;5;1;29394
1;29394;4;2;1;6;11;9;3;10;12;8;7;5
4;2;1;6;11;9;5;10;12;8;7;3;1;32392
1;32392;4;2;1;6;11;9;5;10;12;8;7;3
4;2;6;1;11;9;5;10;12;8;7;3;1;34200
1;34200;4;2;6;1;11;9;5;10;12;8;7;3
4;2;6;3;11;9;5;10;12;8;7;1;1;31602
1;31602;4;2;6;3;11;9;5;10;12;8;7;1
4;2;6;9;11;3;5;10;12;8;7;1;1;39086
1;39086;4;2;6;9;11;3;5;10;12;8;7;1
4;2;11;9;6;3;5;10;12;8;7;1;1;32834
1;32834;4;2;11;9;6;3;5;10;12;8;7;1
4;2;11;9;6;8;5;10;12;3;7;1;1;44636
1;44636;4;2;11;9;6;8;5;10;12;3;7;1
4;2;11;9;6;8;5;10;7;3;12;1;1;44642
1;44642;4;2;11;9;6;8;5;10;7;3;12;1
5;2;11;9;6;8;4;10;7;3;12;1;1;62824
1;62824;5;2;11;9;6;8;4;10;7;3;12;1
5;2;11;9;6;10;4;8;7;3;12;1;1;55896
1;55896;5;2;11;9;6;10;4;8;7;3;12;1
5;2;3;9;6;10;4;8;7;11;12;1;1;44800
2;44800;5;2;3;9;6;10;4;8;7;11;12;1
5;2;3;9;12;10;4;8;7;11;6;1;2;49254
2;49254;5;2;3;9;12;10;4;8;7;11;6;1
5;2;3;4;12;10;9;8;7;11;6;1;2;52532
2;52532;5;2;3;4;12;10;9;8;7;11;6;1
5;2;6;4;12;10;9;8;7;11;3;1;2;49444
2;49444;5;2;6;4;12;10;9;8;7;11;3;1
5;2;6;4;7;10;9;8;12;11;3;1;2;43778
2;43778;5;2;6;4;7;10;9;8;12;11;3;1
5;2;6;4;7;10;9;12;8;11;3;1;2;43708
2;43708;5;2;6;4;7;10;9;12;8;11;3;1
1;2;6;4;7;10;9;12;8;11;3;5;2;28376
2;28376;1;2;6;4;7;10;9;12;8;11;3;5
1;2;6;4;7;10;5;12;8;11;3;9;2;32244
2;32244;1;2;6;4;7;10;5;12;8;11;3;9
1;2;10;4;7;6;5;12;8;11;3;9;2;32862
2;32862;1;2;10;4;7;6;5;12;8;11;3;9
1;2;10;4;7;6;12;5;8;11;3;9;2;31766
