"X1";"X44704";"X9";"X11";"X1.1";"X7";"X6";"X8";"X4";"X5";"X2";"X12";"X3";"X10"
1;44704;9;11;1;7;6;8;4;5;2;12;3;10
9;11;1;6;7;8;4;5;2;12;3;10;1;44584
1;44584;9;11;1;6;7;8;4;5;2;12;3;10
4;11;1;6;7;8;9;5;2;12;3;10;1;51250
1;44584;9;11;1;6;7;8;4;5;2;12;3;10
9;11;1;12;7;8;4;5;2;6;3;10;1;39682
1;39682;9;11;1;12;7;8;4;5;2;6;3;10
9;11;1;12;8;7;4;5;2;6;3;10;1;47576
1;47576;9;11;1;12;8;7;4;5;2;6;3;10
5;11;1;12;8;7;4;9;2;6;3;10;1;37392
1;37392;5;11;1;12;8;7;4;9;2;6;3;10
5;10;1;12;8;7;4;9;2;6;3;11;1;27456
1;27456;5;10;1;12;8;7;4;9;2;6;3;11
5;10;1;12;8;7;9;4;2;6;3;11;1;23524
1;23524;5;10;1;12;8;7;9;4;2;6;3;11
6;10;1;12;8;7;9;4;2;5;3;11;1;46850
1;46850;6;10;1;12;8;7;9;4;2;5;3;11
6;10;1;12;8;3;9;4;2;5;7;11;1;53242
1;46850;6;10;1;12;8;7;9;4;2;5;3;11
10;6;1;12;8;7;9;4;2;5;3;11;1;59404
1;59404;10;6;1;12;8;7;9;4;2;5;3;11
10;6;1;12;8;5;9;4;2;7;3;11;1;48642
1;48642;10;6;1;12;8;5;9;4;2;7;3;11
10;6;8;12;1;5;9;4;2;7;3;11;1;47600
1;47600;10;6;8;12;1;5;9;4;2;7;3;11
10;6;8;12;4;5;9;1;2;7;3;11;1;42970
1;42970;10;6;8;12;4;5;9;1;2;7;3;11
10;1;8;12;4;5;9;6;2;7;3;11;1;52806
1;52806;10;1;8;12;4;5;9;6;2;7;3;11
10;1;8;12;4;6;9;5;2;7;3;11;1;36726
1;36726;10;1;8;12;4;6;9;5;2;7;3;11
10;1;6;12;4;8;9;5;2;7;3;11;1;31726
1;31726;10;1;6;12;4;8;9;5;2;7;3;11
10;1;6;12;9;8;4;5;2;7;3;11;1;31750
1;31750;10;1;6;12;9;8;4;5;2;7;3;11
10;1;3;12;9;8;4;5;2;7;6;11;1;29760
1;29760;10;1;3;12;9;8;4;5;2;7;6;11
10;1;3;12;11;8;4;5;2;7;6;9;1;28722
1;28722;10;1;3;12;11;8;4;5;2;7;6;9
10;6;3;12;11;8;4;5;2;7;1;9;1;37802
2;37802;10;6;3;12;11;8;4;5;2;7;1;9
10;6;3;12;4;8;11;5;2;7;1;9;2;37626
2;37626;10;6;3;12;4;8;11;5;2;7;1;9
6;10;3;12;4;8;11;5;2;7;1;9;2;25290
2;25290;6;10;3;12;4;8;11;5;2;7;1;9
6;4;3;12;10;8;11;5;2;7;1;9;2;26270
2;26270;6;4;3;12;10;8;11;5;2;7;1;9
6;4;10;12;3;8;11;5;2;7;1;9;2;30132
2;30132;6;4;10;12;3;8;11;5;2;7;1;9
6;9;10;12;3;8;11;5;2;7;1;4;2;36330
2;36330;6;9;10;12;3;8;11;5;2;7;1;4
6;9;10;12;3;8;11;5;2;7;4;1;2;33534
2;33534;6;9;10;12;3;8;11;5;2;7;4;1
6;7;10;12;3;8;11;5;2;9;4;1;2;69650
2;33534;6;9;10;12;3;8;11;5;2;7;4;1
6;9;4;12;3;8;11;5;2;7;10;1;2;35576
2;35576;6;9;4;12;3;8;11;5;2;7;10;1
5;9;4;12;3;8;11;6;2;7;10;1;2;53366
2;53366;5;9;4;12;3;8;11;6;2;7;10;1
8;9;4;12;3;5;11;6;2;7;10;1;2;57202
2;57202;8;9;4;12;3;5;11;6;2;7;10;1
8;9;4;12;3;5;11;6;10;7;2;1;2;57054
2;57054;8;9;4;12;3;5;11;6;10;7;2;1
8;9;4;3;12;5;11;6;10;7;2;1;2;57614
2;57614;8;9;4;3;12;5;11;6;10;7;2;1
8;9;2;3;12;5;11;6;10;7;4;1;2;60650
2;57614;8;9;4;3;12;5;11;6;10;7;2;1
8;9;4;3;12;5;7;6;10;11;2;1;2;40776
2;40776;8;9;4;3;12;5;7;6;10;11;2;1
8;7;4;3;12;5;9;6;10;11;2;1;2;34832
2;34832;8;7;4;3;12;5;9;6;10;11;2;1
8;7;4;1;12;5;9;6;10;11;2;3;2;33952
2;33952;8;7;4;1;12;5;9;6;10;11;2;3
8;7;4;6;12;5;9;1;10;11;2;3;2;44198
2;44198;8;7;4;6;12;5;9;1;10;11;2;3
8;5;4;6;12;7;9;1;10;11;2;3;2;34468
