"X40";"X64";"X59";"X55";"X56";"X7";"X48";"X15";"X5";"X24";"X32";"X16";"X8";"X10";"X14";"X9";"X21";"X37";"X6";"X25";"X38";"X58";"X13";"X20";"X33";"X22";"X39";"X23";"X53";"X29";"X47";"X57";"X42";"X50";"X60";"X2";"X36";"X46";"X28";"X26";"X62";"X17";"X43";"X45";"X44";"X4";"X35";"X3";"X12";"X30";"X1";"X54";"X19";"X41";"X61";"X27";"X49";"X31";"X52";"X34";"X11";"X51";"X63";"X18";"generation"
40;64;59;55;56;7;48;15;5;24;32;16;8;10;14;9;21;37;6;25;38;58;13;20;33;22;39;23;53;29;47;57;42;50;60;2;36;46;28;26;62;17;43;45;44;4;35;3;12;30;1;54;19;41;61;27;49;31;52;34;11;51;63;18;1
56;40;31;18;32;15;48;24;8;52;16;7;55;49;14;9;21;37;6;25;38;58;13;20;33;22;39;23;53;29;47;57;42;50;60;2;36;46;28;26;62;17;43;45;44;4;35;3;12;30;1;54;19;41;61;34;10;5;64;27;11;51;63;59;1
35;64;7;12;5;34;1;30;51;11;18;59;48;4;58;52;37;38;41;32;8;10;13;20;33;22;39;23;53;29;47;57;42;50;60;2;36;46;28;26;62;17;43;55;14;56;45;40;3;15;27;25;49;16;63;19;6;9;61;54;24;44;21;31;1
56;40;5;16;32;34;53;46;51;26;18;59;48;4;58;52;23;38;36;42;8;10;13;20;33;22;39;21;55;29;47;57;25;50;60;2;6;24;28;64;62;17;43;45;44;14;35;3;12;30;1;54;19;41;61;27;49;31;9;15;11;37;63;7;1
56;40;5;18;32;15;48;24;8;17;16;7;55;10;14;9;21;37;6;62;38;58;13;20;33;22;39;23;53;29;45;57;12;30;60;2;36;46;52;41;25;64;26;47;1;50;49;59;42;4;44;54;19;43;61;27;35;31;28;34;11;51;63;3;1
1;61;63;32;19;11;48;24;8;64;16;7;55;10;14;9;21;37;6;25;38;58;13;20;33;22;39;23;53;29;47;57;42;50;31;2;36;46;28;26;62;17;43;45;44;4;35;3;12;54;34;27;51;60;52;59;40;5;18;41;56;30;15;49;1
56;40;5;18;32;15;48;24;8;64;16;7;55;10;14;9;21;37;6;25;38;58;13;20;33;22;39;23;53;29;47;57;42;50;60;2;36;46;28;26;62;17;43;45;44;4;35;3;12;30;1;54;19;41;61;27;49;31;52;34;11;51;63;59;1
56;40;5;18;32;15;48;24;8;64;16;7;55;10;14;9;21;37;6;25;38;58;13;20;33;22;39;23;51;29;47;57;42;50;60;2;36;46;28;26;62;17;43;45;44;4;35;3;12;30;1;54;19;41;61;27;49;31;52;34;11;53;63;59;1
56;40;17;62;53;24;12;11;23;39;48;9;25;36;20;37;28;38;10;32;2;44;54;43;15;5;22;63;19;3;58;8;29;60;13;35;18;6;52;41;30;64;26;47;1;50;49;59;42;55;45;4;46;14;61;27;7;31;21;34;33;51;57;16;1
45;61;63;62;19;11;12;24;8;64;16;7;55;10;3;9;21;37;6;25;38;58;13;20;33;22;39;23;53;29;47;57;42;50;60;2;36;18;52;41;32;5;26;44;1;54;49;59;14;4;34;27;51;31;28;48;40;17;46;43;56;30;15;35;1
56;40;5;18;32;4;48;24;8;64;16;7;55;10;14;9;43;26;6;25;38;58;13;20;2;22;28;42;62;29;47;57;46;33;44;50;17;23;39;45;53;35;60;37;21;15;36;3;12;30;1;54;19;41;61;27;49;31;52;34;11;51;63;59;1
6;52;22;51;11;7;10;15;5;24;29;34;57;48;55;39;38;42;40;58;8;59;13;47;50;63;37;25;9;32;56;21;23;33;60;2;36;46;28;26;62;17;43;45;44;4;35;3;12;30;1;54;19;41;61;27;49;31;64;16;20;14;53;18;1
56;40;5;18;32;15;48;24;8;64;16;7;55;10;14;9;21;37;6;25;38;58;13;20;33;22;39;23;53;29;47;57;42;50;60;2;36;46;28;26;62;17;43;45;44;4;35;3;12;30;1;54;19;41;61;27;49;31;52;34;11;51;63;59;1
56;40;5;18;32;15;48;24;8;64;16;7;55;10;14;9;21;37;6;25;38;58;13;20;33;22;39;23;53;29;47;57;42;50;60;2;36;46;28;26;62;17;43;45;44;4;35;3;12;30;1;54;19;41;61;27;49;31;52;34;11;51;63;59;1
23;46;4;17;19;15;48;24;8;64;16;7;55;10;14;9;21;37;6;25;38;60;26;31;22;51;28;13;5;42;61;39;40;50;18;20;63;58;53;49;35;12;1;33;56;34;41;54;11;57;52;44;62;36;43;45;47;29;27;59;32;3;30;2;1
44;40;5;18;32;15;48;24;8;64;16;7;55;10;14;26;21;37;6;4;38;58;13;20;45;22;39;23;53;29;47;57;42;50;60;2;36;46;28;9;35;12;1;33;56;25;62;3;17;30;43;54;19;41;61;27;49;31;52;34;11;51;63;59;1
35;64;43;28;5;34;53;46;51;26;18;59;48;4;58;52;23;38;36;42;8;10;29;31;39;30;12;37;1;32;22;49;13;47;40;41;2;50;33;11;20;21;7;55;14;56;45;60;3;15;27;25;57;16;63;19;6;9;61;54;24;44;17;62;1
35;64;43;28;5;34;53;46;51;26;18;59;48;4;58;52;23;38;36;42;8;10;29;31;39;30;12;37;1;32;22;49;13;47;40;41;2;50;33;11;20;21;7;55;14;56;45;60;3;15;27;25;57;16;63;19;6;9;61;54;24;44;17;62;1
47;61;57;25;53;24;29;11;23;39;48;9;13;18;20;37;52;38;10;32;49;34;27;41;15;5;22;63;51;59;58;8;42;50;60;2;36;46;28;26;62;17;43;45;44;4;35;3;12;30;1;54;19;31;21;16;40;64;6;14;56;55;33;7;1
11;35;5;18;32;15;48;24;8;64;54;7;55;10;44;9;61;37;6;25;38;58;13;20;33;22;39;23;53;29;45;57;12;30;60;2;36;52;28;26;62;41;43;47;1;50;49;59;42;4;34;27;51;31;21;16;40;17;46;14;56;19;63;3;1
56;40;5;18;32;15;48;24;8;64;16;7;55;10;14;9;21;37;6;25;38;58;13;20;33;22;39;23;53;29;47;57;42;50;60;2;36;46;28;26;62;17;43;45;44;4;35;3;12;30;1;54;19;41;61;27;49;31;52;34;11;51;63;59;1
