"X1";"X5779881";"X21";"X7";"X18";"X4";"X26";"X24";"X5";"X23";"X6";"X22";"X20";"X13";"X1.1";"X14";"X16";"X2";"X3";"X9";"X11";"X10";"X17";"X15";"X12";"X8";"X25";"X19"
1;5779881;21;7;18;4;26;24;5;23;6;22;20;13;1;14;16;2;3;9;11;10;17;15;12;8;25;19
21;7;18;4;26;24;5;23;25;22;20;13;1;14;16;2;3;9;11;10;17;15;12;8;6;19;1;5788583
1;5788583;21;7;18;4;26;24;5;23;25;22;20;13;1;14;16;2;3;9;11;10;17;15;12;8;6;19
21;7;18;4;26;24;5;23;2;22;20;13;1;14;16;25;3;9;11;10;17;15;12;8;6;19;1;5786770
1;5786770;21;7;18;4;26;24;5;23;2;22;20;13;1;14;16;25;3;9;11;10;17;15;12;8;6;19
21;7;18;4;26;24;10;23;2;22;20;13;1;14;16;25;3;9;11;5;17;15;12;8;6;19;1;5987481
1;5987481;21;7;18;4;26;24;10;23;2;22;20;13;1;14;16;25;3;9;11;5;17;15;12;8;6;19
21;7;18;4;26;24;5;23;2;22;20;13;1;14;16;25;3;9;11;10;17;15;12;8;6;19;1;5786770
1;5786770;21;7;18;4;26;24;5;23;2;22;20;13;1;14;16;25;3;9;11;10;17;15;12;8;6;19
21;7;13;4;26;24;5;23;2;22;20;18;1;14;16;25;3;9;11;10;17;15;12;8;6;19;1;5749543
1;5749543;21;7;13;4;26;24;5;23;2;22;20;18;1;14;16;25;3;9;11;10;17;15;12;8;6;19
21;7;1;4;26;24;5;23;2;22;20;18;13;14;16;25;3;9;11;10;17;15;12;8;6;19;1;5783182
1;5783182;21;7;1;4;26;24;5;23;2;22;20;18;13;14;16;25;3;9;11;10;17;15;12;8;6;19
21;7;1;4;26;24;5;23;2;17;20;18;13;14;16;25;3;9;11;10;22;15;12;8;6;19;1;5788162
1;5788162;21;7;1;4;26;24;5;23;2;17;20;18;13;14;16;25;3;9;11;10;22;15;12;8;6;19
21;7;1;4;26;24;5;23;2;13;20;18;17;14;16;25;3;9;11;10;22;15;12;8;6;19;1;5788688
1;5788688;21;7;1;4;26;24;5;23;2;13;20;18;17;14;16;25;3;9;11;10;22;15;12;8;6;19
21;7;1;4;26;24;5;18;2;13;20;23;17;14;16;25;3;9;11;10;22;15;12;8;6;19;1;5848318
1;5848318;21;7;1;4;26;24;5;18;2;13;20;23;17;14;16;25;3;9;11;10;22;15;12;8;6;19
21;7;22;4;26;24;5;18;2;13;20;23;17;14;16;25;3;9;11;10;1;15;12;8;6;19;1;5886258
1;5886258;21;7;22;4;26;24;5;18;2;13;20;23;17;14;16;25;3;9;11;10;1;15;12;8;6;19
21;7;22;4;26;24;5;18;2;13;20;11;17;14;16;25;3;9;23;10;1;15;12;8;6;19;1;5894330
1;5894330;21;7;22;4;26;24;5;18;2;13;20;11;17;14;16;25;3;9;23;10;1;15;12;8;6;19
21;7;22;4;26;24;5;18;2;6;20;11;17;14;16;25;3;9;23;10;1;15;12;8;13;19;1;5907313
1;5907313;21;7;22;4;26;24;5;18;2;6;20;11;17;14;16;25;3;9;23;10;1;15;12;8;13;19
21;7;22;4;26;2;5;18;24;6;20;11;17;14;16;25;3;9;23;10;1;15;12;8;13;19;1;5910440
1;5910440;21;7;22;4;26;2;5;18;24;6;20;11;17;14;16;25;3;9;23;10;1;15;12;8;13;19
21;7;22;4;26;2;5;18;24;6;20;11;15;14;16;25;3;9;23;10;1;17;12;8;13;19;1;5880737
1;5880737;21;7;22;4;26;2;5;18;24;6;20;11;15;14;16;25;3;9;23;10;1;17;12;8;13;19
21;7;22;1;26;2;5;18;24;6;20;11;15;14;16;25;3;9;23;10;4;17;12;8;13;19;1;5913454
1;5913454;21;7;22;1;26;2;5;18;24;6;20;11;15;14;16;25;3;9;23;10;4;17;12;8;13;19
21;7;22;1;26;2;5;18;24;6;20;15;11;14;16;25;3;9;23;10;4;17;12;8;13;19;1;5904361
1;5904361;21;7;22;1;26;2;5;18;24;6;20;15;11;14;16;25;3;9;23;10;4;17;12;8;13;19
21;25;22;1;26;2;5;18;24;6;20;15;11;14;16;7;3;9;23;10;4;17;12;8;13;19;1;5924977
1;5924977;21;25;22;1;26;2;5;18;24;6;20;15;11;14;16;7;3;9;23;10;4;17;12;8;13;19
21;25;26;1;22;2;5;18;24;6;20;15;11;14;16;7;3;9;23;10;4;17;12;8;13;19;1;5924534
1;5924534;21;25;26;1;22;2;5;18;24;6;20;15;11;14;16;7;3;9;23;10;4;17;12;8;13;19
21;25;26;5;22;2;1;18;24;6;20;15;11;14;16;7;3;9;23;10;4;17;12;8;13;19;1;5915471
1;5915471;21;25;26;5;22;2;1;18;24;6;20;15;11;14;16;7;3;9;23;10;4;17;12;8;13;19
21;25;26;5;22;2;1;18;6;24;20;15;11;14;16;7;3;9;23;10;4;17;12;8;13;19;1;5915491
2;5915491;21;25;26;5;22;2;1;18;6;24;20;15;11;14;16;7;3;9;23;10;4;17;12;8;13;19
21;25;26;5;22;2;1;18;6;24;20;15;11;14;16;7;3;9;23;12;4;17;10;8;13;19;2;5902662
2;5902662;21;25;26;5;22;2;1;18;6;24;20;15;11;14;16;7;3;9;23;12;4;17;10;8;13;19
21;25;26;5;22;2;1;18;6;13;20;15;11;14;16;7;3;9;23;12;4;17;10;8;24;19;2;5885272
2;5885272;21;25;26;5;22;2;1;18;6;13;20;15;11;14;16;7;3;9;23;12;4;17;10;8;24;19
21;25;26;5;22;2;1;18;6;13;20;15;11;14;16;7;9;3;23;12;4;17;10;8;24;19;2;5869744
2;5869744;21;25;26;5;22;2;1;18;6;13;20;15;11;14;16;7;9;3;23;12;4;17;10;8;24;19
21;1;26;5;22;2;25;18;6;13;20;15;11;14;16;7;9;3;23;12;4;17;10;8;24;19;2;5885565
2;5885565;21;1;26;5;22;2;25;18;6;13;20;15;11;14;16;7;9;3;23;12;4;17;10;8;24;19
21;1;26;5;22;2;20;18;6;13;25;15;11;14;16;7;9;3;23;12;4;17;10;8;24;19;2;5935693
2;5935693;21;1;26;5;22;2;20;18;6;13;25;15;11;14;16;7;9;3;23;12;4;17;10;8;24;19
21;1;26;5;22;2;20;8;6;13;25;15;11;14;16;7;9;3;23;12;4;17;10;18;24;19;2;6130120
2;6130120;21;1;26;5;22;2;20;8;6;13;25;15;11;14;16;7;9;3;23;12;4;17;10;18;24;19
21;24;26;5;22;2;20;8;6;13;25;15;11;14;16;7;9;3;23;12;4;17;10;18;1;19;2;6144617
2;6144617;21;24;26;5;22;2;20;8;6;13;25;15;11;14;16;7;9;3;23;12;4;17;10;18;1;19
21;26;24;5;22;2;20;8;6;13;25;15;11;14;16;7;9;3;23;12;4;17;10;18;1;19;2;6144928
2;6144928;21;26;24;5;22;2;20;8;6;13;25;15;11;14;16;7;9;3;23;12;4;17;10;18;1;19
21;26;24;20;22;2;5;8;6;13;25;15;11;14;16;7;9;3;23;12;4;17;10;18;1;19;2;5934809
2;5934809;21;26;24;20;22;2;5;8;6;13;25;15;11;14;16;7;9;3;23;12;4;17;10;18;1;19
21;26;24;20;22;2;5;8;6;13;25;15;11;14;16;7;17;3;23;12;4;9;10;18;1;19;2;5925528
2;5925528;21;26;24;20;22;2;5;8;6;13;25;15;11;14;16;7;17;3;23;12;4;9;10;18;1;19
21;26;24;20;22;2;5;8;6;13;25;12;11;14;16;7;17;3;23;15;4;9;10;18;1;19;2;5933748
2;5933748;21;26;24;20;22;2;5;8;6;13;25;12;11;14;16;7;17;3;23;15;4;9;10;18;1;19
21;26;24;20;22;2;5;8;6;13;18;12;11;14;16;7;17;3;23;15;4;9;10;25;1;19;2;5888698
2;5888698;21;26;24;20;22;2;5;8;6;13;18;12;11;14;16;7;17;3;23;15;4;9;10;25;1;19
21;26;24;20;22;2;5;8;6;13;9;12;11;14;16;7;17;3;23;15;4;18;10;25;1;19;2;5835214
2;5835214;21;26;24;20;22;2;5;8;6;13;9;12;11;14;16;7;17;3;23;15;4;18;10;25;1;19
21;26;24;20;22;2;5;3;6;13;9;12;11;14;16;7;17;8;23;15;4;18;10;25;1;19;2;5867644
2;5867644;21;26;24;20;22;2;5;3;6;13;9;12;11;14;16;7;17;8;23;15;4;18;10;25;1;19
21;11;24;20;22;2;5;3;6;13;9;12;26;14;16;7;17;8;23;15;4;18;10;25;1;19;2;5867878
2;5867878;21;11;24;20;22;2;5;3;6;13;9;12;26;14;16;7;17;8;23;15;4;18;10;25;1;19
15;11;24;20;22;2;5;3;6;13;9;12;26;14;16;7;17;8;23;21;4;18;10;25;1;19;2;5865782
2;5865782;15;11;24;20;22;2;5;3;6;13;9;12;26;14;16;7;17;8;23;21;4;18;10;25;1;19
15;11;1;20;22;2;5;3;6;13;9;12;26;14;16;7;17;8;23;21;4;18;10;25;24;19;2;5894045
2;5894045;15;11;1;20;22;2;5;3;6;13;9;12;26;14;16;7;17;8;23;21;4;18;10;25;24;19
15;11;1;20;22;2;5;3;6;13;9;12;26;14;16;7;17;8;23;18;4;21;10;25;24;19;2;5907575
2;5907575;15;11;1;20;22;2;5;3;6;13;9;12;26;14;16;7;17;8;23;18;4;21;10;25;24;19
15;11;22;20;1;2;5;3;6;13;9;12;26;14;16;7;17;8;23;18;4;21;10;25;24;19;2;5899028
2;5899028;15;11;22;20;1;2;5;3;6;13;9;12;26;14;16;7;17;8;23;18;4;21;10;25;24;19
15;11;22;20;1;2;5;3;6;13;9;12;26;14;16;7;17;8;23;21;4;18;10;25;24;19;2;5879511
