"X1";"X5859631";"X17";"X21";"X10";"X4";"X26";"X2";"X22";"X12";"X7";"X20";"X19";"X16";"X8";"X14";"X13";"X25";"X1.1";"X11";"X18";"X24";"X23";"X9";"X15";"X3";"X6";"X5"
1;5859631;17;21;10;4;26;2;22;12;7;20;19;16;8;14;13;25;1;11;18;24;23;9;15;3;6;5
17;21;10;4;26;2;22;12;9;20;19;16;8;14;13;25;1;11;18;24;23;7;15;3;6;5;1;5842746
1;5842746;17;21;10;4;26;2;22;12;9;20;19;16;8;14;13;25;1;11;18;24;23;7;15;3;6;5
17;21;10;4;26;2;22;15;9;20;19;16;8;14;13;25;1;11;18;24;23;7;12;3;6;5;1;5775288
1;5775288;17;21;10;4;26;2;22;15;9;20;19;16;8;14;13;25;1;11;18;24;23;7;12;3;6;5
17;21;10;23;26;2;22;15;9;20;19;16;8;14;13;25;1;11;18;24;4;7;12;3;6;5;1;5783561
1;5783561;17;21;10;23;26;2;22;15;9;20;19;16;8;14;13;25;1;11;18;24;4;7;12;3;6;5
17;21;10;23;26;2;22;15;13;20;19;16;8;14;9;25;1;11;18;24;4;7;12;3;6;5;1;5817331
1;5817331;17;21;10;23;26;2;22;15;13;20;19;16;8;14;9;25;1;11;18;24;4;7;12;3;6;5
17;21;10;23;26;2;22;15;13;4;19;16;8;14;9;25;1;11;18;24;20;7;12;3;6;5;1;5869124
1;5869124;17;21;10;23;26;2;22;15;13;4;19;16;8;14;9;25;1;11;18;24;20;7;12;3;6;5
15;21;10;23;26;2;22;17;13;4;19;16;8;14;9;25;1;11;18;24;20;7;12;3;6;5;1;5881891
1;5881891;15;21;10;23;26;2;22;17;13;4;19;16;8;14;9;25;1;11;18;24;20;7;12;3;6;5
15;21;10;23;26;2;22;17;13;4;19;16;8;14;9;25;1;11;12;24;20;7;18;3;6;5;1;5910143
1;5910143;15;21;10;23;26;2;22;17;13;4;19;16;8;14;9;25;1;11;12;24;20;7;18;3;6;5
20;21;10;23;26;2;22;17;13;4;19;16;8;14;9;25;1;11;12;24;15;7;18;3;6;5;1;5887396
1;5887396;20;21;10;23;26;2;22;17;13;4;19;16;8;14;9;25;1;11;12;24;15;7;18;3;6;5
20;21;10;14;26;2;22;17;13;4;19;16;8;23;9;25;1;11;12;24;15;7;18;3;6;5;1;5921587
1;5921587;20;21;10;14;26;2;22;17;13;4;19;16;8;23;9;25;1;11;12;24;15;7;18;3;6;5
20;7;10;14;26;2;22;17;13;4;19;16;8;23;9;25;1;11;12;24;15;21;18;3;6;5;1;5919977
1;5919977;20;7;10;14;26;2;22;17;13;4;19;16;8;23;9;25;1;11;12;24;15;21;18;3;6;5
20;21;10;14;26;2;22;17;13;4;19;16;8;23;9;25;1;11;12;24;15;7;18;3;6;5;1;5921587
1;5921587;20;21;10;14;26;2;22;17;13;4;19;16;8;23;9;25;1;11;12;24;15;7;18;3;6;5
20;21;10;14;26;2;22;17;13;4;19;16;8;23;9;6;1;11;12;24;15;7;18;3;25;5;1;5921960
1;5921960;20;21;10;14;26;2;22;17;13;4;19;16;8;23;9;6;1;11;12;24;15;7;18;3;25;5
20;21;10;14;26;2;22;17;13;4;19;16;8;23;9;6;1;11;12;24;3;7;18;15;25;5;1;5936434
1;5936434;20;21;10;14;26;2;22;17;13;4;19;16;8;23;9;6;1;11;12;24;3;7;18;15;25;5
20;21;10;14;26;2;22;13;17;4;19;16;8;23;9;6;1;11;12;24;3;7;18;15;25;5;1;5936074
1;5936074;20;21;10;14;26;2;22;13;17;4;19;16;8;23;9;6;1;11;12;24;3;7;18;15;25;5
15;21;10;14;26;2;22;13;17;4;19;16;8;23;9;6;1;11;12;24;3;7;18;20;25;5;1;5949239
1;5949239;15;21;10;14;26;2;22;13;17;4;19;16;8;23;9;6;1;11;12;24;3;7;18;20;25;5
15;11;10;14;26;2;22;13;17;4;19;16;8;23;9;6;1;21;12;24;3;7;18;20;25;5;1;5917119
1;5917119;15;11;10;14;26;2;22;13;17;4;19;16;8;23;9;6;1;21;12;24;3;7;18;20;25;5
15;11;10;14;25;2;22;13;17;4;19;16;8;23;9;6;1;21;12;24;3;7;18;20;26;5;1;5903040
1;5903040;15;11;10;14;25;2;22;13;17;4;19;16;8;23;9;6;1;21;12;24;3;7;18;20;26;5
