"X1";"X6018446";"X20";"X5";"X6";"X15";"X12";"X13";"X22";"X25";"X4";"X1.1";"X16";"X14";"X2";"X9";"X11";"X7";"X26";"X17";"X8";"X10";"X18";"X23";"X24";"X21";"X19";"X3"
1;6018446;20;5;6;15;12;13;22;25;4;1;16;14;2;9;11;7;26;17;8;10;18;23;24;21;19;3
20;5;6;15;12;13;22;25;4;1;16;14;2;9;11;7;3;17;8;10;18;23;24;21;19;26;1;6012574
1;6012574;20;5;6;15;12;13;22;25;4;1;16;14;2;9;11;7;3;17;8;10;18;23;24;21;19;26
20;5;6;15;12;13;22;25;4;18;16;14;2;9;11;7;3;17;8;10;1;23;24;21;19;26;1;5847173
1;5847173;20;5;6;15;12;13;22;25;4;18;16;14;2;9;11;7;3;17;8;10;1;23;24;21;19;26
20;1;6;15;12;13;22;25;4;18;16;14;2;9;11;7;3;17;8;10;5;23;24;21;19;26;1;5864737
1;5864737;20;1;6;15;12;13;22;25;4;18;16;14;2;9;11;7;3;17;8;10;5;23;24;21;19;26
15;1;6;20;12;13;22;25;4;18;16;14;2;9;11;7;3;17;8;10;5;23;24;21;19;26;1;5885132
1;5885132;15;1;6;20;12;13;22;25;4;18;16;14;2;9;11;7;3;17;8;10;5;23;24;21;19;26
15;1;6;20;12;13;22;25;4;18;16;14;2;9;11;7;3;24;8;10;5;23;17;21;19;26;1;5883678
1;5883678;15;1;6;20;12;13;22;25;4;18;16;14;2;9;11;7;3;24;8;10;5;23;17;21;19;26
15;1;12;20;6;13;22;25;4;18;16;14;2;9;11;7;3;24;8;10;5;23;17;21;19;26;1;5889503
1;5889503;15;1;12;20;6;13;22;25;4;18;16;14;2;9;11;7;3;24;8;10;5;23;17;21;19;26
15;1;12;20;6;13;22;25;4;18;16;14;2;9;11;7;21;24;8;10;5;23;17;3;19;26;1;5868492
1;5868492;15;1;12;20;6;13;22;25;4;18;16;14;2;9;11;7;21;24;8;10;5;23;17;3;19;26
15;1;12;20;6;13;22;25;4;18;16;14;21;9;11;7;2;24;8;10;5;23;17;3;19;26;1;5832034
1;5832034;15;1;12;20;6;13;22;25;4;18;16;14;21;9;11;7;2;24;8;10;5;23;17;3;19;26
15;1;12;20;6;13;22;25;23;18;16;14;21;9;11;7;2;24;8;10;5;4;17;3;19;26;1;5915028
1;5915028;15;1;12;20;6;13;22;25;23;18;16;14;21;9;11;7;2;24;8;10;5;4;17;3;19;26
12;1;15;20;6;13;22;25;23;18;16;14;21;9;11;7;2;24;8;10;5;4;17;3;19;26;1;5911946
1;5911946;12;1;15;20;6;13;22;25;23;18;16;14;21;9;11;7;2;24;8;10;5;4;17;3;19;26
12;1;15;6;20;13;22;25;23;18;16;14;21;9;11;7;2;24;8;10;5;4;17;3;19;26;1;5901866
1;5901866;12;1;15;6;20;13;22;25;23;18;16;14;21;9;11;7;2;24;8;10;5;4;17;3;19;26
