"X1";"X5827148";"X4";"X8";"X22";"X24";"X10";"X14";"X26";"X11";"X20";"X25";"X6";"X19";"X5";"X17";"X18";"X2";"X13";"X9";"X21";"X1.1";"X23";"X12";"X3";"X7";"X16";"X15"
1;5827148;4;8;22;24;10;14;26;11;20;25;6;19;5;17;18;2;13;9;21;1;23;12;3;7;16;15
4;8;22;24;10;17;26;11;20;25;6;19;5;14;18;2;13;9;21;1;23;12;3;7;16;15;1;5787046
1;5787046;4;8;22;24;10;17;26;11;20;25;6;19;5;14;18;2;13;9;21;1;23;12;3;7;16;15
4;8;22;12;10;17;26;11;20;25;6;19;5;14;18;2;13;9;21;1;23;24;3;7;16;15;1;5765639
1;5765639;4;8;22;12;10;17;26;11;20;25;6;19;5;14;18;2;13;9;21;1;23;24;3;7;16;15
4;8;22;12;10;17;26;11;20;25;6;19;1;14;18;2;13;9;21;5;23;24;3;7;16;15;1;5939512
1;5939512;4;8;22;12;10;17;26;11;20;25;6;19;1;14;18;2;13;9;21;5;23;24;3;7;16;15
4;8;22;12;10;17;26;11;14;25;6;19;1;20;18;2;13;9;21;5;23;24;3;7;16;15;1;5974095
1;5974095;4;8;22;12;10;17;26;11;14;25;6;19;1;20;18;2;13;9;21;5;23;24;3;7;16;15
16;8;22;12;10;17;26;11;14;25;6;19;1;20;18;2;13;9;21;5;23;24;3;7;4;15;1;5915856
1;5915856;16;8;22;12;10;17;26;11;14;25;6;19;1;20;18;2;13;9;21;5;23;24;3;7;4;15
16;8;22;12;2;17;26;11;14;25;6;19;1;20;18;10;13;9;21;5;23;24;3;7;4;15;1;5952625
1;5952625;16;8;22;12;2;17;26;11;14;25;6;19;1;20;18;10;13;9;21;5;23;24;3;7;4;15
16;8;22;12;2;21;26;11;14;25;6;19;1;20;18;10;13;9;17;5;23;24;3;7;4;15;1;5973614
1;5973614;16;8;22;12;2;21;26;11;14;25;6;19;1;20;18;10;13;9;17;5;23;24;3;7;4;15
