"X1";"X6106686";"X3";"X9";"X23";"X1.1";"X6";"X22";"X5";"X4";"X2";"X13";"X19";"X10";"X15";"X26";"X11";"X17";"X18";"X21";"X16";"X12";"X20";"X14";"X24";"X8";"X25";"X7"
1;6106686;3;9;23;1;6;22;5;4;2;13;19;10;15;26;11;17;18;21;16;12;20;14;24;8;25;7
3;9;23;1;6;22;5;4;2;13;19;10;15;26;11;17;7;21;16;12;20;14;24;8;25;18;1;6162568
1;6162568;3;9;23;1;6;22;5;4;2;13;19;10;15;26;11;17;7;21;16;12;20;14;24;8;25;18
3;9;23;1;6;22;5;4;2;13;26;10;15;19;11;17;7;21;16;12;20;14;24;8;25;18;1;6169711
1;6169711;3;9;23;1;6;22;5;4;2;13;26;10;15;19;11;17;7;21;16;12;20;14;24;8;25;18
3;9;23;1;6;22;5;4;2;26;13;10;15;19;11;17;7;21;16;12;20;14;24;8;25;18;1;6166139
1;6166139;3;9;23;1;6;22;5;4;2;26;13;10;15;19;11;17;7;21;16;12;20;14;24;8;25;18
3;9;23;1;6;22;5;4;2;26;13;18;15;19;11;17;7;21;16;12;20;14;24;8;25;10;1;5998464
1;5998464;3;9;23;1;6;22;5;4;2;26;13;18;15;19;11;17;7;21;16;12;20;14;24;8;25;10
3;9;23;1;6;22;5;4;2;16;13;18;15;19;11;17;7;21;26;12;20;14;24;8;25;10;1;5999100
1;5999100;3;9;23;1;6;22;5;4;2;16;13;18;15;19;11;17;7;21;26;12;20;14;24;8;25;10
3;9;23;1;6;11;5;4;2;16;13;18;15;19;22;17;7;21;26;12;20;14;24;8;25;10;1;5977760
1;5977760;3;9;23;1;6;11;5;4;2;16;13;18;15;19;22;17;7;21;26;12;20;14;24;8;25;10
3;9;23;1;6;11;4;5;2;16;13;18;15;19;22;17;7;21;26;12;20;14;24;8;25;10;1;5970828
1;5970828;3;9;23;1;6;11;4;5;2;16;13;18;15;19;22;17;7;21;26;12;20;14;24;8;25;10
3;9;23;1;6;11;4;5;2;24;13;18;15;19;22;17;7;21;26;12;20;14;16;8;25;10;1;5991766
1;5991766;3;9;23;1;6;11;4;5;2;24;13;18;15;19;22;17;7;21;26;12;20;14;16;8;25;10
3;9;4;1;6;11;23;5;2;24;13;18;15;19;22;17;7;21;26;12;20;14;16;8;25;10;1;6030693
1;6030693;3;9;4;1;6;11;23;5;2;24;13;18;15;19;22;17;7;21;26;12;20;14;16;8;25;10
2;9;4;1;6;11;23;5;3;24;13;18;15;19;22;17;7;21;26;12;20;14;16;8;25;10;1;5940766
1;5940766;2;9;4;1;6;11;23;5;3;24;13;18;15;19;22;17;7;21;26;12;20;14;16;8;25;10
2;9;1;4;6;11;23;5;3;24;13;18;15;19;22;17;7;21;26;12;20;14;16;8;25;10;1;5904549
1;5904549;2;9;1;4;6;11;23;5;3;24;13;18;15;19;22;17;7;21;26;12;20;14;16;8;25;10
2;9;1;4;6;13;23;5;3;24;11;18;15;19;22;17;7;21;26;12;20;14;16;8;25;10;1;5907993
1;5907993;2;9;1;4;6;13;23;5;3;24;11;18;15;19;22;17;7;21;26;12;20;14;16;8;25;10
2;9;1;4;6;19;23;5;3;24;11;18;15;13;22;17;7;21;26;12;20;14;16;8;25;10;1;5912113
1;5912113;2;9;1;4;6;19;23;5;3;24;11;18;15;13;22;17;7;21;26;12;20;14;16;8;25;10
2;9;1;4;6;19;23;5;3;24;11;18;25;13;22;17;7;21;26;12;20;14;16;8;15;10;1;5906026
1;5906026;2;9;1;4;6;19;23;5;3;24;11;18;25;13;22;17;7;21;26;12;20;14;16;8;15;10
2;9;1;4;6;23;19;5;3;24;11;18;25;13;22;17;7;21;26;12;20;14;16;8;15;10;1;5906026
1;5906026;2;9;1;4;6;23;19;5;3;24;11;18;25;13;22;17;7;21;26;12;20;14;16;8;15;10
2;9;1;4;6;23;19;5;3;24;11;18;25;13;22;12;7;21;26;17;20;14;16;8;15;10;1;5867237
1;5867237;2;9;1;4;6;23;19;5;3;24;11;18;25;13;22;12;7;21;26;17;20;14;16;8;15;10
2;9;1;4;6;23;19;5;3;24;11;18;25;13;22;12;7;21;26;10;20;14;16;8;15;17;1;5867477
1;5867477;2;9;1;4;6;23;19;5;3;24;11;18;25;13;22;12;7;21;26;10;20;14;16;8;15;17
2;9;1;4;6;23;19;5;3;24;11;18;25;13;22;12;7;21;26;10;15;14;16;8;20;17;1;5904394
1;5904394;2;9;1;4;6;23;19;5;3;24;11;18;25;13;22;12;7;21;26;10;15;14;16;8;20;17
2;9;1;7;6;23;19;5;3;24;11;18;25;13;22;12;4;21;26;10;15;14;16;8;20;17;1;5887516
1;5887516;2;9;1;7;6;23;19;5;3;24;11;18;25;13;22;12;4;21;26;10;15;14;16;8;20;17
2;14;1;7;6;23;19;5;3;24;11;18;25;13;22;12;4;21;26;10;15;9;16;8;20;17;1;5863891
2;5863891;2;14;1;7;6;23;19;5;3;24;11;18;25;13;22;12;4;21;26;10;15;9;16;8;20;17
2;14;1;7;6;23;19;5;3;24;11;4;25;13;22;12;18;21;26;10;15;9;16;8;20;17;2;5886560
2;5886560;2;14;1;7;6;23;19;5;3;24;11;4;25;13;22;12;18;21;26;10;15;9;16;8;20;17
2;14;1;7;6;23;19;5;3;24;11;4;25;13;22;12;18;10;26;21;15;9;16;8;20;17;2;5936216
2;5936216;2;14;1;7;6;23;19;5;3;24;11;4;25;13;22;12;18;10;26;21;15;9;16;8;20;17
2;14;1;7;6;23;19;5;3;24;11;4;25;13;22;12;18;10;26;21;15;20;16;8;9;17;2;5981601
2;5981601;2;14;1;7;6;23;19;5;3;24;11;4;25;13;22;12;18;10;26;21;15;20;16;8;9;17
2;14;1;19;6;23;7;5;3;24;11;4;25;13;22;12;18;10;26;21;15;20;16;8;9;17;2;5987953
2;5987953;2;14;1;19;6;23;7;5;3;24;11;4;25;13;22;12;18;10;26;21;15;20;16;8;9;17
2;14;1;19;6;23;7;5;3;24;11;4;25;13;22;18;12;10;26;21;15;20;16;8;9;17;2;6036508
2;6036508;2;14;1;19;6;23;7;5;3;24;11;4;25;13;22;18;12;10;26;21;15;20;16;8;9;17
2;14;1;19;6;23;7;5;3;24;11;4;25;13;22;18;12;10;21;26;15;20;16;8;9;17;2;5964773
2;5964773;2;14;1;19;6;23;7;5;3;24;11;4;25;13;22;18;12;10;21;26;15;20;16;8;9;17
2;14;1;19;6;23;7;5;3;24;8;4;25;13;22;18;12;10;21;26;15;20;16;11;9;17;2;5956904
2;5956904;2;14;1;19;6;23;7;5;3;24;8;4;25;13;22;18;12;10;21;26;15;20;16;11;9;17
2;14;1;19;6;23;9;5;3;24;8;4;25;13;22;18;12;10;21;26;15;20;16;11;7;17;2;5929377
2;5929377;2;14;1;19;6;23;9;5;3;24;8;4;25;13;22;18;12;10;21;26;15;20;16;11;7;17
2;14;1;19;6;23;9;5;3;24;8;4;12;13;22;18;25;10;21;26;15;20;16;11;7;17;2;5933426
2;5933426;2;14;1;19;6;23;9;5;3;24;8;4;12;13;22;18;25;10;21;26;15;20;16;11;7;17
2;14;1;19;6;23;18;5;3;24;8;4;12;13;22;9;25;10;21;26;15;20;16;11;7;17;2;5936896
2;5936896;2;14;1;19;6;23;18;5;3;24;8;4;12;13;22;9;25;10;21;26;15;20;16;11;7;17
2;14;1;9;6;23;18;5;3;24;8;4;12;13;22;19;25;10;21;26;15;20;16;11;7;17;2;5944090
2;5944090;2;14;1;9;6;23;18;5;3;24;8;4;12;13;22;19;25;10;21;26;15;20;16;11;7;17
2;14;1;9;8;23;18;5;3;24;6;4;12;13;22;19;25;10;21;26;15;20;16;11;7;17;2;5946869
2;5946869;2;14;1;9;8;23;18;5;3;24;6;4;12;13;22;19;25;10;21;26;15;20;16;11;7;17
2;14;1;9;8;23;18;5;3;24;6;22;12;13;4;19;25;10;21;26;15;20;16;11;7;17;2;5940851
2;5940851;2;14;1;9;8;23;18;5;3;24;6;22;12;13;4;19;25;10;21;26;15;20;16;11;7;17
2;14;1;9;8;23;18;5;3;24;6;20;12;13;4;19;25;10;21;26;15;22;16;11;7;17;2;5864143
2;5864143;2;14;1;9;8;23;18;5;3;24;6;20;12;13;4;19;25;10;21;26;15;22;16;11;7;17
2;14;1;7;8;23;18;5;3;24;6;20;12;13;4;19;25;10;21;26;15;22;16;11;9;17;2;5879396
2;5879396;2;14;1;7;8;23;18;5;3;24;6;20;12;13;4;19;25;10;21;26;15;22;16;11;9;17
11;14;1;7;8;23;18;5;3;24;6;20;12;13;4;19;25;10;21;26;15;22;16;2;9;17;2;5881339
2;5881339;11;14;1;7;8;23;18;5;3;24;6;20;12;13;4;19;25;10;21;26;15;22;16;2;9;17
11;14;5;7;8;23;18;1;3;24;6;20;12;13;4;19;25;10;21;26;15;22;16;2;9;17;2;5911546
2;5911546;11;14;5;7;8;23;18;1;3;24;6;20;12;13;4;19;25;10;21;26;15;22;16;2;9;17
11;14;5;7;8;23;18;1;3;24;9;20;12;13;4;19;25;10;21;26;15;22;16;2;6;17;2;5921572
2;5921572;11;14;5;7;8;23;18;1;3;24;9;20;12;13;4;19;25;10;21;26;15;22;16;2;6;17
11;14;5;7;8;23;18;1;3;24;9;20;12;13;10;19;25;4;21;26;15;22;16;2;6;17;2;5866342
2;5866342;11;14;5;7;8;23;18;1;3;24;9;20;12;13;10;19;25;4;21;26;15;22;16;2;6;17
11;14;5;7;8;23;18;1;3;24;9;20;12;13;10;19;25;4;21;26;15;22;16;6;2;17;2;5851566
3;5851566;11;14;5;7;8;23;18;1;3;24;9;20;12;13;10;19;25;4;21;26;15;22;16;6;2;17
11;14;5;7;6;23;18;1;3;24;9;20;12;13;10;19;25;4;21;26;15;22;16;8;2;17;3;5855644
3;5855644;11;14;5;7;6;23;18;1;3;24;9;20;12;13;10;19;25;4;21;26;15;22;16;8;2;17
11;14;5;7;6;23;18;1;3;24;9;20;22;13;10;19;25;4;21;26;15;12;16;8;2;17;3;5898873
3;5898873;11;14;5;7;6;23;18;1;3;24;9;20;22;13;10;19;25;4;21;26;15;12;16;8;2;17
11;14;5;7;6;23;18;1;3;24;9;20;2;13;10;19;25;4;21;26;15;12;16;8;22;17;3;5887773
3;5887773;11;14;5;7;6;23;18;1;3;24;9;20;2;13;10;19;25;4;21;26;15;12;16;8;22;17
11;2;5;7;6;23;18;1;3;24;9;20;14;13;10;19;25;4;21;26;15;12;16;8;22;17;3;5853900
3;5853900;11;2;5;7;6;23;18;1;3;24;9;20;14;13;10;19;25;4;21;26;15;12;16;8;22;17
11;2;5;7;6;23;18;1;3;24;9;20;14;13;10;19;25;4;21;17;15;12;16;8;22;26;3;5838860
3;5838860;11;2;5;7;6;23;18;1;3;24;9;20;14;13;10;19;25;4;21;17;15;12;16;8;22;26
11;2;5;7;6;23;18;1;3;24;9;20;14;4;10;19;25;13;21;17;15;12;16;8;22;26;3;5866127
3;5866127;11;2;5;7;6;23;18;1;3;24;9;20;14;4;10;19;25;13;21;17;15;12;16;8;22;26
11;2;5;7;16;23;18;1;3;24;9;20;14;4;10;19;25;13;21;17;15;12;6;8;22;26;3;5869172
3;5869172;11;2;5;7;16;23;18;1;3;24;9;20;14;4;10;19;25;13;21;17;15;12;6;8;22;26
11;2;5;7;16;25;18;1;3;24;9;20;14;4;10;19;23;13;21;17;15;12;6;8;22;26;3;5867589
3;5867589;11;2;5;7;16;25;18;1;3;24;9;20;14;4;10;19;23;13;21;17;15;12;6;8;22;26
11;2;5;7;16;25;24;1;3;18;9;20;14;4;10;19;23;13;21;17;15;12;6;8;22;26;3;5861554
3;5861554;11;2;5;7;16;25;24;1;3;18;9;20;14;4;10;19;23;13;21;17;15;12;6;8;22;26
11;2;5;18;16;25;24;1;3;7;9;20;14;4;10;19;23;13;21;17;15;12;6;8;22;26;3;5942145
3;5942145;11;2;5;18;16;25;24;1;3;7;9;20;14;4;10;19;23;13;21;17;15;12;6;8;22;26
11;2;5;18;16;25;24;1;3;7;9;20;14;4;10;19;8;13;21;17;15;12;6;23;22;26;3;5901548
3;5901548;11;2;5;18;16;25;24;1;3;7;9;20;14;4;10;19;8;13;21;17;15;12;6;23;22;26
11;2;5;18;16;25;24;1;7;3;9;20;14;4;10;19;8;13;21;17;15;12;6;23;22;26;3;5903528
3;5903528;11;2;5;18;16;25;24;1;7;3;9;20;14;4;10;19;8;13;21;17;15;12;6;23;22;26
11;2;5;18;16;25;24;1;7;8;9;20;14;4;10;19;3;13;21;17;15;12;6;23;22;26;3;5941326
3;5941326;11;2;5;18;16;25;24;1;7;8;9;20;14;4;10;19;3;13;21;17;15;12;6;23;22;26
11;2;19;18;16;25;24;1;7;8;9;20;14;4;10;5;3;13;21;17;15;12;6;23;22;26;3;5669961
3;5669961;11;2;19;18;16;25;24;1;7;8;9;20;14;4;10;5;3;13;21;17;15;12;6;23;22;26
10;2;19;18;16;25;24;1;7;8;9;20;14;4;11;5;3;13;21;17;15;12;6;23;22;26;3;5670311
3;5670311;10;2;19;18;16;25;24;1;7;8;9;20;14;4;11;5;3;13;21;17;15;12;6;23;22;26
10;2;24;18;16;25;19;1;7;8;9;20;14;4;11;5;3;13;21;17;15;12;6;23;22;26;3;5691284
3;5691284;10;2;24;18;16;25;19;1;7;8;9;20;14;4;11;5;3;13;21;17;15;12;6;23;22;26
9;2;24;18;16;25;19;1;7;8;10;20;14;4;11;5;3;13;21;17;15;12;6;23;22;26;3;5750287
