"X27";"X12";"X9";"X11";"X32";"X21";"X10";"X24";"X5";"X20";"X25";"X3";"X13";"X4";"X29";"X30";"X2";"X18";"X28";"X26";"X1";"X14";"X23";"X8";"X22";"X6";"X16";"X15";"X17";"X19";"X31";"X7";"generation"
27;12;9;11;32;21;10;24;5;20;25;3;13;4;29;30;2;18;28;26;1;14;23;8;22;6;16;15;17;19;31;7;1
19;27;31;11;14;26;10;1;5;20;25;3;13;4;29;30;2;18;28;22;7;23;9;16;8;21;24;15;32;12;17;6;1
23;17;25;10;13;21;20;2;32;8;9;5;19;3;18;27;7;24;29;15;6;31;1;4;22;30;11;26;12;16;14;28;1
10;32;13;8;25;28;9;16;2;14;27;5;3;19;7;23;18;24;29;15;6;31;1;4;22;30;11;26;12;20;17;21;1
19;27;31;11;14;21;10;24;5;20;25;3;13;4;29;30;2;18;28;26;7;23;9;16;8;15;1;22;32;12;17;6;1
19;27;31;11;14;21;10;24;23;20;25;3;13;4;29;30;2;18;28;26;7;5;9;16;8;15;1;22;32;12;17;6;1
8;9;28;22;31;1;11;20;26;30;27;12;21;29;2;3;15;6;25;18;17;19;4;16;14;5;10;24;13;7;32;23;1
26;20;7;14;10;28;1;9;23;30;27;12;21;29;2;3;15;5;25;18;17;8;4;31;22;13;11;24;6;19;32;16;1
10;32;13;8;25;28;9;16;2;14;23;5;19;3;18;27;7;24;29;15;6;31;1;4;22;30;11;26;17;20;12;21;1
10;32;13;8;25;28;9;16;2;14;23;5;19;3;18;27;7;24;29;15;6;31;1;4;22;30;11;26;12;20;17;21;1
27;12;9;11;32;21;10;3;5;20;25;24;13;4;29;30;2;18;28;26;7;14;23;8;22;6;16;15;17;19;31;1;1
19;27;31;11;23;21;16;7;5;20;25;3;15;4;29;9;2;18;28;13;1;14;30;10;22;26;24;8;32;12;17;6;1
19;27;31;11;14;21;10;24;5;20;25;3;13;4;29;30;2;18;28;26;7;23;9;16;8;15;1;22;32;12;17;6;1
19;27;31;11;14;21;10;24;5;20;25;3;13;4;29;30;2;18;28;26;7;23;9;16;8;15;1;22;32;12;17;6;1
8;29;28;3;18;25;10;19;15;1;31;5;6;2;9;23;24;13;21;17;27;7;14;4;22;30;11;26;12;20;32;16;1
10;32;28;22;18;25;11;20;26;1;31;30;12;2;9;4;24;13;21;17;6;23;14;27;8;5;7;3;19;16;15;29;1
20;12;6;8;25;28;9;16;2;14;23;5;19;3;18;27;7;4;21;13;1;11;30;10;22;26;24;15;17;32;31;29;1
10;32;13;8;25;28;9;16;2;14;23;6;19;3;18;27;7;11;29;30;5;31;1;4;22;26;24;15;12;20;17;21;1
1;12;25;11;22;28;20;2;32;8;9;26;6;19;30;24;16;13;21;17;27;7;14;23;3;5;10;15;4;18;31;29;1
8;29;28;22;18;25;11;20;26;1;9;5;6;19;7;23;24;13;21;17;27;31;14;4;3;30;10;15;12;2;32;16;1
9;27;31;11;14;21;10;24;5;20;25;2;19;3;18;32;7;16;29;15;6;13;1;4;22;30;8;26;12;23;17;28;1
10;32;13;8;25;28;9;16;2;14;23;5;19;3;18;27;7;24;29;15;4;20;31;21;6;26;1;22;30;12;17;11;1
26;20;7;14;10;28;11;4;23;30;27;12;21;29;2;3;13;6;25;18;17;19;9;16;8;15;1;22;5;24;31;32;1
19;27;17;11;14;21;10;24;5;20;25;3;13;4;29;30;2;18;28;26;7;23;9;16;12;15;1;22;32;8;31;6;1
19;27;31;1;14;21;10;24;5;20;25;3;13;4;29;30;2;18;28;22;7;23;9;16;8;15;11;26;12;32;17;6;1
16;20;13;30;25;29;11;4;2;14;31;5;19;3;24;27;21;18;28;26;7;23;9;10;8;15;1;22;32;12;17;6;1
10;32;19;8;23;24;9;16;5;20;25;3;13;4;29;30;2;18;28;15;6;31;1;7;22;27;11;26;12;14;17;21;1
19;27;23;11;14;21;10;24;5;20;25;3;13;4;29;30;2;18;28;26;6;31;1;16;8;15;9;22;32;12;17;7;1
