"X28L";"X10L";"X32L";"X26L";"X22L";"X13L";"X18L";"X24L";"X9L";"X31L";"X4L";"X21L";"X11L";"X20L";"X5L";"X17L";"X23L";"X3L";"X30L";"X16L";"X2L";"X15L";"X12L";"X6L";"X7L";"X25L";"X27L";"X14L";"X1L";"X19L";"X8L";"X29L"
28;10;32;26;22;13;18;24;9;31;4;21;11;20;5;17;23;3;30;16;2;15;12;6;7;25;27;14;1;19;8;29
28;10;32;26;22;13;18;24;9;31;4;21;11;20;1;17;23;3;30;16;2;15;12;6;7;25;27;14;5;19;8;29
28;10;32;26;22;13;18;24;9;31;4;21;11;20;1;17;23;3;30;16;2;15;12;6;7;25;27;14;5;19;8;29
28;10;32;26;22;13;18;24;9;31;4;21;11;20;1;17;23;3;27;16;2;15;12;6;7;25;30;14;5;19;8;29
28;10;32;26;22;13;18;24;9;31;4;21;11;20;1;17;23;3;27;16;2;15;12;6;7;25;30;14;5;19;8;29
28;10;32;26;22;13;18;24;9;31;4;21;6;20;1;17;23;3;27;16;2;15;12;11;7;25;30;14;5;19;8;29
28;10;32;26;22;13;18;24;9;31;4;21;6;20;1;17;23;3;27;16;2;15;12;11;7;25;30;14;5;19;8;29
28;10;32;26;22;24;18;13;9;31;4;21;6;20;1;17;23;3;27;16;2;15;12;11;7;25;30;14;5;19;8;29
28;10;32;26;22;24;18;13;9;31;4;21;6;20;1;17;23;3;27;16;2;15;12;11;7;25;30;14;5;19;8;29
28;10;32;26;22;24;18;13;9;3;4;21;6;20;1;17;23;31;27;16;2;15;12;11;7;25;30;14;5;19;8;29
28;10;32;26;22;24;18;13;9;3;4;21;6;20;1;17;23;31;27;16;2;15;12;11;7;25;30;14;5;19;8;29
22;10;32;26;28;24;18;13;9;3;4;21;6;20;1;17;23;31;27;16;2;15;12;11;7;25;30;14;5;19;8;29
22;10;32;26;28;24;18;13;9;3;4;21;6;20;1;17;23;31;27;16;2;15;12;11;7;25;30;14;5;19;8;29
22;6;32;26;28;24;18;13;9;3;4;21;10;20;1;17;23;31;27;16;2;15;12;11;7;25;30;14;5;19;8;29
22;6;32;26;28;24;18;13;9;3;4;21;10;20;1;17;23;31;27;16;2;15;12;11;7;25;30;14;5;19;8;29
22;5;32;26;28;24;18;13;9;3;4;21;10;20;1;17;23;31;27;16;2;15;12;11;7;25;30;14;6;19;8;29
22;5;32;26;28;24;18;13;9;3;4;21;10;20;1;17;23;31;27;16;2;15;12;11;7;25;30;14;6;19;8;29
