"X1";"X53294";"X8";"X12";"X2";"X10";"X1.1";"X5";"X4";"X9";"X11";"X6";"X3";"X7"
1;53294;8;12;2;10;1;5;4;9;11;6;3;7
8;6;2;10;1;5;4;9;11;12;3;7;1;41356
1;41356;8;6;2;10;1;5;4;9;11;12;3;7
8;6;2;10;1;5;4;9;11;7;3;12;1;41740
1;41740;8;6;2;10;1;5;4;9;11;7;3;12
11;6;2;10;1;5;4;9;8;7;3;12;1;36304
1;36304;11;6;2;10;1;5;4;9;8;7;3;12
11;6;2;10;1;5;7;9;8;4;3;12;1;39980
1;39980;11;6;2;10;1;5;7;9;8;4;3;12
11;6;12;10;1;5;7;9;8;4;3;2;1;35360
1;35360;11;6;12;10;1;5;7;9;8;4;3;2
11;8;12;10;1;5;7;9;6;4;3;2;1;33768
1;33768;11;8;12;10;1;5;7;9;6;4;3;2
11;8;10;12;1;5;7;9;6;4;3;2;1;32056
1;32056;11;8;10;12;1;5;7;9;6;4;3;2
11;8;3;12;1;5;7;9;6;4;10;2;1;31846
1;31846;11;8;3;12;1;5;7;9;6;4;10;2
11;8;3;12;1;6;7;9;5;4;10;2;1;34218
1;34218;11;8;3;12;1;6;7;9;5;4;10;2
11;8;3;12;1;6;7;5;9;4;10;2;1;45814
1;45814;11;8;3;12;1;6;7;5;9;4;10;2
11;8;3;12;6;1;7;5;9;4;10;2;1;38244
1;38244;11;8;3;12;6;1;7;5;9;4;10;2
11;8;3;10;6;1;7;5;9;4;12;2;1;38838
1;38838;11;8;3;10;6;1;7;5;9;4;12;2
11;10;3;8;6;1;7;5;9;4;12;2;1;43216
1;43216;11;10;3;8;6;1;7;5;9;4;12;2
11;10;3;8;6;1;7;5;2;4;12;9;1;43452
1;43452;11;10;3;8;6;1;7;5;2;4;12;9
11;10;3;8;6;5;7;1;2;4;12;9;1;31928
1;31928;11;10;3;8;6;5;7;1;2;4;12;9
11;10;3;8;6;5;7;1;4;2;12;9;1;36548
1;36548;11;10;3;8;6;5;7;1;4;2;12;9
11;10;3;8;6;1;7;5;4;2;12;9;1;45550
1;45550;11;10;3;8;6;1;7;5;4;2;12;9
11;10;9;8;6;1;7;5;4;2;12;3;1;48978
1;48978;11;10;9;8;6;1;7;5;4;2;12;3
11;10;9;8;6;3;7;5;4;2;12;1;1;53974
1;48978;11;10;9;8;6;1;7;5;4;2;12;3
4;10;9;8;6;1;7;5;11;2;12;3;1;43314
2;43314;4;10;9;8;6;1;7;5;11;2;12;3
4;10;8;9;6;1;7;5;11;2;12;3;2;44228
2;44228;4;10;8;9;6;1;7;5;11;2;12;3
4;10;1;9;6;8;7;5;11;2;12;3;2;40118
2;40118;4;10;1;9;6;8;7;5;11;2;12;3
4;10;7;9;6;8;1;5;11;2;12;3;2;38790
2;38790;4;10;7;9;6;8;1;5;11;2;12;3
4;10;12;9;6;8;1;5;11;2;7;3;2;48518
2;38790;4;10;7;9;6;8;1;5;11;2;12;3
4;10;6;9;7;8;1;5;11;2;12;3;2;46198
2;46198;4;10;6;9;7;8;1;5;11;2;12;3
4;10;6;9;7;8;1;12;11;2;5;3;2;34116
2;34116;4;10;6;9;7;8;1;12;11;2;5;3
10;4;6;9;7;8;1;12;11;2;5;3;2;38116
2;38116;10;4;6;9;7;8;1;12;11;2;5;3
10;9;6;4;7;8;1;12;11;2;5;3;2;40964
2;40964;10;9;6;4;7;8;1;12;11;2;5;3
10;9;8;4;7;6;1;12;11;2;5;3;2;38534
2;38534;10;9;8;4;7;6;1;12;11;2;5;3
10;9;8;7;4;6;1;12;11;2;5;3;2;40014
2;40014;10;9;8;7;4;6;1;12;11;2;5;3
3;9;8;7;4;6;1;12;11;2;5;10;2;39688
2;39688;3;9;8;7;4;6;1;12;11;2;5;10
3;9;7;8;4;6;1;12;11;2;5;10;2;37220
2;37220;3;9;7;8;4;6;1;12;11;2;5;10
3;12;7;8;4;6;1;9;11;2;5;10;2;35180
2;35180;3;12;7;8;4;6;1;9;11;2;5;10
3;9;7;8;4;6;1;12;11;2;5;10;2;37220
2;37220;3;9;7;8;4;6;1;12;11;2;5;10
3;9;7;8;10;6;1;12;11;2;5;4;2;39994
2;39994;3;9;7;8;10;6;1;12;11;2;5;4
3;9;7;8;10;11;1;12;6;2;5;4;2;43592
2;43592;3;9;7;8;10;11;1;12;6;2;5;4
3;9;6;8;10;11;1;12;7;2;5;4;2;44242
2;44242;3;9;6;8;10;11;1;12;7;2;5;4
3;9;6;8;10;11;2;12;7;1;5;4;2;54176
2;44242;3;9;6;8;10;11;1;12;7;2;5;4
3;9;6;8;10;11;1;12;7;4;5;2;2;53650
2;53650;3;9;6;8;10;11;1;12;7;4;5;2
3;2;6;8;10;11;1;12;7;4;5;9;2;61558
3;61558;3;2;6;8;10;11;1;12;7;4;5;9
3;2;6;8;10;11;1;12;4;7;5;9;3;57322
3;57322;3;2;6;8;10;11;1;12;4;7;5;9
3;2;6;7;10;11;1;12;4;8;5;9;3;65876
3;65876;3;2;6;7;10;11;1;12;4;8;5;9
6;2;3;7;10;11;1;12;4;8;5;9;3;64314
3;64314;6;2;3;7;10;11;1;12;4;8;5;9
3;2;6;7;10;11;1;12;4;8;5;9;3;65876
3;65876;3;2;6;7;10;11;1;12;4;8;5;9
3;2;6;7;10;12;1;11;4;8;5;9;3;44774
3;44774;3;2;6;7;10;12;1;11;4;8;5;9
3;2;6;7;12;10;1;11;4;8;5;9;3;46280
3;46280;3;2;6;7;12;10;1;11;4;8;5;9
5;2;6;7;12;10;1;11;4;8;3;9;3;43184
3;43184;5;2;6;7;12;10;1;11;4;8;3;9
5;2;6;7;12;9;1;11;4;8;3;10;3;39210
3;39210;5;2;6;7;12;9;1;11;4;8;3;10
6;2;5;7;12;9;1;11;4;8;3;10;3;33508
3;33508;6;2;5;7;12;9;1;11;4;8;3;10
6;2;1;7;12;9;5;11;4;8;3;10;3;34980
3;34980;6;2;1;7;12;9;5;11;4;8;3;10
6;2;1;7;5;9;12;11;4;8;3;10;3;39432
3;39432;6;2;1;7;5;9;12;11;4;8;3;10
6;2;1;7;9;5;12;11;4;8;3;10;3;46988
3;46988;6;2;1;7;9;5;12;11;4;8;3;10
6;2;1;7;9;5;12;3;4;8;11;10;3;59762
3;59762;6;2;1;7;9;5;12;3;4;8;11;10
6;4;1;7;9;5;12;3;2;8;11;10;3;52642
