"X1";"X40454";"X5";"X7";"X6";"X8";"X12";"X2";"X1.1";"X10";"X4";"X11";"X9";"X3"
1;40454;5;7;6;8;12;2;1;10;4;11;9;3
5;7;6;9;12;2;1;10;4;11;8;3;1;42790
1;42790;5;7;6;9;12;2;1;10;4;11;8;3
5;7;6;9;12;2;1;10;11;4;8;3;1;34762
1;34762;5;7;6;9;12;2;1;10;11;4;8;3
5;7;6;9;12;10;1;2;11;4;8;3;1;29032
1;29032;5;7;6;9;12;10;1;2;11;4;8;3
5;7;6;9;12;10;1;2;3;4;8;11;1;35450
1;35450;5;7;6;9;12;10;1;2;3;4;8;11
8;7;6;9;12;10;1;2;3;4;5;11;1;44934
1;35450;5;7;6;9;12;10;1;2;3;4;8;11
1;7;6;9;12;10;5;2;3;4;8;11;1;37686
1;37686;1;7;6;9;12;10;5;2;3;4;8;11
1;7;6;2;12;10;5;9;3;4;8;11;1;35452
1;35452;1;7;6;2;12;10;5;9;3;4;8;11
1;7;6;12;2;10;5;9;3;4;8;11;1;33092
1;33092;1;7;6;12;2;10;5;9;3;4;8;11
1;7;6;12;2;3;5;9;10;4;8;11;1;38232
1;38232;1;7;6;12;2;3;5;9;10;4;8;11
1;7;6;10;2;3;5;9;12;4;8;11;1;38592
1;38592;1;7;6;10;2;3;5;9;12;4;8;11
1;7;6;10;9;3;5;2;12;4;8;11;1;42546
1;42546;1;7;6;10;9;3;5;2;12;4;8;11
1;7;6;10;9;3;5;2;8;4;12;11;1;42552
1;42552;1;7;6;10;9;3;5;2;8;4;12;11
1;7;6;10;9;11;5;2;8;4;12;3;1;38620
1;38620;1;7;6;10;9;11;5;2;8;4;12;3
11;7;6;10;9;1;5;2;8;4;12;3;1;36404
1;36404;11;7;6;10;9;1;5;2;8;4;12;3
11;3;6;10;9;1;5;2;8;4;12;7;1;45814
1;45814;11;3;6;10;9;1;5;2;8;4;12;7
3;11;6;10;9;1;5;2;8;4;12;7;1;48512
1;48512;3;11;6;10;9;1;5;2;8;4;12;7
3;11;6;12;9;1;5;2;8;4;10;7;1;44660
1;44660;3;11;6;12;9;1;5;2;8;4;10;7
3;11;6;12;9;1;5;2;7;4;10;8;1;44108
1;44108;3;11;6;12;9;1;5;2;7;4;10;8
3;11;8;12;9;1;5;2;7;4;10;6;1;40236
1;40236;3;11;8;12;9;1;5;2;7;4;10;6
4;11;8;12;9;1;5;2;7;3;10;6;1;54082
2;54082;4;11;8;12;9;1;5;2;7;3;10;6
2;11;8;12;9;1;5;4;7;3;10;6;2;43196
2;43196;2;11;8;12;9;1;5;4;7;3;10;6
2;8;11;12;9;1;5;4;7;3;10;6;2;40572
2;40572;2;8;11;12;9;1;5;4;7;3;10;6
2;8;11;12;3;1;5;4;7;9;10;6;2;42546
2;42546;2;8;11;12;3;1;5;4;7;9;10;6
