"X1";"X54060";"X3";"X8";"X7";"X10";"X6";"X1.1";"X12";"X11";"X5";"X4";"X9";"X2"
1;54060;3;8;7;10;6;1;12;11;5;4;9;2
3;8;5;10;6;1;12;11;7;4;9;2;1;51018
1;51018;3;8;5;10;6;1;12;11;7;4;9;2
3;8;5;10;2;1;12;11;7;4;9;6;1;47252
1;47252;3;8;5;10;2;1;12;11;7;4;9;6
3;8;5;10;2;1;12;9;7;4;11;6;1;44790
1;44790;3;8;5;10;2;1;12;9;7;4;11;6
3;4;5;10;2;1;12;9;7;8;11;6;1;39808
1;39808;3;4;5;10;2;1;12;9;7;8;11;6
3;9;5;10;2;1;12;4;7;8;11;6;1;57552
1;39808;3;4;5;10;2;1;12;9;7;8;11;6
3;4;5;7;2;1;12;9;10;8;11;6;1;40498
1;40498;3;4;5;7;2;1;12;9;10;8;11;6
3;4;5;7;2;1;12;9;6;8;11;10;1;33366
1;33366;3;4;5;7;2;1;12;9;6;8;11;10
3;4;5;12;2;1;7;9;6;8;11;10;1;29904
1;29904;3;4;5;12;2;1;7;9;6;8;11;10
3;4;6;12;2;1;7;9;5;8;11;10;1;35424
1;35424;3;4;6;12;2;1;7;9;5;8;11;10
3;4;2;12;6;1;7;9;5;8;11;10;1;33480
1;33480;3;4;2;12;6;1;7;9;5;8;11;10
3;4;11;12;6;1;7;9;5;8;2;10;1;39510
1;39510;3;4;11;12;6;1;7;9;5;8;2;10
8;4;11;12;6;1;7;9;5;3;2;10;1;47746
1;47746;8;4;11;12;6;1;7;9;5;3;2;10
8;4;11;7;6;1;12;9;5;3;2;10;1;45908
1;45908;8;4;11;7;6;1;12;9;5;3;2;10
8;4;11;7;6;1;5;9;12;3;2;10;1;42172
1;42172;8;4;11;7;6;1;5;9;12;3;2;10
8;4;11;3;6;1;5;9;12;7;2;10;1;31162
1;31162;8;4;11;3;6;1;5;9;12;7;2;10
8;4;11;6;3;1;5;9;12;7;2;10;1;31602
1;31602;8;4;11;6;3;1;5;9;12;7;2;10
3;4;11;6;8;1;5;9;12;7;2;10;1;30894
1;30894;3;4;11;6;8;1;5;9;12;7;2;10
3;4;11;6;8;1;5;12;9;7;2;10;1;30516
1;30516;3;4;11;6;8;1;5;12;9;7;2;10
3;4;6;11;8;1;5;12;9;7;2;10;1;32978
1;32978;3;4;6;11;8;1;5;12;9;7;2;10
3;4;6;11;8;1;5;12;9;2;7;10;1;35228
2;32978;3;4;6;11;8;1;5;12;9;7;2;10
3;4;6;11;8;1;5;12;10;7;2;9;2;35152
2;35152;3;4;6;11;8;1;5;12;10;7;2;9
3;4;6;11;8;1;12;5;10;7;2;9;2;28408
2;28408;3;4;6;11;8;1;12;5;10;7;2;9
3;7;6;11;8;1;12;5;10;4;2;9;2;49120
2;49120;3;7;6;11;8;1;12;5;10;4;2;9
3;7;11;6;8;1;12;5;10;4;2;9;2;47518
2;47518;3;7;11;6;8;1;12;5;10;4;2;9
3;7;11;6;8;1;12;4;10;5;2;9;2;52420
2;52420;3;7;11;6;8;1;12;4;10;5;2;9
3;7;11;6;8;1;12;9;10;5;2;4;2;49486
2;49486;3;7;11;6;8;1;12;9;10;5;2;4
