"X1";"X34200";"X12";"X7";"X10";"X8";"X1.1";"X5";"X2";"X4";"X6";"X3";"X11";"X9"
1;34200;12;7;10;8;1;5;2;4;6;3;11;9
6;7;10;8;1;5;2;4;12;3;11;9;1;42120
1;34200;12;7;10;8;1;5;2;4;6;3;11;9
12;7;10;8;1;6;2;4;5;3;11;9;1;50506
1;50506;12;7;10;8;1;6;2;4;5;3;11;9
12;8;10;7;1;6;2;4;5;3;11;9;1;49052
1;49052;12;8;10;7;1;6;2;4;5;3;11;9
12;8;10;7;1;11;2;4;5;3;6;9;1;45316
1;45316;12;8;10;7;1;11;2;4;5;3;6;9
1;8;10;7;12;11;2;4;5;3;6;9;1;34368
1;34368;1;8;10;7;12;11;2;4;5;3;6;9
1;8;10;7;12;6;2;4;5;3;11;9;1;38104
1;38104;1;8;10;7;12;6;2;4;5;3;11;9
1;8;7;10;12;6;2;4;5;3;11;9;1;37520
1;37520;1;8;7;10;12;6;2;4;5;3;11;9
1;8;7;4;12;6;2;10;5;3;11;9;1;44494
1;44494;1;8;7;4;12;6;2;10;5;3;11;9
2;8;7;4;12;6;1;10;5;3;11;9;1;47082
1;47082;2;8;7;4;12;6;1;10;5;3;11;9
2;8;7;4;9;6;1;10;5;3;11;12;1;46552
1;46552;2;8;7;4;9;6;1;10;5;3;11;12
2;8;7;9;4;6;1;10;5;3;11;12;1;46552
1;46552;2;8;7;9;4;6;1;10;5;3;11;12
2;8;7;9;11;6;1;10;5;3;4;12;1;55440
1;46552;2;8;7;9;4;6;1;10;5;3;11;12
11;8;7;9;4;6;1;10;5;3;2;12;1;43684
1;43684;11;8;7;9;4;6;1;10;5;3;2;12
11;8;7;9;6;4;1;10;5;3;2;12;1;35254
1;35254;11;8;7;9;6;4;1;10;5;3;2;12
11;12;7;9;6;4;1;10;5;3;2;8;1;43936
1;43936;11;12;7;9;6;4;1;10;5;3;2;8
11;12;7;9;5;4;1;10;6;3;2;8;1;42348
1;42348;11;12;7;9;5;4;1;10;6;3;2;8
11;12;1;9;5;4;7;10;6;3;2;8;1;42340
1;42340;11;12;1;9;5;4;7;10;6;3;2;8
11;4;1;9;5;12;7;10;6;3;2;8;1;51384
1;51384;11;4;1;9;5;12;7;10;6;3;2;8
4;11;1;9;5;12;7;10;6;3;2;8;1;46668
1;46668;4;11;1;9;5;12;7;10;6;3;2;8
4;11;1;9;5;12;7;10;3;6;2;8;1;45438
2;45438;4;11;1;9;5;12;7;10;3;6;2;8
12;11;1;9;5;4;7;10;3;6;2;8;2;44888
2;44888;12;11;1;9;5;4;7;10;3;6;2;8
12;11;1;9;5;4;7;10;2;6;3;8;2;44916
2;44916;12;11;1;9;5;4;7;10;2;6;3;8
12;11;1;9;10;4;7;5;2;6;3;8;2;49040
2;49040;12;11;1;9;10;4;7;5;2;6;3;8
12;11;1;9;10;4;3;5;2;6;7;8;2;48886
2;48886;12;11;1;9;10;4;3;5;2;6;7;8
5;11;1;9;10;4;3;12;2;6;7;8;2;37176
2;37176;5;11;1;9;10;4;3;12;2;6;7;8
5;11;1;9;10;4;12;3;2;6;7;8;2;50092
2;50092;5;11;1;9;10;4;12;3;2;6;7;8
5;11;1;2;10;4;12;3;9;6;7;8;2;51030
2;51030;5;11;1;2;10;4;12;3;9;6;7;8
5;11;1;2;12;4;10;3;9;6;7;8;2;52134
2;52134;5;11;1;2;12;4;10;3;9;6;7;8
3;11;1;2;12;4;10;5;9;6;7;8;2;52778
2;52778;3;11;1;2;12;4;10;5;9;6;7;8
3;11;1;5;12;4;10;2;9;6;7;8;2;47992
2;47992;3;11;1;5;12;4;10;2;9;6;7;8
2;11;1;5;12;4;10;3;9;6;7;8;2;61554
2;47992;3;11;1;5;12;4;10;2;9;6;7;8
3;11;1;5;12;4;10;2;9;7;6;8;2;44862
2;44862;3;11;1;5;12;4;10;2;9;7;6;8
3;10;1;5;12;4;11;2;9;7;6;8;2;44110
2;44110;3;10;1;5;12;4;11;2;9;7;6;8
3;10;1;5;2;4;11;12;9;7;6;8;2;48202
2;48202;3;10;1;5;2;4;11;12;9;7;6;8
3;4;1;5;2;10;11;12;9;7;6;8;2;41056
2;41056;3;4;1;5;2;10;11;12;9;7;6;8
3;4;1;5;11;10;2;12;9;7;6;8;2;38902
2;38902;3;4;1;5;11;10;2;12;9;7;6;8
1;4;3;5;11;10;2;12;9;7;6;8;2;42268
2;42268;1;4;3;5;11;10;2;12;9;7;6;8
1;6;3;5;11;10;2;12;9;7;4;8;2;51546
2;51546;1;6;3;5;11;10;2;12;9;7;4;8
1;6;3;5;4;10;2;12;9;7;11;8;2;49942
2;49942;1;6;3;5;4;10;2;12;9;7;11;8
1;6;3;5;4;11;2;12;9;7;10;8;2;41838
3;41838;1;6;3;5;4;11;2;12;9;7;10;8
1;7;3;5;4;11;2;12;9;6;10;8;3;37706
3;37706;1;7;3;5;4;11;2;12;9;6;10;8
1;7;3;10;4;11;2;12;9;6;5;8;3;36470
3;36470;1;7;3;10;4;11;2;12;9;6;5;8
1;7;3;10;4;11;2;12;9;8;5;6;3;45302
3;45302;1;7;3;10;4;11;2;12;9;8;5;6
