"X1";"X5933195";"X14";"X21";"X18";"X11";"X22";"X4";"X5";"X7";"X24";"X9";"X19";"X10";"X8";"X13";"X17";"X15";"X12";"X6";"X2";"X3";"X1.1";"X25";"X26";"X20";"X23";"X16"
1;5933195;14;21;18;11;22;4;5;7;24;9;19;10;8;13;17;15;12;6;2;3;1;25;26;20;23;16
14;21;20;11;22;4;5;7;24;9;19;10;8;13;17;15;12;6;2;3;1;25;26;18;23;16;1;5921827
1;5921827;14;21;20;11;22;4;5;7;24;9;19;10;8;13;17;15;12;6;2;3;1;25;26;18;23;16
14;21;20;11;22;4;5;7;26;9;19;10;8;13;17;15;12;6;2;3;1;25;24;18;23;16;1;5915340
1;5915340;14;21;20;11;22;4;5;7;26;9;19;10;8;13;17;15;12;6;2;3;1;25;24;18;23;16
14;21;20;11;22;4;5;7;10;9;19;26;8;13;17;15;12;6;2;3;1;25;24;18;23;16;1;5909272
1;5909272;14;21;20;11;22;4;5;7;10;9;19;26;8;13;17;15;12;6;2;3;1;25;24;18;23;16
18;21;20;11;22;4;5;7;10;9;19;26;8;13;17;15;12;6;2;3;1;25;24;14;23;16;1;5913479
1;5913479;18;21;20;11;22;4;5;7;10;9;19;26;8;13;17;15;12;6;2;3;1;25;24;14;23;16
18;21;20;11;22;4;5;7;3;9;19;26;8;13;17;15;12;6;2;10;1;25;24;14;23;16;1;5895061
1;5895061;18;21;20;11;22;4;5;7;3;9;19;26;8;13;17;15;12;6;2;10;1;25;24;14;23;16
18;21;12;11;22;4;5;7;3;9;19;26;8;13;17;15;20;6;2;10;1;25;24;14;23;16;1;5859898
1;5859898;18;21;12;11;22;4;5;7;3;9;19;26;8;13;17;15;20;6;2;10;1;25;24;14;23;16
18;21;12;11;22;4;5;7;3;19;9;26;8;13;17;15;20;6;2;10;1;25;24;14;23;16;1;5857895
1;5857895;18;21;12;11;22;4;5;7;3;19;9;26;8;13;17;15;20;6;2;10;1;25;24;14;23;16
18;21;12;11;22;4;5;7;3;19;9;1;8;13;17;15;20;6;2;10;26;25;24;14;23;16;1;5795351
1;5795351;18;21;12;11;22;4;5;7;3;19;9;1;8;13;17;15;20;6;2;10;26;25;24;14;23;16
18;21;13;11;22;4;5;7;3;19;9;1;8;12;17;15;20;6;2;10;26;25;24;14;23;16;1;5791460
1;5791460;18;21;13;11;22;4;5;7;3;19;9;1;8;12;17;15;20;6;2;10;26;25;24;14;23;16
18;21;13;11;22;4;5;7;3;19;9;23;8;12;17;15;20;6;2;10;26;25;24;14;1;16;1;5784112
1;5784112;18;21;13;11;22;4;5;7;3;19;9;23;8;12;17;15;20;6;2;10;26;25;24;14;1;16
18;21;13;11;22;4;5;7;3;19;9;15;8;12;17;23;20;6;2;10;26;25;24;14;1;16;1;5804672
1;5804672;18;21;13;11;22;4;5;7;3;19;9;15;8;12;17;23;20;6;2;10;26;25;24;14;1;16
18;21;13;11;22;4;5;26;3;19;9;15;8;12;17;23;20;6;2;10;7;25;24;14;1;16;1;5795243
1;5795243;18;21;13;11;22;4;5;26;3;19;9;15;8;12;17;23;20;6;2;10;7;25;24;14;1;16
18;21;13;11;22;4;5;26;3;19;9;15;8;12;17;23;20;6;2;1;7;25;24;14;10;16;1;5868176
