"X1";"X32470";"X1.1";"X11";"X12";"X10";"X7";"X9";"X3";"X2";"X5";"X4";"X8";"X6"
1;32470;1;11;12;10;7;9;3;2;5;4;8;6
1;11;12;9;7;10;3;2;5;4;8;6;1;40658
1;40658;1;11;12;9;7;10;3;2;5;4;8;6
1;2;12;9;7;10;3;11;5;4;8;6;1;40042
1;40042;1;2;12;9;7;10;3;11;5;4;8;6
1;12;2;9;7;10;3;11;5;4;8;6;1;59346
1;40042;1;2;12;9;7;10;3;11;5;4;8;6
1;4;12;9;7;10;3;11;5;2;8;6;1;44462
1;44462;1;4;12;9;7;10;3;11;5;2;8;6
1;4;12;9;7;10;3;11;8;2;5;6;1;44454
1;44454;1;4;12;9;7;10;3;11;8;2;5;6
1;9;12;4;7;10;3;11;8;2;5;6;1;54372
1;54372;1;9;12;4;7;10;3;11;8;2;5;6
3;9;12;4;7;10;1;11;8;2;5;6;1;57580
1;57580;3;9;12;4;7;10;1;11;8;2;5;6
3;9;12;4;1;10;7;11;8;2;5;6;1;54220
1;54220;3;9;12;4;1;10;7;11;8;2;5;6
3;9;12;4;10;1;7;11;8;2;5;6;1;57506
1;57506;3;9;12;4;10;1;7;11;8;2;5;6
8;9;12;4;10;1;7;11;3;2;5;6;1;48944
1;48944;8;9;12;4;10;1;7;11;3;2;5;6
8;6;12;4;10;1;7;11;3;2;5;9;1;47990
1;47990;8;6;12;4;10;1;7;11;3;2;5;9
8;6;12;4;10;1;7;11;2;3;5;9;1;50310
1;50310;8;6;12;4;10;1;7;11;2;3;5;9
8;6;12;11;10;1;7;4;2;3;5;9;1;44968
1;44968;8;6;12;11;10;1;7;4;2;3;5;9
8;5;12;11;10;1;7;4;2;3;6;9;1;36144
1;36144;8;5;12;11;10;1;7;4;2;3;6;9
8;5;12;9;10;1;7;4;2;3;6;11;1;36368
1;36368;8;5;12;9;10;1;7;4;2;3;6;11
8;5;6;9;10;1;7;4;2;3;12;11;1;35324
1;35324;8;5;6;9;10;1;7;4;2;3;12;11
8;3;6;9;10;1;7;4;2;5;12;11;1;51302
1;35324;8;5;6;9;10;1;7;4;2;3;12;11
9;5;6;8;10;1;7;4;2;3;12;11;1;47916
1;47916;9;5;6;8;10;1;7;4;2;3;12;11
9;11;6;8;10;1;7;4;2;3;12;5;1;35712
1;35712;9;11;6;8;10;1;7;4;2;3;12;5
9;4;6;8;10;1;7;11;2;3;12;5;1;37784
2;37784;9;4;6;8;10;1;7;11;2;3;12;5
9;5;6;8;10;1;7;11;2;3;12;4;2;51426
2;37784;9;4;6;8;10;1;7;11;2;3;12;5
9;4;6;8;11;1;7;10;2;3;12;5;2;38706
2;38706;9;4;6;8;11;1;7;10;2;3;12;5
9;12;6;8;11;1;7;10;2;3;4;5;2;50072
2;38706;9;4;6;8;11;1;7;10;2;3;12;5
9;4;6;8;7;1;11;10;2;3;12;5;2;33370
2;33370;9;4;6;8;7;1;11;10;2;3;12;5
2;4;6;8;7;1;11;10;9;3;12;5;2;34456
2;34456;2;4;6;8;7;1;11;10;9;3;12;5
2;4;5;8;7;1;11;10;9;3;12;6;2;40578
2;34456;2;4;6;8;7;1;11;10;9;3;12;5
2;8;6;4;7;1;11;10;9;3;12;5;2;41626
2;34456;2;4;6;8;7;1;11;10;9;3;12;5
2;4;6;8;7;1;3;10;9;11;12;5;2;40858
2;40858;2;4;6;8;7;1;3;10;9;11;12;5
2;1;6;8;7;4;3;10;9;11;12;5;2;40954
2;40954;2;1;6;8;7;4;3;10;9;11;12;5
2;3;6;8;7;4;1;10;9;11;12;5;2;45434
2;45434;2;3;6;8;7;4;1;10;9;11;12;5
2;3;11;8;7;4;1;10;9;6;12;5;2;46308
2;46308;2;3;11;8;7;4;1;10;9;6;12;5
2;3;9;8;7;4;1;10;11;6;12;5;2;46144
2;46144;2;3;9;8;7;4;1;10;11;6;12;5
11;3;9;8;7;4;1;10;2;6;12;5;2;43120
2;43120;11;3;9;8;7;4;1;10;2;6;12;5
11;3;9;10;7;4;1;8;2;6;12;5;2;45202
2;45202;11;3;9;10;7;4;1;8;2;6;12;5
11;3;9;10;7;5;1;8;2;6;12;4;2;39528
2;39528;11;3;9;10;7;5;1;8;2;6;12;4
11;3;9;10;1;5;7;8;2;6;12;4;2;36380
2;36380;11;3;9;10;1;5;7;8;2;6;12;4
11;3;9;12;1;5;7;8;2;6;10;4;2;34452
2;34452;11;3;9;12;1;5;7;8;2;6;10;4
11;3;9;12;1;5;7;6;2;8;10;4;2;36332
2;36332;11;3;9;12;1;5;7;6;2;8;10;4
11;3;9;12;1;5;7;10;2;8;6;4;2;29720
2;29720;11;3;9;12;1;5;7;10;2;8;6;4
11;3;9;7;1;5;12;10;2;8;6;4;2;31364
3;31364;11;3;9;7;1;5;12;10;2;8;6;4
11;3;9;7;1;6;12;10;2;8;5;4;3;48468
3;48468;11;3;9;7;1;6;12;10;2;8;5;4
11;3;9;7;1;12;6;10;2;8;5;4;3;42700
3;42700;11;3;9;7;1;12;6;10;2;8;5;4
3;11;9;7;1;12;6;10;2;8;5;4;3;36160
3;36160;3;11;9;7;1;12;6;10;2;8;5;4
3;11;9;7;1;2;6;10;12;8;5;4;3;46084
3;46084;3;11;9;7;1;2;6;10;12;8;5;4
6;11;9;7;1;2;3;10;12;8;5;4;3;40652
3;40652;6;11;9;7;1;2;3;10;12;8;5;4
6;11;9;7;1;2;3;10;12;5;8;4;3;45574
3;45574;6;11;9;7;1;2;3;10;12;5;8;4
6;11;9;7;1;2;3;10;5;12;8;4;3;55572
3;55572;6;11;9;7;1;2;3;10;5;12;8;4
6;11;9;10;1;2;3;7;5;12;8;4;3;43304
3;43304;6;11;9;10;1;2;3;7;5;12;8;4
6;9;11;10;1;2;3;7;5;12;8;4;3;41532
3;41532;6;9;11;10;1;2;3;7;5;12;8;4
6;9;7;10;1;2;3;11;5;12;8;4;3;40012
3;40012;6;9;7;10;1;2;3;11;5;12;8;4
6;9;4;10;1;2;3;11;5;12;8;7;3;33240
3;33240;6;9;4;10;1;2;3;11;5;12;8;7
10;9;4;6;1;2;3;11;5;12;8;7;3;33910
3;33910;10;9;4;6;1;2;3;11;5;12;8;7
11;9;4;6;1;2;3;10;5;12;8;7;3;42236
3;42236;11;9;4;6;1;2;3;10;5;12;8;7
11;9;4;6;1;12;3;10;5;2;8;7;3;33274
3;33274;11;9;4;6;1;12;3;10;5;2;8;7
7;9;4;6;1;12;3;10;5;2;8;11;3;36974
3;36974;7;9;4;6;1;12;3;10;5;2;8;11
7;9;4;6;1;12;8;10;5;2;3;11;3;36860
3;36860;7;9;4;6;1;12;8;10;5;2;3;11
11;9;4;6;1;12;8;10;5;2;3;7;3;33160
3;33160;11;9;4;6;1;12;8;10;5;2;3;7
11;9;4;6;1;12;8;10;5;2;7;3;3;36052
3;36052;11;9;4;6;1;12;8;10;5;2;7;3
11;9;3;6;1;12;8;10;5;2;7;4;3;34728
3;34728;11;9;3;6;1;12;8;10;5;2;7;4
11;10;3;6;1;12;8;9;5;2;7;4;3;48164
4;34728;11;9;3;6;1;12;8;10;5;2;7;4
11;2;3;6;1;12;8;10;5;9;7;4;4;46444
4;34728;11;9;3;6;1;12;8;10;5;2;7;4
11;9;3;6;1;12;10;8;5;2;7;4;4;41156
4;41156;11;9;3;6;1;12;10;8;5;2;7;4
1;9;3;6;11;12;10;8;5;2;7;4;4;51668
4;51668;1;9;3;6;11;12;10;8;5;2;7;4
1;9;3;11;6;12;10;8;5;2;7;4;4;52708
4;52708;1;9;3;11;6;12;10;8;5;2;7;4
10;9;3;11;6;12;1;8;5;2;7;4;4;49340
4;49340;10;9;3;11;6;12;1;8;5;2;7;4
10;9;3;11;6;12;1;4;5;2;7;8;4;42826
4;42826;10;9;3;11;6;12;1;4;5;2;7;8
10;9;3;11;12;6;1;4;5;2;7;8;4;46434
4;46434;10;9;3;11;12;6;1;4;5;2;7;8
10;9;3;2;12;6;1;4;5;11;7;8;4;46912
4;46912;10;9;3;2;12;6;1;4;5;11;7;8
10;9;3;1;12;6;2;4;5;11;7;8;4;46658
4;46658;10;9;3;1;12;6;2;4;5;11;7;8
7;9;3;1;12;6;2;4;5;11;10;8;4;37434
4;37434;7;9;3;1;12;6;2;4;5;11;10;8
7;9;3;1;6;12;2;4;5;11;10;8;4;41652
4;41652;7;9;3;1;6;12;2;4;5;11;10;8
7;9;3;6;1;12;2;4;5;11;10;8;4;38172
4;38172;7;9;3;6;1;12;2;4;5;11;10;8
7;9;3;6;1;12;2;4;5;8;10;11;4;32796
4;32796;7;9;3;6;1;12;2;4;5;8;10;11
7;8;3;6;1;12;2;4;5;9;10;11;4;50908
4;32796;7;9;3;6;1;12;2;4;5;8;10;11
2;9;3;6;1;12;7;4;5;8;10;11;4;32890
4;32890;2;9;3;6;1;12;7;4;5;8;10;11
2;9;3;7;1;12;6;4;5;8;10;11;4;33630
