"X1";"X5961806";"X20";"X22";"X21";"X8";"X2";"X9";"X25";"X13";"X4";"X19";"X6";"X18";"X10";"X14";"X7";"X12";"X23";"X16";"X15";"X26";"X24";"X5";"X11";"X3";"X1.1";"X17"
1;5961806;20;22;21;8;2;9;25;13;4;19;6;18;10;14;7;12;23;16;15;26;24;5;11;3;1;17
20;22;21;16;2;9;25;13;4;19;6;18;10;14;7;12;23;8;15;26;24;5;11;3;1;17;1;5833090
1;5833090;20;22;21;16;2;9;25;13;4;19;6;18;10;14;7;12;23;8;15;26;24;5;11;3;1;17
20;22;21;25;2;9;16;13;4;19;6;18;10;14;7;12;23;8;15;26;24;5;11;3;1;17;1;5844005
1;5844005;20;22;21;25;2;9;16;13;4;19;6;18;10;14;7;12;23;8;15;26;24;5;11;3;1;17
20;22;21;25;2;9;16;6;4;19;13;18;10;14;7;12;23;8;15;26;24;5;11;3;1;17;1;5828357
1;5828357;20;22;21;25;2;9;16;6;4;19;13;18;10;14;7;12;23;8;15;26;24;5;11;3;1;17
20;22;21;25;2;9;16;6;4;19;15;18;10;14;7;12;23;8;13;26;24;5;11;3;1;17;1;5833311
1;5833311;20;22;21;25;2;9;16;6;4;19;15;18;10;14;7;12;23;8;13;26;24;5;11;3;1;17
13;22;21;25;2;9;16;6;4;19;15;18;10;14;7;12;23;8;20;26;24;5;11;3;1;17;1;5774963
1;5774963;13;22;21;25;2;9;16;6;4;19;15;18;10;14;7;12;23;8;20;26;24;5;11;3;1;17
13;22;21;25;2;9;16;6;4;17;15;18;10;14;7;12;23;8;20;26;24;5;11;3;1;19;1;5817333
1;5817333;13;22;21;25;2;9;16;6;4;17;15;18;10;14;7;12;23;8;20;26;24;5;11;3;1;19
13;12;21;25;2;9;16;6;4;17;15;18;10;14;7;22;23;8;20;26;24;5;11;3;1;19;1;5803834
1;5803834;13;12;21;25;2;9;16;6;4;17;15;18;10;14;7;22;23;8;20;26;24;5;11;3;1;19
13;12;21;25;26;9;16;6;4;17;15;18;10;14;7;22;23;8;20;2;24;5;11;3;1;19;1;5806807
1;5806807;13;12;21;25;26;9;16;6;4;17;15;18;10;14;7;22;23;8;20;2;24;5;11;3;1;19
