"X1";"X6478096";"X15";"X13";"X19";"X14";"X9";"X6";"X21";"X25";"X2";"X11";"X26";"X16";"X4";"X24";"X12";"X22";"X17";"X23";"X3";"X7";"X1.1";"X20";"X8";"X5";"X10";"X18"
1;6478096;15;13;19;14;9;6;21;25;2;11;26;16;4;24;12;22;17;23;3;7;1;20;8;5;10;18
15;13;19;14;4;6;21;25;2;11;26;16;9;24;12;22;17;23;3;7;1;20;8;5;10;18;1;6391853
1;6391853;15;13;19;14;4;6;21;25;2;11;26;16;9;24;12;22;17;23;3;7;1;20;8;5;10;18
15;13;19;14;4;6;21;25;2;11;26;16;9;24;12;22;17;23;3;7;1;5;8;20;10;18;1;6299008
1;6299008;15;13;19;14;4;6;21;25;2;11;26;16;9;24;12;22;17;23;3;7;1;5;8;20;10;18
15;13;19;14;26;6;21;25;2;11;4;16;9;24;12;22;17;23;3;7;1;5;8;20;10;18;1;6284645
1;6284645;15;13;19;14;26;6;21;25;2;11;4;16;9;24;12;22;17;23;3;7;1;5;8;20;10;18
15;13;19;14;26;6;21;25;2;4;11;16;9;24;12;22;17;23;3;7;1;5;8;20;10;18;1;6235469
1;6235469;15;13;19;14;26;6;21;25;2;4;11;16;9;24;12;22;17;23;3;7;1;5;8;20;10;18
15;13;19;14;26;6;21;25;16;4;11;2;9;24;12;22;17;23;3;7;1;5;8;20;10;18;1;6265363
1;6265363;15;13;19;14;26;6;21;25;16;4;11;2;9;24;12;22;17;23;3;7;1;5;8;20;10;18
15;13;19;14;26;6;21;25;16;4;11;2;9;24;12;22;5;23;3;7;1;17;8;20;10;18;1;5952761
1;5952761;15;13;19;14;26;6;21;25;16;4;11;2;9;24;12;22;5;23;3;7;1;17;8;20;10;18
15;13;19;14;12;6;21;25;16;4;11;2;9;24;26;22;5;23;3;7;1;17;8;20;10;18;1;5959153
1;5959153;15;13;19;14;12;6;21;25;16;4;11;2;9;24;26;22;5;23;3;7;1;17;8;20;10;18
15;13;19;14;12;6;24;25;16;4;11;2;9;21;26;22;5;23;3;7;1;17;8;20;10;18;1;5972589
1;5972589;15;13;19;14;12;6;24;25;16;4;11;2;9;21;26;22;5;23;3;7;1;17;8;20;10;18
15;13;19;14;12;6;24;25;16;4;11;2;9;21;23;22;5;26;3;7;1;17;8;20;10;18;1;5966124
1;5966124;15;13;19;14;12;6;24;25;16;4;11;2;9;21;23;22;5;26;3;7;1;17;8;20;10;18
15;13;19;14;12;6;24;25;16;4;5;2;9;21;23;22;11;26;3;7;1;17;8;20;10;18;1;5975094
1;5975094;15;13;19;14;12;6;24;25;16;4;5;2;9;21;23;22;11;26;3;7;1;17;8;20;10;18
15;13;19;14;12;6;20;25;16;4;5;2;9;21;23;22;11;26;3;7;1;17;8;24;10;18;1;5864223
1;5864223;15;13;19;14;12;6;20;25;16;4;5;2;9;21;23;22;11;26;3;7;1;17;8;24;10;18
5;13;19;14;12;6;20;25;16;4;15;2;9;21;23;22;11;26;3;7;1;17;8;24;10;18;1;6000802
1;6000802;5;13;19;14;12;6;20;25;16;4;15;2;9;21;23;22;11;26;3;7;1;17;8;24;10;18
5;13;19;14;12;6;20;25;16;4;15;2;9;21;23;22;11;26;10;7;1;17;8;24;3;18;1;6004488
1;6004488;5;13;19;14;12;6;20;25;16;4;15;2;9;21;23;22;11;26;10;7;1;17;8;24;3;18
5;13;19;14;12;6;20;25;16;4;15;23;9;21;2;22;11;26;10;7;1;17;8;24;3;18;1;6010552
1;6010552;5;13;19;14;12;6;20;25;16;4;15;23;9;21;2;22;11;26;10;7;1;17;8;24;3;18
5;13;19;14;12;6;20;4;16;25;15;23;9;21;2;22;11;26;10;7;1;17;8;24;3;18;1;6010572
1;6010572;5;13;19;14;12;6;20;4;16;25;15;23;9;21;2;22;11;26;10;7;1;17;8;24;3;18
5;13;19;14;12;6;7;4;16;25;15;23;9;21;2;22;11;26;10;20;1;17;8;24;3;18;1;6068399
1;6068399;5;13;19;14;12;6;7;4;16;25;15;23;9;21;2;22;11;26;10;20;1;17;8;24;3;18
5;13;26;14;12;6;7;4;16;25;15;23;9;21;2;22;11;19;10;20;1;17;8;24;3;18;1;5993993
1;5993993;5;13;26;14;12;6;7;4;16;25;15;23;9;21;2;22;11;19;10;20;1;17;8;24;3;18
5;13;26;14;12;6;19;4;16;25;15;23;9;21;2;22;11;7;10;20;1;17;8;24;3;18;1;6016424
1;6016424;5;13;26;14;12;6;19;4;16;25;15;23;9;21;2;22;11;7;10;20;1;17;8;24;3;18
5;13;26;14;12;6;19;4;16;25;15;18;9;21;2;22;11;7;10;20;1;17;8;24;3;23;1;6014302
1;6014302;5;13;26;14;12;6;19;4;16;25;15;18;9;21;2;22;11;7;10;20;1;17;8;24;3;23
5;13;26;14;12;6;19;4;16;25;15;18;9;21;2;22;11;7;10;20;1;23;8;24;3;17;1;6044769
2;6044769;5;13;26;14;12;6;19;4;16;25;15;18;9;21;2;22;11;7;10;20;1;23;8;24;3;17
5;13;26;14;12;6;19;4;16;25;15;18;9;21;2;22;11;7;10;20;1;23;3;24;8;17;2;5968946
2;5968946;5;13;26;14;12;6;19;4;16;25;15;18;9;21;2;22;11;7;10;20;1;23;3;24;8;17
5;13;2;14;12;6;19;4;16;25;15;18;9;21;26;22;11;7;10;20;1;23;3;24;8;17;2;5973290
2;5973290;5;13;2;14;12;6;19;4;16;25;15;18;9;21;26;22;11;7;10;20;1;23;3;24;8;17
5;13;2;14;12;6;19;15;16;25;4;18;9;21;26;22;11;7;10;20;1;23;3;24;8;17;2;6025038
2;6025038;5;13;2;14;12;6;19;15;16;25;4;18;9;21;26;22;11;7;10;20;1;23;3;24;8;17
5;13;2;14;12;6;19;15;16;25;4;18;9;21;26;22;11;7;10;24;1;23;3;20;8;17;2;5996797
2;5996797;5;13;2;14;12;6;19;15;16;25;4;18;9;21;26;22;11;7;10;24;1;23;3;20;8;17
5;13;2;14;12;6;19;15;16;25;4;18;9;21;26;3;11;7;10;24;1;23;22;20;8;17;2;6051976
2;6051976;5;13;2;14;12;6;19;15;16;25;4;18;9;21;26;3;11;7;10;24;1;23;22;20;8;17
5;13;2;14;12;6;19;15;24;25;4;18;9;21;26;3;11;7;10;16;1;23;22;20;8;17;2;6059066
2;6059066;5;13;2;14;12;6;19;15;24;25;4;18;9;21;26;3;11;7;10;16;1;23;22;20;8;17
5;13;2;14;11;6;19;15;24;25;4;18;9;21;26;3;12;7;10;16;1;23;22;20;8;17;2;6020680
2;6020680;5;13;2;14;11;6;19;15;24;25;4;18;9;21;26;3;12;7;10;16;1;23;22;20;8;17
5;13;2;14;11;6;19;15;24;25;4;18;9;21;26;12;3;7;10;16;1;23;22;20;8;17;2;6024216
2;6024216;5;13;2;14;11;6;19;15;24;25;4;18;9;21;26;12;3;7;10;16;1;23;22;20;8;17
5;13;2;14;11;6;19;15;24;25;4;18;21;9;26;12;3;7;10;16;1;23;22;20;8;17;2;6026793
