"X1";"X6097610";"X20";"X9";"X16";"X19";"X26";"X23";"X12";"X14";"X17";"X2";"X25";"X21";"X15";"X11";"X13";"X24";"X1.1";"X22";"X4";"X10";"X18";"X6";"X3";"X5";"X8";"X7"
1;6097610;20;9;16;19;26;23;12;14;17;2;25;21;15;11;13;24;1;22;4;10;18;6;3;5;8;7
20;9;16;19;26;23;12;14;17;2;25;21;15;11;13;22;1;24;4;10;18;6;3;5;8;7;1;6098443
1;6098443;20;9;16;19;26;23;12;14;17;2;25;21;15;11;13;22;1;24;4;10;18;6;3;5;8;7
20;9;12;19;26;23;16;14;17;2;25;21;15;11;13;22;1;24;4;10;18;6;3;5;8;7;1;6111220
1;6111220;20;9;12;19;26;23;16;14;17;2;25;21;15;11;13;22;1;24;4;10;18;6;3;5;8;7
20;9;12;19;26;23;16;14;17;2;25;21;15;8;13;22;1;24;4;10;18;6;3;5;11;7;1;6179370
1;6179370;20;9;12;19;26;23;16;14;17;2;25;21;15;8;13;22;1;24;4;10;18;6;3;5;11;7
20;9;12;19;26;23;16;14;17;2;25;21;15;8;18;22;1;24;4;10;13;6;3;5;11;7;1;6142377
1;6142377;20;9;12;19;26;23;16;14;17;2;25;21;15;8;18;22;1;24;4;10;13;6;3;5;11;7
20;9;12;19;26;23;16;14;17;2;25;21;15;8;18;1;22;24;4;10;13;6;3;5;11;7;1;6157119
1;6157119;20;9;12;19;26;23;16;14;17;2;25;21;15;8;18;1;22;24;4;10;13;6;3;5;11;7
4;9;12;19;26;23;16;14;17;2;25;21;15;8;18;1;22;24;20;10;13;6;3;5;11;7;1;6109673
1;6109673;4;9;12;19;26;23;16;14;17;2;25;21;15;8;18;1;22;24;20;10;13;6;3;5;11;7
4;19;12;9;26;23;16;14;17;2;25;21;15;8;18;1;22;24;20;10;13;6;3;5;11;7;1;6131829
1;6131829;4;19;12;9;26;23;16;14;17;2;25;21;15;8;18;1;22;24;20;10;13;6;3;5;11;7
4;19;12;9;26;23;16;14;17;2;25;1;15;8;18;21;22;24;20;10;13;6;3;5;11;7;1;6128373
1;6128373;4;19;12;9;26;23;16;14;17;2;25;1;15;8;18;21;22;24;20;10;13;6;3;5;11;7
4;19;12;14;26;23;16;9;17;2;25;1;15;8;18;21;22;24;20;10;13;6;3;5;11;7;1;6104932
1;6104932;4;19;12;14;26;23;16;9;17;2;25;1;15;8;18;21;22;24;20;10;13;6;3;5;11;7
4;19;12;14;26;23;16;9;17;21;25;1;15;8;18;2;22;24;20;10;13;6;3;5;11;7;1;6104019
1;6104019;4;19;12;14;26;23;16;9;17;21;25;1;15;8;18;2;22;24;20;10;13;6;3;5;11;7
4;19;12;14;26;23;16;9;17;21;25;11;15;8;18;2;22;24;20;10;13;6;3;5;1;7;1;6097485
1;6097485;4;19;12;14;26;23;16;9;17;21;25;11;15;8;18;2;22;24;20;10;13;6;3;5;1;7
4;19;21;14;26;23;16;9;17;12;25;11;15;8;18;2;22;24;20;10;13;6;3;5;1;7;1;6147742
1;6147742;4;19;21;14;26;23;16;9;17;12;25;11;15;8;18;2;22;24;20;10;13;6;3;5;1;7
4;19;21;14;26;25;16;9;17;12;23;11;15;8;18;2;22;24;20;10;13;6;3;5;1;7;1;6143405
