"X1";"X48286";"X10";"X2";"X11";"X5";"X12";"X4";"X7";"X9";"X8";"X3";"X6";"X1.1"
1;48286;10;2;11;5;12;4;7;9;8;3;6;1
10;2;11;5;12;4;7;1;8;3;6;9;1;46740
1;46740;10;2;11;5;12;4;7;1;8;3;6;9
10;2;11;5;12;4;9;1;8;3;6;7;1;45042
1;45042;10;2;11;5;12;4;9;1;8;3;6;7
11;2;10;5;12;4;9;1;8;3;6;7;1;45360
1;45360;11;2;10;5;12;4;9;1;8;3;6;7
1;2;10;5;12;4;9;11;8;3;6;7;1;47362
1;47362;1;2;10;5;12;4;9;11;8;3;6;7
1;9;10;5;12;4;2;11;8;3;6;7;1;54414
1;54414;1;9;10;5;12;4;2;11;8;3;6;7
1;9;10;5;2;4;12;11;8;3;6;7;1;51524
1;51524;1;9;10;5;2;4;12;11;8;3;6;7
1;9;10;5;2;4;3;11;8;12;6;7;1;41758
1;41758;1;9;10;5;2;4;3;11;8;12;6;7
1;9;8;5;2;4;3;11;10;12;6;7;1;40556
1;40556;1;9;8;5;2;4;3;11;10;12;6;7
1;9;6;5;2;4;3;11;10;12;8;7;1;40012
1;40012;1;9;6;5;2;4;3;11;10;12;8;7
5;9;6;1;2;4;3;11;10;12;8;7;1;43956
1;43956;5;9;6;1;2;4;3;11;10;12;8;7
5;9;6;11;2;4;3;1;10;12;8;7;1;58560
1;58560;5;9;6;11;2;4;3;1;10;12;8;7
5;7;6;11;2;4;3;1;10;12;8;9;1;47068
1;47068;5;7;6;11;2;4;3;1;10;12;8;9
5;7;6;12;2;4;3;1;10;11;8;9;1;41370
1;41370;5;7;6;12;2;4;3;1;10;11;8;9
5;7;6;12;2;4;9;1;10;11;8;3;1;39412
1;39412;5;7;6;12;2;4;9;1;10;11;8;3
5;12;6;7;2;4;9;1;10;11;8;3;1;55790
1;55790;5;12;6;7;2;4;9;1;10;11;8;3
5;12;6;7;11;4;9;1;10;2;8;3;1;47966
1;47966;5;12;6;7;11;4;9;1;10;2;8;3
5;12;6;7;4;11;9;1;10;2;8;3;1;43786
1;43786;5;12;6;7;4;11;9;1;10;2;8;3
5;9;6;7;4;11;12;1;10;2;8;3;1;47274
1;47274;5;9;6;7;4;11;12;1;10;2;8;3
5;9;6;12;4;11;7;1;10;2;8;3;1;53764
1;53764;5;9;6;12;4;11;7;1;10;2;8;3
5;7;6;12;4;11;9;1;10;2;8;3;1;40960
2;40960;5;7;6;12;4;11;9;1;10;2;8;3
5;7;6;12;4;1;9;11;10;2;8;3;2;38534
2;38534;5;7;6;12;4;1;9;11;10;2;8;3
5;7;6;12;4;1;9;11;3;2;8;10;2;39594
2;39594;5;7;6;12;4;1;9;11;3;2;8;10
5;3;6;12;4;1;9;11;7;2;8;10;2;49310
2;49310;5;3;6;12;4;1;9;11;7;2;8;10
5;3;6;12;1;4;9;11;7;2;8;10;2;40652
2;40652;5;3;6;12;1;4;9;11;7;2;8;10
9;3;6;12;1;4;5;11;7;2;8;10;2;51846
2;51846;9;3;6;12;1;4;5;11;7;2;8;10
9;3;4;12;1;6;5;11;7;2;8;10;2;68986
2;68986;9;3;4;12;1;6;5;11;7;2;8;10
9;3;4;12;1;8;5;11;7;2;6;10;2;64258
2;64258;9;3;4;12;1;8;5;11;7;2;6;10
9;3;4;12;1;8;5;11;7;10;6;2;2;62530
2;62530;9;3;4;12;1;8;5;11;7;10;6;2
3;9;4;12;1;8;5;11;7;10;6;2;2;57568
2;57568;3;9;4;12;1;8;5;11;7;10;6;2
8;9;4;12;1;3;5;11;7;10;6;2;2;56860
2;56860;8;9;4;12;1;3;5;11;7;10;6;2
8;9;4;12;11;3;5;1;7;10;6;2;2;43706
2;43706;8;9;4;12;11;3;5;1;7;10;6;2
8;9;4;12;11;1;5;3;7;10;6;2;2;53656
2;53656;8;9;4;12;11;1;5;3;7;10;6;2
8;2;4;12;11;1;5;3;7;10;6;9;2;53688
2;53688;8;2;4;12;11;1;5;3;7;10;6;9
8;2;4;12;11;1;3;5;7;10;6;9;2;43608
