"X1";"X6122729";"X12";"X4";"X14";"X25";"X19";"X24";"X6";"X26";"X13";"X1.1";"X16";"X10";"X3";"X8";"X5";"X22";"X7";"X21";"X17";"X11";"X20";"X23";"X2";"X9";"X18";"X15"
1;6122729;12;4;14;25;19;24;6;26;13;1;16;10;3;8;5;22;7;21;17;11;20;23;2;9;18;15
10;4;14;25;19;24;6;26;13;1;16;12;3;8;5;22;7;21;17;11;20;23;2;9;18;15;1;6097904
1;6097904;10;4;14;25;19;24;6;26;13;1;16;12;3;8;5;22;7;21;17;11;20;23;2;9;18;15
10;4;14;25;19;24;6;26;13;1;16;12;3;8;5;22;17;21;7;11;20;23;2;9;18;15;1;6093933
1;6093933;10;4;14;25;19;24;6;26;13;1;16;12;3;8;5;22;17;21;7;11;20;23;2;9;18;15
10;4;14;25;19;24;6;26;13;1;16;5;3;8;12;22;17;21;7;11;20;23;2;9;18;15;1;6011589
1;6011589;10;4;14;25;19;24;6;26;13;1;16;5;3;8;12;22;17;21;7;11;20;23;2;9;18;15
10;4;14;25;19;24;6;26;8;1;16;5;3;13;12;22;17;21;7;11;20;23;2;9;18;15;1;6014988
1;6014988;10;4;14;25;19;24;6;26;8;1;16;5;3;13;12;22;17;21;7;11;20;23;2;9;18;15
19;4;14;25;10;24;6;26;8;1;16;5;3;13;12;22;17;21;7;11;20;23;2;9;18;15;1;5991567
1;5991567;19;4;14;25;10;24;6;26;8;1;16;5;3;13;12;22;17;21;7;11;20;23;2;9;18;15
19;4;14;25;10;24;17;26;8;1;16;5;3;13;12;22;6;21;7;11;20;23;2;9;18;15;1;5977231
1;5977231;19;4;14;25;10;24;17;26;8;1;16;5;3;13;12;22;6;21;7;11;20;23;2;9;18;15
19;4;14;25;10;24;17;26;8;1;16;5;3;13;12;11;6;21;7;22;20;23;2;9;18;15;1;5962891
1;5962891;19;4;14;25;10;24;17;26;8;1;16;5;3;13;12;11;6;21;7;22;20;23;2;9;18;15
19;12;14;25;10;24;17;26;8;1;16;5;3;13;4;11;6;21;7;22;20;23;2;9;18;15;1;5931143
1;5931143;19;12;14;25;10;24;17;26;8;1;16;5;3;13;4;11;6;21;7;22;20;23;2;9;18;15
19;12;14;25;10;24;17;6;8;1;16;5;3;13;4;11;26;21;7;22;20;23;2;9;18;15;1;5928347
1;5928347;19;12;14;25;10;24;17;6;8;1;16;5;3;13;4;11;26;21;7;22;20;23;2;9;18;15
19;12;14;25;10;8;17;6;24;1;16;5;3;13;4;11;26;21;7;22;20;23;2;9;18;15;1;5941971
1;5941971;19;12;14;25;10;8;17;6;24;1;16;5;3;13;4;11;26;21;7;22;20;23;2;9;18;15
19;12;14;25;8;10;17;6;24;1;16;5;3;13;4;11;26;21;7;22;20;23;2;9;18;15;1;5981646
1;5981646;19;12;14;25;8;10;17;6;24;1;16;5;3;13;4;11;26;21;7;22;20;23;2;9;18;15
19;12;14;20;8;10;17;6;24;1;16;5;3;13;4;11;26;21;7;22;25;23;2;9;18;15;1;5941486
1;5941486;19;12;14;20;8;10;17;6;24;1;16;5;3;13;4;11;26;21;7;22;25;23;2;9;18;15
19;12;14;20;8;24;17;6;10;1;16;5;3;13;4;11;26;21;7;22;25;23;2;9;18;15;1;5941127
1;5941127;19;12;14;20;8;24;17;6;10;1;16;5;3;13;4;11;26;21;7;22;25;23;2;9;18;15
19;12;14;20;8;24;17;6;10;1;16;5;3;13;4;26;11;21;7;22;25;23;2;9;18;15;1;5939762
1;5939762;19;12;14;20;8;24;17;6;10;1;16;5;3;13;4;26;11;21;7;22;25;23;2;9;18;15
19;12;14;20;8;24;17;6;10;1;16;5;3;13;4;2;11;21;7;22;25;23;26;9;18;15;1;5952264
1;5952264;19;12;14;20;8;24;17;6;10;1;16;5;3;13;4;2;11;21;7;22;25;23;26;9;18;15
19;12;14;20;8;24;17;11;10;1;16;5;3;13;4;2;6;21;7;22;25;23;26;9;18;15;1;5948100
1;5948100;19;12;14;20;8;24;17;11;10;1;16;5;3;13;4;2;6;21;7;22;25;23;26;9;18;15
19;12;14;20;8;24;17;11;10;1;16;5;3;13;4;2;6;21;26;22;25;23;7;9;18;15;1;5970779
1;5970779;19;12;14;20;8;24;17;11;10;1;16;5;3;13;4;2;6;21;26;22;25;23;7;9;18;15
19;12;14;20;8;5;17;11;10;1;16;24;3;13;4;2;6;21;26;22;25;23;7;9;18;15;1;6023343
1;6023343;19;12;14;20;8;5;17;11;10;1;16;24;3;13;4;2;6;21;26;22;25;23;7;9;18;15
19;12;14;20;8;5;17;11;10;26;16;24;3;13;4;2;6;21;1;22;25;23;7;9;18;15;1;6011631
1;6011631;19;12;14;20;8;5;17;11;10;26;16;24;3;13;4;2;6;21;1;22;25;23;7;9;18;15
19;12;14;20;8;5;17;11;10;26;16;24;3;13;4;2;6;25;1;22;21;23;7;9;18;15;1;6059509
2;6059509;19;12;14;20;8;5;17;11;10;26;16;24;3;13;4;2;6;25;1;22;21;23;7;9;18;15
19;12;14;20;8;5;17;11;10;26;16;24;3;13;4;2;6;25;9;22;21;23;7;1;18;15;2;6036981
2;6036981;19;12;14;20;8;5;17;11;10;26;16;24;3;13;4;2;6;25;9;22;21;23;7;1;18;15
19;12;14;20;8;16;17;11;10;26;5;24;3;13;4;2;6;25;9;22;21;23;7;1;18;15;2;5939601
2;5939601;19;12;14;20;8;16;17;11;10;26;5;24;3;13;4;2;6;25;9;22;21;23;7;1;18;15
19;12;14;20;8;16;17;11;10;7;5;24;3;13;4;2;6;25;9;22;21;23;26;1;18;15;2;5927843
2;5927843;19;12;14;20;8;16;17;11;10;7;5;24;3;13;4;2;6;25;9;22;21;23;26;1;18;15
19;12;14;20;8;16;17;23;10;7;5;24;3;13;4;2;6;25;9;22;21;11;26;1;18;15;2;5933127
2;5933127;19;12;14;20;8;16;17;23;10;7;5;24;3;13;4;2;6;25;9;22;21;11;26;1;18;15
19;12;14;20;8;16;6;23;10;7;5;24;3;13;4;2;17;25;9;22;21;11;26;1;18;15;2;5940201
2;5940201;19;12;14;20;8;16;6;23;10;7;5;24;3;13;4;2;17;25;9;22;21;11;26;1;18;15
19;12;14;20;8;23;6;16;10;7;5;24;3;13;4;2;17;25;9;22;21;11;26;1;18;15;2;5935829
2;5935829;19;12;14;20;8;23;6;16;10;7;5;24;3;13;4;2;17;25;9;22;21;11;26;1;18;15
19;12;14;20;8;23;6;16;10;7;5;24;3;13;4;2;17;25;9;22;11;21;26;1;18;15;2;5968671
2;5968671;19;12;14;20;8;23;6;16;10;7;5;24;3;13;4;2;17;25;9;22;11;21;26;1;18;15
19;12;14;20;8;7;6;16;10;23;5;24;3;13;4;2;17;25;9;22;11;21;26;1;18;15;2;5972392
2;5972392;19;12;14;20;8;7;6;16;10;23;5;24;3;13;4;2;17;25;9;22;11;21;26;1;18;15
19;12;14;20;8;7;6;16;10;23;5;9;3;13;4;2;17;25;24;22;11;21;26;1;18;15;2;6042090
2;6042090;19;12;14;20;8;7;6;16;10;23;5;9;3;13;4;2;17;25;24;22;11;21;26;1;18;15
19;12;14;20;8;16;6;7;10;23;5;9;3;13;4;2;17;25;24;22;11;21;26;1;18;15;2;6042841
2;6042841;19;12;14;20;8;16;6;7;10;23;5;9;3;13;4;2;17;25;24;22;11;21;26;1;18;15
19;12;14;20;8;16;6;7;15;23;5;9;3;13;4;2;17;25;24;22;11;21;26;1;18;10;2;6037951
2;6037951;19;12;14;20;8;16;6;7;15;23;5;9;3;13;4;2;17;25;24;22;11;21;26;1;18;10
19;12;14;20;8;16;6;7;15;23;5;9;3;13;4;2;17;25;18;22;11;21;26;1;24;10;2;6010553
2;6010553;19;12;14;20;8;16;6;7;15;23;5;9;3;13;4;2;17;25;18;22;11;21;26;1;24;10
19;12;14;20;8;15;6;7;16;23;5;9;3;13;4;2;17;25;18;22;11;21;26;1;24;10;2;6007169
2;6007169;19;12;14;20;8;15;6;7;16;23;5;9;3;13;4;2;17;25;18;22;11;21;26;1;24;10
19;20;14;12;8;15;6;7;16;23;5;9;3;13;4;2;17;25;18;22;11;21;26;1;24;10;2;6008345
2;6008345;19;20;14;12;8;15;6;7;16;23;5;9;3;13;4;2;17;25;18;22;11;21;26;1;24;10
19;20;14;12;8;15;6;7;16;23;5;9;2;13;4;3;17;25;18;22;11;21;26;1;24;10;2;5971225
2;5971225;19;20;14;12;8;15;6;7;16;23;5;9;2;13;4;3;17;25;18;22;11;21;26;1;24;10
19;20;14;12;8;15;6;7;4;23;5;9;2;13;16;3;17;25;18;22;11;21;26;1;24;10;2;5939366
2;5939366;19;20;14;12;8;15;6;7;4;23;5;9;2;13;16;3;17;25;18;22;11;21;26;1;24;10
19;20;14;12;8;23;6;7;4;15;5;9;2;13;16;3;17;25;18;22;11;21;26;1;24;10;2;5937796
2;5937796;19;20;14;12;8;23;6;7;4;15;5;9;2;13;16;3;17;25;18;22;11;21;26;1;24;10
19;20;14;12;5;23;6;7;4;15;8;9;2;13;16;3;17;25;18;22;11;21;26;1;24;10;2;6046643
2;6046643;19;20;14;12;5;23;6;7;4;15;8;9;2;13;16;3;17;25;18;22;11;21;26;1;24;10
19;11;14;12;5;23;6;7;4;15;8;9;2;13;16;3;17;25;18;22;20;21;26;1;24;10;2;6075873
2;6075873;19;11;14;12;5;23;6;7;4;15;8;9;2;13;16;3;17;25;18;22;20;21;26;1;24;10
19;11;14;12;5;7;6;23;4;15;8;9;2;13;16;3;17;25;18;22;20;21;26;1;24;10;2;6075621
3;6075621;19;11;14;12;5;7;6;23;4;15;8;9;2;13;16;3;17;25;18;22;20;21;26;1;24;10
19;11;14;21;5;7;6;23;4;15;8;9;2;13;16;3;17;25;18;22;20;12;26;1;24;10;3;6056473
3;6056473;19;11;14;21;5;7;6;23;4;15;8;9;2;13;16;3;17;25;18;22;20;12;26;1;24;10
19;11;14;21;5;7;6;23;4;15;8;9;2;13;16;3;17;25;20;22;18;12;26;1;24;10;3;6067921
3;6067921;19;11;14;21;5;7;6;23;4;15;8;9;2;13;16;3;17;25;20;22;18;12;26;1;24;10
19;11;14;21;5;7;6;23;4;15;8;3;2;13;16;9;17;25;20;22;18;12;26;1;24;10;3;6020350
3;6020350;19;11;14;21;5;7;6;23;4;15;8;3;2;13;16;9;17;25;20;22;18;12;26;1;24;10
19;6;14;21;5;7;11;23;4;15;8;3;2;13;16;9;17;25;20;22;18;12;26;1;24;10;3;6020439
3;6020439;19;6;14;21;5;7;11;23;4;15;8;3;2;13;16;9;17;25;20;22;18;12;26;1;24;10
19;6;14;21;5;7;11;23;4;15;8;3;2;13;16;9;17;25;20;22;18;12;10;1;24;26;3;6000560
3;6000560;19;6;14;21;5;7;11;23;4;15;8;3;2;13;16;9;17;25;20;22;18;12;10;1;24;26
19;6;14;21;5;10;11;23;4;15;8;3;2;13;16;9;17;25;20;22;18;12;7;1;24;26;3;6106258
3;6106258;19;6;14;21;5;10;11;23;4;15;8;3;2;13;16;9;17;25;20;22;18;12;7;1;24;26
19;6;14;21;5;10;11;2;4;15;8;3;23;13;16;9;17;25;20;22;18;12;7;1;24;26;3;6084101
3;6084101;19;6;14;21;5;10;11;2;4;15;8;3;23;13;16;9;17;25;20;22;18;12;7;1;24;26
19;6;14;21;5;10;11;2;4;15;8;3;23;13;16;9;17;22;20;25;18;12;7;1;24;26;3;6083249
3;6083249;19;6;14;21;5;10;11;2;4;15;8;3;23;13;16;9;17;22;20;25;18;12;7;1;24;26
19;6;14;21;5;10;11;2;4;26;8;3;23;13;16;9;17;22;20;25;18;12;7;1;24;15;3;6093438
3;6093438;19;6;14;21;5;10;11;2;4;26;8;3;23;13;16;9;17;22;20;25;18;12;7;1;24;15
19;6;14;21;5;10;11;2;4;26;8;12;23;13;16;9;17;22;20;25;18;3;7;1;24;15;3;6087552
3;6087552;19;6;14;21;5;10;11;2;4;26;8;12;23;13;16;9;17;22;20;25;18;3;7;1;24;15
19;6;14;21;5;10;11;20;4;26;8;12;23;13;16;9;17;22;2;25;18;3;7;1;24;15;3;6104690
3;6104690;19;6;14;21;5;10;11;20;4;26;8;12;23;13;16;9;17;22;2;25;18;3;7;1;24;15
19;6;14;9;5;10;11;20;4;26;8;12;23;13;16;21;17;22;2;25;18;3;7;1;24;15;3;6169417
3;6169417;19;6;14;9;5;10;11;20;4;26;8;12;23;13;16;21;17;22;2;25;18;3;7;1;24;15
19;6;14;9;5;10;11;20;4;26;8;12;23;13;18;21;17;22;2;25;16;3;7;1;24;15;3;6154760
3;6154760;19;6;14;9;5;10;11;20;4;26;8;12;23;13;18;21;17;22;2;25;16;3;7;1;24;15
19;6;13;9;5;10;11;20;4;26;8;12;23;14;18;21;17;22;2;25;16;3;7;1;24;15;3;6110961
3;6110961;19;6;13;9;5;10;11;20;4;26;8;12;23;14;18;21;17;22;2;25;16;3;7;1;24;15
19;1;13;9;5;10;11;20;4;26;8;12;23;14;18;21;17;22;2;25;16;3;7;6;24;15;3;6102520
3;6102520;19;1;13;9;5;10;11;20;4;26;8;12;23;14;18;21;17;22;2;25;16;3;7;6;24;15
19;1;13;9;5;10;11;20;4;26;8;12;23;14;6;21;17;22;2;25;16;3;7;18;24;15;3;6191999
3;6191999;19;1;13;9;5;10;11;20;4;26;8;12;23;14;6;21;17;22;2;25;16;3;7;18;24;15
19;1;13;9;5;10;11;20;7;26;8;12;23;14;6;21;17;22;2;25;16;3;4;18;24;15;3;6246113
3;6246113;19;1;13;9;5;10;11;20;7;26;8;12;23;14;6;21;17;22;2;25;16;3;4;18;24;15
19;1;13;9;5;10;11;20;7;26;8;12;23;14;2;21;17;22;6;25;16;3;4;18;24;15;3;6267096
