"X1";"X45820";"X10";"X9";"X5";"X3";"X6";"X7";"X8";"X2";"X11";"X12";"X1.1";"X4"
1;45820;10;9;5;3;6;7;8;2;11;12;1;4
10;9;5;4;6;7;8;2;11;12;1;3;1;43594
1;43594;10;9;5;4;6;7;8;2;11;12;1;3
3;9;5;4;6;7;8;2;11;12;1;10;1;48532
1;48532;3;9;5;4;6;7;8;2;11;12;1;10
3;9;5;4;6;7;8;1;11;12;2;10;1;60782
1;60782;3;9;5;4;6;7;8;1;11;12;2;10
3;10;5;4;6;7;8;1;11;12;2;9;1;51196
1;51196;3;10;5;4;6;7;8;1;11;12;2;9
3;10;5;4;6;1;8;7;11;12;2;9;1;39368
1;39368;3;10;5;4;6;1;8;7;11;12;2;9
3;8;5;4;6;1;10;7;11;12;2;9;1;42584
1;42584;3;8;5;4;6;1;10;7;11;12;2;9
3;8;5;4;6;1;11;7;10;12;2;9;1;39924
1;39924;3;8;5;4;6;1;11;7;10;12;2;9
3;5;8;4;6;1;11;7;10;12;2;9;1;38380
1;38380;3;5;8;4;6;1;11;7;10;12;2;9
3;5;8;4;12;1;11;7;10;6;2;9;1;47154
1;47154;3;5;8;4;12;1;11;7;10;6;2;9
9;5;8;4;12;1;11;7;10;6;2;3;1;61116
1;61116;9;5;8;4;12;1;11;7;10;6;2;3
1;5;8;4;12;9;11;7;10;6;2;3;1;65768
1;65768;1;5;8;4;12;9;11;7;10;6;2;3
6;5;8;4;12;9;11;7;10;1;2;3;1;41312
1;41312;6;5;8;4;12;9;11;7;10;1;2;3
6;5;8;4;2;9;11;7;10;1;12;3;1;45812
1;45812;6;5;8;4;2;9;11;7;10;1;12;3
6;5;8;4;12;9;11;7;10;1;2;3;1;41312
1;41312;6;5;8;4;12;9;11;7;10;1;2;3
6;5;9;4;12;8;11;7;10;1;2;3;1;32308
1;32308;6;5;9;4;12;8;11;7;10;1;2;3
3;5;9;4;12;8;11;7;10;1;2;6;1;27448
1;27448;3;5;9;4;12;8;11;7;10;1;2;6
3;5;9;4;12;8;2;7;10;1;11;6;1;28748
1;28748;3;5;9;4;12;8;2;7;10;1;11;6
3;5;9;4;11;8;2;7;10;1;12;6;1;28902
1;28902;3;5;9;4;11;8;2;7;10;1;12;6
12;5;9;4;11;8;2;7;10;1;3;6;1;38460
1;28902;3;5;9;4;11;8;2;7;10;1;12;6
3;5;9;4;8;11;2;7;10;1;12;6;1;25826
2;25826;3;5;9;4;8;11;2;7;10;1;12;6
3;5;12;4;8;11;2;7;10;1;9;6;2;24546
2;24546;3;5;12;4;8;11;2;7;10;1;9;6
3;5;10;4;8;11;2;7;12;1;9;6;2;22188
2;22188;3;5;10;4;8;11;2;7;12;1;9;6
3;5;10;4;8;11;2;7;9;1;12;6;2;22230
2;22230;3;5;10;4;8;11;2;7;9;1;12;6
3;5;10;4;8;11;2;7;9;1;6;12;2;24222
2;24222;3;5;10;4;8;11;2;7;9;1;6;12
3;5;10;2;8;11;4;7;9;1;6;12;2;26822
2;26822;3;5;10;2;8;11;4;7;9;1;6;12
3;5;10;2;8;11;9;7;4;1;6;12;2;26204
2;26204;3;5;10;2;8;11;9;7;4;1;6;12
3;5;10;2;8;6;9;7;4;1;11;12;2;39724
2;39724;3;5;10;2;8;6;9;7;4;1;11;12
3;5;10;2;8;6;9;7;4;1;12;11;2;37084
2;37084;3;5;10;2;8;6;9;7;4;1;12;11
3;5;4;2;8;6;9;7;10;1;12;11;2;36142
2;36142;3;5;4;2;8;6;9;7;10;1;12;11
3;2;4;5;8;6;9;7;10;1;12;11;2;43528
2;43528;3;2;4;5;8;6;9;7;10;1;12;11
3;2;4;5;8;6;9;11;10;1;12;7;2;48598
2;48598;3;2;4;5;8;6;9;11;10;1;12;7
3;12;4;5;8;6;9;11;10;1;2;7;2;40138
2;40138;3;12;4;5;8;6;9;11;10;1;2;7
3;5;4;12;8;6;9;11;10;1;2;7;2;38316
2;38316;3;5;4;12;8;6;9;11;10;1;2;7
